,Overall_review,date,name,nationality,rating,review_times,tag
102,Waste of holiday really...,"Reviewed: October 31, 2017",Steve,New Zealand,8.8,32 Reviews,"• Business trip


• Group


• Venetian Bella Suite with Two Queen Beds


• Stayed 2 nights


• Submitted from a mobile device"
103,Great facility,"Reviewed: October 31, 2017",Richard,United Kingdom,8.3,1 review,"• Leisure trip


• Family with young children


• Venetian Bella Suite with Two Queen Beds


• Stayed 3 nights"
104,"Great location, looks luxurious, but for a family with a multitude of iPads and iPhones it isn't!","Reviewed: October 31, 2017",Bojan,Serbia,9.6,10 Reviews,"• Leisure trip


• Group


• Venetian Bella Suite with Two Queen Beds


• Stayed 3 nights


• Submitted from a mobile device"
105,Fanastic Hotel which will surely fulfill highest...,"Reviewed: October 30, 2017",Anonymous,United States of America,4.6,1 review,"• Leisure trip


• Family with young children


• Venetian Luxury View Suite with a King Bed


• Stayed 2 nights


• Submitted from a mobile device"
106,The Venetian needs to review housekeeping response time.,"Reviewed: October 29, 2017",Levon,United States of America,10,1 review,"• Couple


• Venetian Bella Suite with Two Queen Beds with 150USD Resort Credit


• Stayed 2 nights


• Submitted from a mobile device"
107,I will definitely be back again any time soon!,"Reviewed: October 29, 2017",David,United Kingdom,9.6,24 Reviews,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 1 night


• Submitted from a mobile device"
108,"Great location, very good hotel.","Reviewed: October 24, 2017",Anonymous,United States of America,9.6,3 Reviews,"• Leisure trip


• Family with young children


• Venetian Bella Suite with Two Queen Beds


• Stayed 2 nights


• Submitted from a mobile device"
109,Disappointing breakfast. Outstanding facility.,"Reviewed: October 24, 2017",Linda,United States of America,9.6,1 review,"• Leisure trip


• Couple


• Venetian Bella Suite with Two Queen Beds


• Stayed 1 night"
110,I will be going back to this beautiful place.,"Reviewed: October 23, 2017",Qasim,Pakistan,10,49 Reviews,"• Business trip


• Group


• Venetian Bella Suite with Two Queen Beds


• Stayed 2 nights"
111,“Always like staying here.”,"Reviewed: October 23, 2017",Allan,Denmark,9.6,6 Reviews,"• Business trip


• Family with young children


• Venetian Bella Suite with Two Queen Beds


• Stayed 8 nights"
112,"When you advertise ""including Breakfast"" it is NOT...","Reviewed: October 18, 2017",Brinda,Singapore,6.7,19 Reviews,"• Leisure trip


• Family with young children


• Venetian Bella Suite with Two Queen Beds


• Stayed 3 nights


• Submitted from a mobile device"
113,Service was nothing exceptional. The property by itself is huge and beautiful.,"Reviewed: October 13, 2017",Judith,United States of America,2.5,1 review,"• Leisure trip


• Family with young children


• Venetian Bella Suite with Two Queen Beds


• Stayed 4 nights"
114,I don't appreciate paying $500 a night to room with bed bugs.,"Reviewed: October 11, 2017",Anonymous,United Kingdom,9.2,7 Reviews,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 2 nights"
115,"Great, but expensive and spoiled by the the dodgy resort fee.","Reviewed: October 10, 2017",Ronny,Israel,5.8,1 review,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 3 nights


• Submitted from a mobile device"
116,Poor and expansive,"Reviewed: October 9, 2017",Tomas,Slovakia,7.5,2 Reviews,"• Leisure trip


• Family with young children


• Venetian Luxury Suite with a King Bed


• Stayed 2 nights


• Submitted from a mobile device"
117,Very poor experience!,"Reviewed: October 9, 2017",Din Din,United States of America,10,1 review,"• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 1 night


• Submitted from a mobile device"
118,You have to stay at the Venetian Venetian Hotel and Casino at least once. Very highly recommended.,"Reviewed: October 8, 2017",Susan,United Kingdom,8.8,7 Reviews,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 1 night


• Submitted from a mobile device"
119,The bed was amazing and the pillows were to die for.,"Reviewed: October 6, 2017",Anonymous,United States of America,4.6,3 Reviews,"• Leisure trip


• Group


• Venetian Bella Suite with Two Queen Beds with 150USD Resort Credit


• Stayed 2 nights"
120,My room rate is over $300 per night with tax and resort fee.,"Reviewed: October 5, 2017",Notreturning,New Zealand,7.5,3 Reviews,"• Leisure trip


• Family with young children


• Venetian Bella Suite with Two Queen Beds


• Stayed 3 nights"
121,"Meh, same decor as 11 years ago, time for update.","Reviewed: October 3, 2017",Anonymous,Belgium,9.2,23 Reviews,"• Leisure trip


• Solo traveler


• Venetian Luxury View Suite with a King Bed


• Stayed 2 nights"
122,"Everything was perfect: location, very clean room (actually...","Reviewed: October 2, 2017",Mikhail,Russia,6.3,2 Reviews,"• Leisure trip


• Family with young children


• Venetian Bella Suite with Two Queen Beds


• Stayed 3 nights"
123,We were very surprised that the janitors do not wash floors...,"Reviewed: September 25, 2017",Amanda,United Kingdom,5,3 Reviews,"• Leisure trip


• Couple


• Venetian Luxury View Suite with a King Bed


• Stayed 6 nights


• Submitted from a mobile device"
124,Incompetent rude staff and complete lie of charges,"Reviewed: September 24, 2017",Paris,United States of America,10,1 review,"• Leisure trip


• Group


• Venetian Luxury Suite with a King Bed


• Stayed 1 night


• Submitted from a mobile device"
125,A relaxing stay with the comforts to make it something only experienced at the Venetian,"Reviewed: September 21, 2017",Pedro,United States of America,9.2,2 Reviews,"• Business trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 4 nights


• Submitted from a mobile device"
126,"Beautiful place, great rooms, pricey !","Reviewed: September 19, 2017",James,United Kingdom,5.4,1 review,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 2 nights


• Submitted from a mobile device"
127,Disappointing. I'd go to the Wynn instead.,"Reviewed: September 14, 2017",Margaret Ruth,United Kingdom,8.8,18 Reviews,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 3 nights


• Submitted from a mobile device"
128,Loved staying in the Venetian. Special place.,"Reviewed: September 13, 2017",Christine,United States of America,5.4,1 review,"• Business trip


• Group


• Venetian Bella Suite with Two Queen Beds with 150USD Resort Credit


• Stayed 2 nights"
129,"Great hotel, not a great stay.","Reviewed: September 13, 2017",Rebecca,United Kingdom,10,29 Reviews,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 1 night


• Submitted from a mobile device"
130,Fabulous suite.,"Reviewed: September 13, 2017",Robert,United States of America,9.6,1 review,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 2 nights"
