,Name,Nationality,Date,Score,Topic,Tags,History reviews
10,Anonymous,United States of America,"Reviewed: April 10, 2018",9.2,Perfect business/vacation stay,• Business trip• Group• Venetian Bella View Suite with Two Queen Beds• Stayed 1 night,1 review
11,Anonymous,United States of America,"Reviewed: April 10, 2018",9.6,It was great.,• Leisure trip• Group• Venetian Luxury Suite with a King Bed• Stayed 2 nights• Submitted from a mobile device,1 review
12,Reyna,United States of America,"Reviewed: April 10, 2018",10,The restaurant Chica the food was not good i didn’t like the...,• Couple• Venetian Luxury Suite with a King Bed• Stayed 1 night• Submitted from a mobile device,1 review
13,R,Switzerland,"Reviewed: April 9, 2018",7.1,shiny as a five star hotel with the service worth three stars.,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 1 night,10 Reviews
14,worldwidetourist,Belgium,"Reviewed: April 9, 2018",8.3,Was very good but not excellent ,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 2 nights• Submitted from a mobile device,55 Reviews
15,Srdjan,Serbia,"Reviewed: April 7, 2018",7.1,"Great location, good dining options",• Business trip• Solo traveler• Venetian Luxury Suite with a King Bed• Stayed 6 nights• Submitted from a mobile device,18 Reviews
16,Zahid,United Kingdom,"Reviewed: April 6, 2018",5.8,"Great location but beware of charges, take your own kettle and make sure its clean",• Leisure trip• Family with young children• 2 rooms• Stayed 2 nights,4 Reviews
17,Karen,United States of America,"Reviewed: April 6, 2018",3.8,Wish we had saved the money.,• With a pet• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 3 nights,1 review
18,Fredline,France,"Reviewed: April 5, 2018",9.2,Pleasant . It could have been wonderful if not the grab and go breakfast wich was a shame,• Leisure trip• Group• Venetian Bella Suite with Two Queen Beds• Stayed 3 nights• Submitted from a mobile device,1 review
19,Sheetal,United States of America,"Reviewed: April 4, 2018",7.5,coffee machine in the room would be nice,• Leisure trip• Group• Venetian Bella Suite with Two Queen Beds• Stayed 4 nights,1 review
20,Rick,Australia,"Reviewed: April 3, 2018",8.3,A real experience and glad we stayed here,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 2 nights• Submitted from a mobile device,17 Reviews
21,kitkates,United States of America,"Reviewed: April 3, 2018",10,Got a room to kill time waiting for a red-eye flight. Wish I'd stayed longer!,• Leisure trip• Family with young children• Venetian Luxury Suite with a King Bed• Stayed 1 night• Submitted from a mobile device,2 Reviews
22,Anita Najo,Australia,"Reviewed: April 3, 2018",10,This was the absolute best hotel we have stayed in.,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 5 nights,3 Reviews
23,Alex,United Kingdom,"Reviewed: April 3, 2018",6.7,Bed was big and bath was good,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 3 nights,4 Reviews
24,Louis,United States of America,"Reviewed: April 2, 2018",9.6,Wedding celebration,• Leisure trip• Family with young children• Venetian Luxury Suite with a King Bed• Stayed 3 nights• Submitted from a mobile device,1 review
25,Gerald,United States of America,"Reviewed: April 2, 2018",10,Staff was professional and helpful.,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 2 nights,2 Reviews
26,mimidinh,United States of America,"Reviewed: April 1, 2018",9.6,The customer service is smooth and very quick helpful at the check in.  The room is very spacy!,• Leisure trip• Family with young children• 2 rooms• Stayed 1 night• Submitted from a mobile device,6 Reviews
27,Emma,United Kingdom,"Reviewed: March 31, 2018",7.5,Beautiful place in the heart of vegas,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 2 nights• Submitted from a mobile device,6 Reviews
28,Shahzeb,United States of America,"Reviewed: March 28, 2018",8.3,Great Hotel but no value for money,• Leisure trip• Family with young children• Venetian Bella Suite with Two Queen Beds• Stayed 2 nights,12 Reviews
29,Sandra,United States of America,"Reviewed: March 26, 2018",8.3,We needed to book rooms in a pinch.,• Business trip• Group• Venetian Luxury Suite with a King Bed• Stayed 1 night,1 review
30,Tony,United Kingdom,"Reviewed: March 19, 2018",7.9,Lovely rooms and decor but hotel stressed me out!,• Leisure trip• Couple• Venetian Luxury View Suite with a King Bed• Stayed 1 night• Submitted from a mobile device,13 Reviews
31,Matthew,United States of America,"Reviewed: March 15, 2018",9.2,"Large rooms, great staff, tons to do onsite",• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 2 nights,8 Reviews
32,Anonymous,United States of America,"Reviewed: March 15, 2018",10,"We went to Vegas to celebrate our 32nd anniversary, we made the right decision to stay here.",• Leisure trip• Couple• Venetian Luxury View Suite with a King Bed• Stayed 2 nights• Submitted from a mobile device,1 review
33,Alexis Veliz,United States of America,"Reviewed: March 14, 2018",8.3,Family Trip to see “The Beatles Love”,• Leisure trip• Family with young children• Venetian Luxury Suite with a King Bed• Stayed 2 nights• Submitted from a mobile device,1 review
34,Anonymous,United States of America,"Reviewed: March 14, 2018",10,"Beautiful hotel - luxurious, efficently run with welcoming, well trained staff.",• Business trip• Group• Venetian Bella Suite with Two Queen Beds• Stayed 1 night,1 review
35,Normandy American Heroes,France,"Reviewed: March 12, 2018",8.8,Very nice bedroom,• Leisure trip• Family with young children• Venezia Bella Suite Upgrade + Grab N Go breakfast daily for 2• Stayed 2 nights• Submitted from a mobile device,21 Reviews
36,Jessica,United States of America,"Reviewed: March 6, 2018",10,Bed was amazing and so comfy!,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 1 night,1 review
37,Anonymous,United States of America,"Reviewed: March 4, 2018",7.5,Expensive but not special,• Leisure trip• Group• Venetian Bella Suite with Two Queen Beds• Stayed 2 nights• Submitted from a mobile device,23 Reviews
38,Tamara,United States of America,"Reviewed: March 3, 2018",9.2,"Spacious room and bathroom, comfortable beds, helpful staff.",• Leisure trip• Family with young children• Venetian Bella Suite with Two Queen Beds• Stayed 1 night• Submitted from a mobile device,6 Reviews
39,Brandon,United States of America,"Reviewed: March 2, 2018",10,I can't wait to experience the Venetian Hotel again.,• Business trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 1 night• Submitted from a mobile device,1 review
40,Anonymous,Argentina,"Reviewed: March 1, 2018",10,Superb hotel - Bad check in experience with Booking,• Leisure trip• Family with young children• Venetian Bella Suite with Two Queen Beds• Stayed 3 nights,9 Reviews
41,MarieCatherine,United States of America,"Reviewed: February 26, 2018",9.6,The Venetian does not disappoint!,• Leisure trip• Group• Venetian Bella View Suite with Two Queen Beds• Stayed 1 night,20 Reviews
42,Ashley,United Kingdom,"Reviewed: February 23, 2018",10,Perfect Location with all the Vegas pleasures,• Leisure trip• Solo traveler• Venetian Luxury Suite with a King Bed• Stayed 1 night,2 Reviews
43,Gemma,Australia,"Reviewed: February 22, 2018",9.2,A very comfortable room and helpful/friendly staff. Some small improvements to make it even better.,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 5 nights• Submitted from a mobile device,29 Reviews
44,AmandaRed,United Kingdom,"Reviewed: February 6, 2018",10,"Great hotel, food and service.",• Leisure trip• Group• Venetian Luxury Suite with a King Bed• Stayed 3 nights• Submitted from a mobile device,7 Reviews
45,Elina_fr,Israel,"Reviewed: February 4, 2018",8.8,"Over the top classy-romantic hotel, good luck finding your room!",• Leisure trip• Group• Venetian Bella Suite with Two Queen Beds• Stayed 2 nights,12 Reviews
46,Beki,United Kingdom,"Reviewed: February 2, 2018",8.3,A touch of luxury on the Strip,• Leisure trip• Group• Venetian Bella Suite with Two Queen Beds• Stayed 3 nights,4 Reviews
47,Cansu,United States of America,"Reviewed: February 1, 2018",9.2,Love the cleanliness and size of our room.,• Leisure trip• Family with young children• Venetian Luxury Suite with a King Bed• Stayed 1 night• Submitted from a mobile device,4 Reviews
48,Joliseeya,Saudi Arabia,"Reviewed: February 1, 2018",10,I lived my dream,• Leisure trip• Solo traveler• Venetian Luxury Suite with a King Bed• Stayed 2 nights,29 Reviews
49,Steve,United States of America,"Reviewed: January 31, 2018",9.6,Highly recommended!,• Leisure trip• Family with young children• Venetian Bella Suite with Two Queen Beds• Stayed 1 night• Submitted from a mobile device,3 Reviews
50,Oleksandr,United States of America,"Reviewed: January 30, 2018",4.6,Place doesn't cost their money. They want you to pay for every staff smile.,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 3 nights,1 review
51,Diane,Australia,"Reviewed: January 30, 2018",9.6,Lovely place but the smell of cigarette smoke ruined it a little bit,• Leisure trip• Couple• Venetian Bella View Suite with Two Queen Beds• Stayed 4 nights,7 Reviews
52,Julian,United States of America,"Reviewed: January 23, 2018",5.0,Overall ok,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 2 nights• Submitted from a mobile device,1 review
53,Vivian,United States of America,"Reviewed: January 23, 2018",9.2,Great place to stay for a quick trip to Vegas.,• Leisure trip• Group• Venetian Luxury Suite with a King Bed• Stayed 2 nights,1 review
54,Olivia,Australia,"Reviewed: January 21, 2018",10,The opulence and size of the room.,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 3 nights• Submitted from a mobile device,9 Reviews
55,Fabiano,Brazil,"Reviewed: January 19, 2018",9.6,"Large room, big beds, free parking, fast wifi.",• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 2 nights,47 Reviews
56,Peter,Hungary,"Reviewed: January 19, 2018",10,Great vacation at a great hotel!,• Leisure trip• Family with young children• Venetian Luxury Suite with a King Bed• Stayed 2 nights,8 Reviews
57,Elif,Belgium,"Reviewed: January 19, 2018",9.6,"I like Venetian restaurants, the shopping arcade and rooms.",• Leisure trip• Group• Venetian Luxury Suite with a King Bed• Stayed 2 nights,34 Reviews
58,Gaurav,United Kingdom,"Reviewed: January 18, 2018",7.5,"Spacious and great location, but very rude staff.",• Leisure trip• Solo traveler• Venetian Bella Suite with Two Queen Beds• Stayed 5 nights,3 Reviews
59,Alvaro,Ireland,"Reviewed: January 18, 2018",5.4,Very disappointing stay/Only 5* on paper - very satisfactory customer service.,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 2 nights• Submitted from a mobile device,50 Reviews
60,Leo,United States of America,"Reviewed: January 17, 2018",10,Everything about this property is exquisite.,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 2 nights,3 Reviews
61,Yuan,Australia,"Reviewed: January 16, 2018",9.6,A very comfortable stay,• Leisure trip• Family with young children• Venetian Luxury Suite with a King Bed• Stayed 3 nights,5 Reviews
62,Miroslav,Australia,"Reviewed: January 16, 2018",10,Book this hotel every time for an amazing experience.,• Leisure trip• Family with young children• Venetian Bella View Suite with Two Queen Beds• Stayed 3 nights,5 Reviews
63,Catherine,United Kingdom,"Reviewed: January 15, 2018",5.4,"Amazing holiday, hotel could've been better.",• Leisure trip• Couple• Venetian Bella Suite with Two Queen Beds• Stayed 4 nights• Submitted from a mobile device,4 Reviews
64,Julia,Australia,"Reviewed: January 14, 2018",9.6,Incredible experience overall,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 3 nights• Submitted from a mobile device,7 Reviews
65,Anonymous,United States of America,"Reviewed: January 10, 2018",8.8,"Fun time, still a good room.",• Leisure trip• Group• Venetian Bella Suite with Two Queen Beds• Stayed 3 nights• Submitted from a mobile device,2 Reviews
66,Margarita,Israel,"Reviewed: January 9, 2018",5.8,Not worth the money,• Leisure trip• Group• Venetian Bella View Suite with Two Queen Beds• Stayed 2 nights• Submitted from a mobile device,11 Reviews
67,Angela,United States of America,"Reviewed: January 9, 2018",9.6,Enjoyed it overall,• Leisure trip• Family with young children• Venetian Bella View Suite with Two Queen Beds• Stayed 3 nights,22 Reviews
68,Olga,United States of America,"Reviewed: January 8, 2018",9.6,First time and will definitely return.,• Leisure trip• Family with young children• Venetian Luxury Suite with a King Bed• Stayed 2 nights,2 Reviews
69,Adeel,United States of America,"Reviewed: January 8, 2018",10,Fabulous!,• Leisure trip• Family with young children• 2 rooms• Stayed 3 nights• Submitted from a mobile device,4 Reviews
70,Yongkiat,Thailand,"Reviewed: January 7, 2018",6.7,Only some sweets and coffee for Breakfast.,• Leisure trip• Family with young children• Venetian Bella Suite with Two Queen Beds• Stayed 2 nights,4 Reviews
71,Anonymous,United States of America,"Reviewed: January 6, 2018",10,"The rooms were very comfortable, very big, and clean!",• Leisure trip• Family with young children• Venetian Luxury Suite with a King Bed• Stayed 1 night,4 Reviews
72,Antonia W,United States of America,"Reviewed: January 6, 2018",8.8,Comfortable bed! ,• Leisure trip• Travelers with friends• Venetian Luxury Suite with a King Bed• Stayed 4 nights• Submitted from a mobile device,11 Reviews
73,Aydin,United States of America,"Reviewed: January 6, 2018",7.5,Breakfast was include in Booking.,• Business trip• Family with young children• Venetian Luxury Suite with a King Bed• Stayed 3 nights,4 Reviews
74,Sam Dee 3,United States of America,"Reviewed: January 6, 2018",7.5,Never again,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 1 night,2 Reviews
75,Yufen,United States of America,"Reviewed: January 5, 2018",10,Rooms good parking lot no good,• Leisure trip• Couple• Venetian Bella Suite with Two Queen Beds• Stayed 1 night• Submitted from a mobile device,2 Reviews
76,Olga,Latvia,"Reviewed: January 5, 2018",8.3,"Liked the stay, but with some disappointments",• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 2 nights,30 Reviews
77,Michael,United States of America,"Reviewed: January 4, 2018",9.2,Venetian is it beautiful resort.... I would stay there again.,• Leisure trip• Group• Venetian Luxury Suite with a King Bed• Stayed 4 nights• Submitted from a mobile device,1 review
78,John-paul,United States of America,"Reviewed: January 4, 2018",10,Greatest hotel and resort I’ve ever stayed at!  Highly recommend!!,• Leisure trip• Solo traveler• Venetian Luxury Suite with a King Bed• Stayed 2 nights• Submitted from a mobile device,3 Reviews
79,Marce,Panama,"Reviewed: January 3, 2018",7.5,"The Staff was very good, big kudos to that, they helped me...",• Couple• Venetian Luxury Suite with a King Bed• Stayed 5 nights,3 Reviews
80,Nita,Canada,"Reviewed: January 3, 2018",10,Beautiful hotel but too much smoke.,• Leisure trip• Group• Venetian Luxury Suite with a King Bed• Stayed 2 nights• Submitted from a mobile device,1 review
81,Anonymous,New Zealand,"Reviewed: January 3, 2018",9.6,room is large and clean.,• Leisure trip• Group• Venetian Luxury Suite with a King Bed• Stayed 1 night• Submitted from a mobile device,5 Reviews
82,Maria-czarina,United States of America,"Reviewed: January 3, 2018",7.1,It was disappointing accommodation but staff were friendly.,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed with 150 USD Resort Credit• Stayed 2 nights• Submitted from a mobile device,3 Reviews
83,Melinda,United States of America,"Reviewed: January 3, 2018",9.2,Quintessential Las Vegas Strip - big and bold.,• Leisure trip• Family with young children• Venetian Bella Suite with Two Queen Beds with 150USD Resort Credit• Stayed 2 nights• Submitted from a mobile device,15 Reviews
84,Matyas,Hungary,"Reviewed: January 2, 2018",9.6,The location and the room was perfect.,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 3 nights• Submitted from a mobile device,6 Reviews
85,Leigh,United States of America,"Reviewed: December 31, 2017",5.8,I would not stay at the Venetian again,• Leisure trip• Family with young children• Venetian Bella Suite with Two Queen Beds• Stayed 3 nights• Submitted from a mobile device,2 Reviews
86,Danielle,United States of America,"Reviewed: December 31, 2017",10,Pure Luxury!,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 1 night,19 Reviews
87,Delano,United States of America,"Reviewed: December 30, 2017",9.6,still very nice .,• Leisure trip• Family with young children• Venetian Luxury View Suite with a King Bed• Stayed 2 nights,4 Reviews
88,Chelsea,Canada,"Reviewed: December 29, 2017",7.5,"comfortable, on the strip, disappointing breakfasts and difficult for parking.",• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 2 nights• Submitted from a mobile device,8 Reviews
89,Sophia,Taiwan,"Reviewed: December 29, 2017",8.8,The room is big and perfect for family!,• Leisure trip• Family with young children• Venetian Bella Suite with Two Queen Beds• Stayed 2 nights• Submitted from a mobile device,4 Reviews
90,Hb,United States of America,"Reviewed: December 25, 2017",8.8,Spacious room,• Leisure trip• Family with young children• Venetian Luxury Suite with a King Bed• Stayed 3 nights• Submitted from a mobile device,2 Reviews
91,John,United States of America,"Reviewed: December 25, 2017",7.1,The hotel was beautiful inside and out.,• Leisure trip• Family with young children• Venetian Bella Suite with Two Queen Beds• Stayed 3 nights• Submitted from a mobile device,1 review
92,ZawazawaZac,United States of America,"Reviewed: December 24, 2017",9.6,"the room is big and beautiful, the bed is the best one I...",• Leisure trip• Family with young children• Venetian Bella Suite with Two Queen Beds• Stayed 3 nights,1 review
93,Stephanie,United States of America,"Reviewed: December 23, 2017",10,The rooms are huge and comfortable.,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed with 150 USD Resort Credit• Stayed 2 nights• Submitted from a mobile device,6 Reviews
94,Anonymous,United States of America,"Reviewed: December 18, 2017",10,Great location on the script.,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 2 nights,20 Reviews
95,Teresa,United States of America,"Reviewed: December 10, 2017",6.7,Room was quiet and comfortable over all but not impressed with the property for the price.,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 4 nights,8 Reviews
96,Jose,United States of America,"Reviewed: December 6, 2017",10,Best place in Vegas,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 2 nights,7 Reviews
97,Corinne,United States of America,"Reviewed: December 6, 2017",6.3,Globally good but...,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 2 nights• Submitted from a mobile device,8 Reviews
98,demipp,China,"Reviewed: December 4, 2017",10,Wonderful time in Las Vegas,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 1 night• Submitted from a mobile device,15 Reviews
99,Constantin,United States of America,"Reviewed: December 3, 2017",5.8,Bad experience !,• Leisure trip• Family with young children• Venetian Bella Suite with Two Queen Beds• Stayed 2 nights• Submitted from a mobile device,8 Reviews
100,Kathy,United States of America,"Reviewed: December 1, 2017",7.9,Wouldn’t stay there again,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 1 night• Submitted from a mobile device,1 review
101,Mehk,United States of America,"Reviewed: December 1, 2017",10,Nothing short of fabulous!!!!,• Business trip• Solo traveler• Venetian Luxury Suite with a King Bed• Stayed 2 nights• Submitted from a mobile device,1 review
102,yasemin92,United Kingdom,"Reviewed: December 1, 2017",5.8,Our reasonably high expections were not even close to be met. Disappointed.,• Leisure trip• Group• Venetian Luxury Suite with a King Bed with 150 USD Resort Credit• Stayed 2 nights• Submitted from a mobile device,4 Reviews
103,James,South Africa,"Reviewed: November 29, 2017",5.8,Disappointed. Too much smoke in facilities and Breakfast upset left a sour taste.,• Leisure trip• Couple• Venetian Luxury View Suite with a King Bed• Stayed 4 nights• Submitted from a mobile device,8 Reviews
104,Brunn,Switzerland,"Reviewed: November 28, 2017",9.6,Amazing complex,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 2 nights• Submitted from a mobile device,24 Reviews
105,Narcis,United States of America,"Reviewed: November 27, 2017",10,Nice hotel,• Leisure trip• Couple• Venetian Luxury View Suite with a King Bed• Stayed 1 night,11 Reviews
106,Girish,United States of America,"Reviewed: November 27, 2017",9.2,"Comfortable family stay, felt safe",• Leisure trip• Family with young children• Venetian Luxury Suite with a King Bed with 150 USD Resort Credit• Stayed 2 nights,5 Reviews
107,Mary,Ireland,"Reviewed: November 24, 2017",9.6,Luxury,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 3 nights,2 Reviews
108,Anonymous,United States of America,"Reviewed: November 22, 2017",9.6,The Property is absolutely beautiful.,• Leisure trip• Family with young children• Venetian Bella Suite with Two Queen Beds• Stayed 2 nights• Submitted from a mobile device,2 Reviews
109,Aidan,Ireland,"Reviewed: November 21, 2017",9.6,"Fabulous hotel, in a great location in the middle of the LV strip. A hotel worthy of its reputation.",• Leisure trip• Couple• Venetian Luxury View Suite with a King Bed• Stayed 2 nights• Submitted from a mobile device,5 Reviews
110,E,United States of America,"Reviewed: November 21, 2017",10,Worth every penny.,• Leisure trip• Family with young children• 2 rooms• Stayed 2 nights• Submitted from a mobile device,5 Reviews
111,Tigran,Armenia,"Reviewed: November 20, 2017",9.2,"Overall good hotel, perfect location. Don't play the slot machines, they are programmed to eat your",• Leisure trip• Group• Venetian Bella Suite with Two Queen Beds• Stayed 2 nights• Submitted from a mobile device,2 Reviews
112,Rica,United States of America,"Reviewed: November 20, 2017",9.2,It was great,• Leisure trip• Couple• Venetian Luxury View Suite with a King Bed• Stayed 2 nights• Submitted from a mobile device,2 Reviews
113,Cao,United States of America,"Reviewed: November 16, 2017",3.8,horrible,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 2 nights• Submitted from a mobile device,1 review
114,Paul,United States of America,"Reviewed: November 16, 2017",10,Great music and great accommodation,• Leisure trip• Group• Venetian Luxury Suite with a King Bed• Stayed 1 night• Submitted from a mobile device,5 Reviews
115,Court0105,United States of America,"Reviewed: November 14, 2017",10,Loved it!,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 2 nights• Submitted from a mobile device,1 review
116,Michelle,United Kingdom,"Reviewed: November 12, 2017",9.6,Fabulous and Fun,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 3 nights• Submitted from a mobile device,7 Reviews
117,William,United States of America,"Reviewed: November 10, 2017",5.4,So many other places that actually appreciate your business.,• Leisure trip• Family with young children• Venetian Bella Suite with Two Queen Beds• Stayed 2 nights• Submitted from a mobile device,1 review
118,Gglondon,United Kingdom,"Reviewed: November 9, 2017",8.8,Short and sweet,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 2 nights• Submitted from a mobile device,1 review
119,Tracy,United States of America,"Reviewed: November 9, 2017",2.9,The Venetian resort and hotel is a mess you couldn't pay me to go back ,• Leisure trip• Couple• Venetian Bella View Suite with Two Queen Beds• Stayed 2 nights• Submitted from a mobile device,1 review
120,Neta,Israel,"Reviewed: November 8, 2017",5.0,Not what you expect from a 5 stars hotel,• Couple• Venetian Luxury View Suite with a King Bed• Stayed 1 night• Submitted from a mobile device,28 Reviews
121,Daniel,Ireland,"Reviewed: November 6, 2017",10,Decor was stunning.,• Business trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 5 nights• Submitted from a mobile device,16 Reviews
122,Robzing,Saudi Arabia,"Reviewed: November 6, 2017",5.0,fine not perfect.,• Leisure trip• Family with young children• Venetian Luxury Suite with a King Bed• Stayed 4 nights,3 Reviews
123,Carlina,United States of America,"Reviewed: November 3, 2017",10,Everything about the Venetian was beyond my expectations.,• Leisure trip• Family with young children• Venetian Luxury Suite with a King Bed• Stayed 2 nights• Submitted from a mobile device,1 review
124,Howard,United States of America,"Reviewed: November 3, 2017",5.8,not worth the money they charge.,• Leisure trip• Solo traveler• Venetian Luxury Suite with a King Bed• Stayed 3 nights,5 Reviews
125,Himanshu,United Arab Emirates,"Reviewed: November 2, 2017",8.8,Superb experience! ,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 3 nights• Submitted from a mobile device,7 Reviews
126,Camille,Canada,"Reviewed: November 2, 2017",9.2,Overall a very upscale property.  Great views.,• Leisure trip• Group• Venetian Luxury Suite with a King Bed with 150 USD Resort Credit• Stayed 5 nights,1 review
127,Brittany,United States of America,"Reviewed: November 1, 2017",9.6,"My stay was wonderful, I feel I picked a great hotel for my first visit.",• Leisure trip• Group• Venetian Bella Suite with Two Queen Beds• Stayed 5 nights• Submitted from a mobile device,1 review
128,Russann,Bermuda,"Reviewed: November 1, 2017",7.5,"Overall our stay was pleasant; however, on return I will be certain to request a room with a view.",• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 3 nights• Submitted from a mobile device,1 review
129,Susanne,Denmark,"Reviewed: November 1, 2017",6.3,Waste of holiday really...,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 2 nights• Submitted from a mobile device,7 Reviews
130,Steve,New Zealand,"Reviewed: October 31, 2017",8.8,Great facility,• Business trip• Group• Venetian Bella Suite with Two Queen Beds• Stayed 2 nights• Submitted from a mobile device,32 Reviews
131,Richard,United Kingdom,"Reviewed: October 31, 2017",8.3,"Great location, looks luxurious, but for a family with a multitude of iPads and iPhones it isn't!",• Leisure trip• Family with young children• Venetian Bella Suite with Two Queen Beds• Stayed 3 nights,1 review
132,Bojan,Serbia,"Reviewed: October 31, 2017",9.6,Fanastic Hotel which will surely fulfill highest...,• Leisure trip• Group• Venetian Bella Suite with Two Queen Beds• Stayed 3 nights• Submitted from a mobile device,10 Reviews
133,Anonymous,United States of America,"Reviewed: October 30, 2017",4.6,The Venetian needs to review housekeeping response time.,• Leisure trip• Family with young children• Venetian Luxury View Suite with a King Bed• Stayed 2 nights• Submitted from a mobile device,1 review
134,Levon,United States of America,"Reviewed: October 29, 2017",10,I will definitely be back again any time soon!,• Couple• Venetian Bella Suite with Two Queen Beds with 150USD Resort Credit• Stayed 2 nights• Submitted from a mobile device,1 review
135,David,United Kingdom,"Reviewed: October 29, 2017",9.6,"Great location, very good hotel.",• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 1 night• Submitted from a mobile device,24 Reviews
136,Anonymous,United States of America,"Reviewed: October 24, 2017",9.6,Disappointing breakfast. Outstanding facility.,• Leisure trip• Family with young children• Venetian Bella Suite with Two Queen Beds• Stayed 2 nights• Submitted from a mobile device,3 Reviews
137,Linda,United States of America,"Reviewed: October 24, 2017",9.6,I will be going back to this beautiful place.,• Leisure trip• Couple• Venetian Bella Suite with Two Queen Beds• Stayed 1 night,1 review
