,Overall_review,date,name,nationality,rating,review_times,tag
19,"Big, Clean Rooms in a great locations, But not really for family with small kids.","Reviewed: March 16, 2018",Amir,United States of America,6.3,4 Reviews,"• Leisure trip


• Family with young children


• Julius Deluxe Room, 2 Queens, Non-Smoking


• Stayed 1 night"
20,The place is huge and has everything you might need (big...,"Reviewed: March 14, 2018",Alex,Switzerland,8.3,6 Reviews,"• Leisure trip


• Solo traveler


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 1 night"
21,"Beautiful, but not secure, hotel","Reviewed: March 14, 2018",reynoldswallis,United States of America,6.3,4 Reviews,"• Leisure trip


• Group


• Julius Deluxe Room, 1 King, Non-Smoking


• Stayed 3 nights"
22,Ordered room service (pizza) and they brought it sooner than...,"Reviewed: March 14, 2018",Jordan,United States of America,10,1 review,"• Leisure trip


• Family with young children


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 1 night


• Submitted from a mobile device"
23,Not coming back,"Reviewed: March 13, 2018",Patrick,Denmark,5.0,2 Reviews,"• Leisure trip


• Couple


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 2 nights


• Submitted from a mobile device"
24,Lovely hotel in perfect location,"Reviewed: March 13, 2018",Marion,Ireland,10,13 Reviews,"• Leisure trip


• Couple


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 3 nights


• Submitted from a mobile device"
25,Upgraded for free.,"Reviewed: March 11, 2018",Christopher,United Kingdom,9.6,13 Reviews,"• Leisure trip


• Couple


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 2 nights


• Submitted from a mobile device"
26,busy big and overpriced,"Reviewed: March 11, 2018",Kelly,United States of America,6.7,1 review,"• Leisure trip


• Couple


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 4 nights"
27,I thought not a good value at all since the room is already expensive and they charged extra for alm,"Reviewed: March 8, 2018",Michael,United States of America,8.5,1 review,"• Leisure trip


• Couple


• Palace Premium Studio Suite, 2 Queens, Non-Smoking


• Stayed 5 nights


• Submitted from a mobile device"
28,Very pleased!!,"Reviewed: March 8, 2018",Ronald,United States of America,10,1 review,"• Leisure trip


• Couple


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 1 night


• Submitted from a mobile device"
29,"Luxury, excellent service, amazing food and fantastic customer service - what's not to LOVE","Reviewed: March 7, 2018",Stewart,Ireland,10,10 Reviews,"• Leisure trip


• Couple


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 4 nights"
30,Luxury with luxury pricing.,"Reviewed: March 6, 2018",Gregory,United States of America,9.2,9 Reviews,"• Leisure trip


• Couple


• Julius Deluxe Room, 1 King, Non-Smoking


• Stayed 1 night"
31,Average hotel nothing outstanding,"Reviewed: March 4, 2018",Edgar,United States of America,7.5,2 Reviews,"• Leisure trip


• Family with young children


• Palace Premium Studio Suite, 2 Queens, Non-Smoking


• Stayed 1 night


• Submitted from a mobile device"
32,Loved every minute I spent there!,"Reviewed: March 4, 2018",Kelly,United States of America,10,1 review,"• Business trip


• Solo traveler


• Palace Premium Room, 1 King Bed, Non-Smoking


• Stayed 4 nights


• Submitted from a mobile device"
33,Too expensive for the price and I have to pay extra for early check in,"Reviewed: March 2, 2018",Irisbeth,United States of America,5.0,1 review,"• Leisure trip


• Couple


• Julius Deluxe Room, 2 Queens, Non-Smoking


• Stayed 1 night


• Submitted from a mobile device"
34,I will return to Caesars Palace on my next trip to Las Vegas,"Reviewed: February 27, 2018",Star1960,United States of America,10,16 Reviews,"• Leisure trip


• Family with young children


• Palace Premium Room, 2 Queen Beds, Non-Smoking


• Stayed 2 nights"
35,Two Nights  in Vegas,"Reviewed: February 27, 2018",Anonymous,United Kingdom,9.2,1 review,"• Leisure trip


• Couple


• Augustus Strip View, 2 Queens, Non-Smoking


• Stayed 2 nights


• Submitted from a mobile device"
36,"Not bad, not great.","Reviewed: February 27, 2018",kita8516,Belgium,6.7,3 Reviews,"• Leisure trip


• Group


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 2 nights"
37,Good Location but not friendly to people with vehicles,"Reviewed: February 23, 2018",Yuan,United States of America,6.3,4 Reviews,"• Leisure trip


• Family with young children


• 2 rooms


• Stayed 1 night


• Submitted from a mobile device"
38,The Qua spa is the reason I keep coming back.,"Reviewed: February 23, 2018",Amanda,United States of America,7.9,13 Reviews,"• Leisure trip


• Solo traveler


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 1 night


• Submitted from a mobile device"
39,"Frustrating, ripped off, small.","Reviewed: February 20, 2018",Annie,United States of America,5.4,2 Reviews,"• Business trip


• Couple


• Palace Premium Studio Suite, 2 Queens, Non-Smoking


• Stayed 5 nights


• Submitted from a mobile device"
40,"Horribly overrated, lost its charm.","Reviewed: February 20, 2018",Kallie,United States of America,6.3,1 review,"• Leisure trip


• Couple


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 1 night


• Submitted from a mobile device"
41,We enjoy it  a lot !,"Reviewed: February 20, 2018",Marcos,Puerto Rico,8.8,2 Reviews,"• Leisure trip


• Couple


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 4 nights


• Submitted from a mobile device"
42,"Beautiful room, liked the check-in kiosks and that we could...","Reviewed: February 19, 2018",First,United States of America,8.8,1 review,"• Leisure trip


• Group


• Augustus Premium Room, King, Non-Smoking


• Stayed 3 nights"
43,The one and only Caesars,"Reviewed: February 18, 2018",Oleksandr,Ukraine,9.2,4 Reviews,"• Leisure trip


• Couple


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 4 nights


• Submitted from a mobile device"
44,According to expectations.,"Reviewed: February 18, 2018",Dionyssios,United States of America,9.2,1 review,"• Leisure trip


• Family with young children


• Julius Deluxe Room, 2 Queens, Non-Smoking


• Stayed 1 night


• Submitted from a mobile device"
45,Okay will not return because of lack of concern over guests accommodation.,"Reviewed: February 13, 2018",Susan,United States of America,6.3,1 review,"• Leisure trip


• Couple


• Julius Deluxe Room, 1 King, Non-Smoking


• Stayed 3 nights


• Submitted from a mobile device"
46,The experience was great and I would stay again!,"Reviewed: February 13, 2018",Walter,United States of America,8.3,1 review,"• Leisure trip


• Family with young children


• Julius Deluxe Room, 2 Queens, Non-Smoking


• Stayed 1 night


• Submitted from a mobile device"
47,We love Vegas and can't wait to be back!,"Reviewed: February 13, 2018",Ashleigh,United States of America,6.7,1 review,"• Leisure trip


• Couple


• Octavius Premium Room, 1 King, Non-Smoking


• Stayed 4 nights


• Submitted from a mobile device"
48,Disappointing.,"Reviewed: February 12, 2018",Traveller,Australia,5.8,1 review,"• Leisure trip


• Group


• Julius Deluxe Room, 1 King, Non-Smoking


• Stayed 1 night


• Submitted from a mobile device"
49,Book the hotel after watching ''Hangover''...,"Reviewed: February 10, 2018",Chan,Singapore,7.1,20 Reviews,"• Leisure trip


• Couple


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 2 nights"
50,One of the worst hotel experiences in years.,"Reviewed: February 8, 2018",Brian,United Kingdom,5.0,3 Reviews,"• Business trip


• Group


• Octavius Premium Room, 1 King, Non-Smoking


• Stayed 5 nights


• Submitted from a mobile device"
51,"Cafe Americano was convenient, food was outstanding, huge...","Reviewed: February 5, 2018",Wendy,United States of America,10,1 review,"• Leisure trip


• Couple


• Octavius Premium Room, 1 King, Non-Smoking


• Stayed 3 nights


• Submitted from a mobile device"
52,"The room was large, comfortable & spotless.","Reviewed: February 4, 2018",Laura,United States of America,10,2 Reviews,"• Leisure trip


• Group


• Forum Classic, 2 Queen Beds, Non-Smoking


• Stayed 1 night"
53,Enjoyable comfortable 5 night stay.,"Reviewed: February 3, 2018",Robyn,New Zealand,6.7,7 Reviews,"• Leisure trip


• Couple


• Octavius Premium Room, 1 King, Non-Smoking


• Stayed 3 nights


• Submitted from a mobile device"
54,Bed was comfortable.,"Reviewed: February 1, 2018",Mary,United States of America,7.1,3 Reviews,"• Leisure trip


• Solo traveler


• Octavius Premium Room, 2 Queens, Non-Smoking


• Stayed 1 night"
55,"Great short stay in Vegas,","Reviewed: January 31, 2018",Judy,Canada,10,25 Reviews,"• Leisure trip


• Couple


• Octavius Premium Room, 1 King, Non-Smoking


• Stayed 2 nights


• Submitted from a mobile device"
56,Staff was very helpful.,"Reviewed: January 30, 2018",Marco,United States of America,10,2 Reviews,"• Leisure trip


• Couple


• Julius Deluxe Room, 1 King, Non-Smoking


• Stayed 2 nights


• Submitted from a mobile device"
57,Proximity to everything.,"Reviewed: January 29, 2018",Darren,Canada,7.5,1 review,"• Business trip


• Couple


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 6 nights


• Submitted from a mobile device"
58,Expensive and disappointing,"Reviewed: January 21, 2018",Sonia,Portugal,7.1,9 Reviews,"• Leisure trip


• Couple


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 1 night


• Submitted from a mobile device"
59,Very comfortable bed and clean bathroom.,"Reviewed: January 21, 2018",Sarah,Australia,7.9,1 review,"• Leisure trip


• Couple


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 3 nights


• Submitted from a mobile device"
60,Wonderful stay.,"Reviewed: January 20, 2018",Frances,United States of America,10,1 review,"• Leisure trip


• Couple


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 1 night"
61,Awesome hotel!,"Reviewed: January 20, 2018",Ronya,Canada,10,8 Reviews,"• Leisure trip


• Couple


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 4 nights


• Submitted from a mobile device"
62,Don´t expect to much service nor breakfast,"Reviewed: January 20, 2018",Karolina,Czech Republic,6.3,8 Reviews,"• Leisure trip


• Couple


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 2 nights"
63,The nickel and dime the tourists.,"Reviewed: January 18, 2018",Jessica,Canada,7.1,2 Reviews,"• Leisure trip


• Travelers with friends


• Forum Classic, 2 Queen Beds, Non-Smoking


• Stayed 1 night


• Submitted from a mobile device"
64,"Iconic location, in bad need of a refurb","Reviewed: January 18, 2018",Daniel,United Kingdom,6.3,2 Reviews,"• Business trip


• Group


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 2 nights"
65,Lots of stuff to do and see just inside the hotel and it has...,"Reviewed: January 17, 2018",Geoffry,United States of America,7.5,12 Reviews,"• Leisure trip


• Group


• Julius Deluxe Room, 2 Queens, Non-Smoking


• Stayed 1 night"
66,"Friendly staff, classic hotel and a very enjoyable stay.","Reviewed: January 17, 2018",Ian,Canada,9.6,12 Reviews,"• Leisure trip


• Couple


• Palace Premium Studio Suite, 2 Queens, Non-Smoking


• Stayed 5 nights"
67,Blisssful and luxurious,"Reviewed: January 17, 2018",Kristin,United States of America,10,1 review,"• Business trip


• Solo traveler


• Octavius Premium Room, 2 Queens, Non-Smoking


• Stayed 1 night


• Submitted from a mobile device"
68,Did not enjoy over paying the room at the Caesars  with Booking.com,"Reviewed: January 13, 2018",Rita,Canada,6.3,1 review,"• Leisure trip


• Group


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 4 nights"
69,not for business/conference travellers,"Reviewed: January 13, 2018",Anonymous,Hong Kong,5.8,10 Reviews,"• Business trip


• Solo traveler


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 4 nights


• Submitted from a mobile device"
70,it's expensive and nothing out of the ordinary,"Reviewed: January 12, 2018",Cristian,United States of America,6.3,1 review,"• Leisure trip


• Group


• Julius Deluxe Room, 2 Queens, Non-Smoking


• Stayed 1 night"
71,Disappointing,"Reviewed: January 12, 2018",Russell,Australia,6.7,6 Reviews,"• Leisure trip


• Couple


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 3 nights


• Submitted from a mobile device"
72,Best Vegas casino/hotel,"Reviewed: January 11, 2018",Anonymous,United States of America,10,1 review,"• Leisure trip


• Couple


• Palace Premium Room, 1 King Bed, Non-Smoking


• Stayed 2 nights


• Submitted from a mobile device"
73,Had a fabulous time!,"Reviewed: January 8, 2018",Lisa,United States of America,9.6,1 review,"• Leisure trip


• Family with young children


• 2 rooms


• Stayed 3 nights"
74,I chose to stay here for the buffet.,"Reviewed: January 6, 2018",Mi,United States of America,7.5,4 Reviews,"• Leisure trip


• Couple


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 1 night


• Submitted from a mobile device"
75,Nothing,"Reviewed: January 6, 2018",Lorena,Argentina,4.2,27 Reviews,"• Leisure trip


• Solo traveler


• Julius Deluxe Room, 1 King, Non-Smoking


• Stayed 3 nights


• Submitted from a mobile device"
76,Caesear palace is an icon it was great to say I have stayed there.,"Reviewed: January 5, 2018",Brian,United Kingdom,8.8,21 Reviews,"• Leisure trip


• Solo traveler


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 4 nights


• Submitted from a mobile device"
77,location.,"Reviewed: January 3, 2018",Keith,United States of America,7.5,7 Reviews,"• Leisure trip


• Solo traveler


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 1 night


• Submitted from a mobile device"
78,Poor,"Reviewed: January 3, 2018",Wilfredo,Philippines,5.4,1 review,"• Leisure trip


• Family with young children


• Julius Deluxe Room, 2 Queens, Non-Smoking


• Stayed 3 nights


• Submitted from a mobile device"
79,We enjoyed our stay and would stay here again.,"Reviewed: December 31, 2017",William,United States of America,9.2,1 review,"• Leisure trip


• Couple


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 3 nights


• Submitted from a mobile device"
80,Palace fit for a King!,"Reviewed: December 31, 2017",Jen,Australia,9.6,7 Reviews,"• Leisure trip


• Couple


• Julius Deluxe Room, 1 King, Non-Smoking


• Stayed 3 nights


• Submitted from a mobile device"
81,Iconic hotel in a great location. Romantic and luxurious. Jennifer and Peter Rogers,"Reviewed: December 30, 2017",Peter,South Africa,8.3,12 Reviews,"• Leisure trip


• Couple


• Octavius Premium Room, 1 King, Non-Smoking


• Stayed 7 nights


• Submitted from a mobile device"
82,Excellent A++++,"Reviewed: December 28, 2017",Naturally,United States of America,9.6,1 review,"• Couple


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 3 nights


• Submitted from a mobile device"
83,Caesar Experience,"Reviewed: December 24, 2017",George Benni,Qatar,7.1,20 Reviews,"• Leisure trip


• Group


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 3 nights"
84,"Overall, it was a wonderful stay.","Reviewed: December 22, 2017",Celia,United States of America,9.6,1 review,"• Leisure trip


• Couple


• Julius Deluxe Room, 1 King, Non-Smoking


• Stayed 5 nights"
85,Surreal - Fantastic!,"Reviewed: December 21, 2017",Viktoria,Austria,10,28 Reviews,"• Leisure trip


• Group


• Forum Classic, 2 Queen Beds, Non-Smoking


• Stayed 1 night


• Submitted from a mobile device"
86,Very disappointing!,"Reviewed: December 20, 2017",Mary,United States of America,4.6,1 review,"• Group


• Julius Deluxe Room, 2 Queens, Non-Smoking


• Stayed 2 nights


• Submitted from a mobile device"
87,booking reservation did not meet the expectation,"Reviewed: December 18, 2017",Satpal,Canada,5.4,1 review,"• Leisure trip


• Couple


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 2 nights"
88,"We were upgraded to the Nobu Hotel inside Caesars Palace,...","Reviewed: December 16, 2017",Dale,United States of America,8.8,1 review,"• Leisure trip


• Family with young children


• Julius Deluxe Room, 2 Queens, Non-Smoking


• Stayed 1 night


• Submitted from a mobile device"
89,We won the jackpot at Caesars'!!,"Reviewed: December 15, 2017",Marketa,France,10,15 Reviews,"• Leisure trip


• Couple


• Octavius Premium Room, 1 King, Non-Smoking


• Stayed 1 night"
90,"Hotel is very classy, clean and convenient location on the Strip","Reviewed: December 15, 2017",William,United States of America,9.2,2 Reviews,"• Leisure trip


• Group


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 3 nights


• Submitted from a mobile device"
91,Great situation.,"Reviewed: December 14, 2017",Michael,France,6.7,24 Reviews,"• Leisure trip


• Couple


• Augustus Premium Room, 1 King, Smoking


• Stayed 1 night


• Submitted from a mobile device"
92,Prime location but overpriced.,"Reviewed: December 14, 2017",Beonca,United States of America,8.3,2 Reviews,"• Leisure trip


• Group


• Julius Deluxe Room, 2 Queens, Non-Smoking


• Stayed 3 nights


• Submitted from a mobile device"
93,It was relaxing,"Reviewed: December 10, 2017",Kelly,United States of America,10,9 Reviews,"• Leisure trip


• Couple


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 1 night


• Submitted from a mobile device"
94,Disappointed with my stay. This is a long time favorite place to stay but this will be my last.,"Reviewed: December 8, 2017",Victoria,United Kingdom,4.6,2 Reviews,"• Leisure trip


• Group


• Augustus Strip View, 1 King, Non-Smoking


• Stayed 6 nights


• Submitted from a mobile device"
95,Fine once we got the room situation taken care of,"Reviewed: December 4, 2017",Patricia,United States of America,10,1 review,"• Leisure trip


• Couple


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 2 nights


• Submitted from a mobile device"
96,Shopping was outstanding.,"Reviewed: December 4, 2017",Cheryl,United States of America,9.6,1 review,"• Leisure trip


• Couple


• Palace Premium Studio Suite, 1 King, Non-Smoking


• Stayed 3 nights"
97,"Relaxed, happy, & ready to back to the grind!","Reviewed: December 3, 2017",Dustau,United States of America,10,1 review,"• Leisure trip


• Couple


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 2 nights


• Submitted from a mobile device"
98,I stated in my reservation that we were a family of 5 and...,"Reviewed: December 3, 2017",Daniel,United States of America,6.3,3 Reviews,"• Leisure trip


• Family with young children


• 2 rooms


• Stayed 3 nights"
99,Nice hotel but eat elsewhere,"Reviewed: November 29, 2017",Shane,Ireland,9.6,2 Reviews,"• Leisure trip


• Couple


• Augustus Strip View, 1 King, Non-Smoking


• Stayed 7 nights


• Submitted from a mobile device"
100,Our trip was an 9 out of 10 if it wasn't for the casino air you would of got a 10.,"Reviewed: November 28, 2017",Brain,United States of America,9.2,1 review,"• Leisure trip


• Couple


• Julius Deluxe Room, 1 King, Non-Smoking


• Stayed 2 nights"
101,Text messages from a personal concierge.,"Reviewed: November 26, 2017",Marcia,United States of America,10,1 review,"• Leisure trip


• Group


• Augustus Strip View, 2 Queens, Non-Smoking


• Stayed 2 nights"
102,Wish that ALL the suites weren’t SMOKING rooms ☹️,"Reviewed: November 25, 2017",Anonymous,United States of America,6.7,18 Reviews,"• Leisure trip


• Couple


• Forum Classic Suite, 1 King Bed, Non-Smoking


• Stayed 1 night


• Submitted from a mobile device"
103,I spent a lot of money at Caesars and was treated like a cheap tourist.,"Reviewed: November 24, 2017",Amy,United States of America,5.0,1 review,"• Leisure trip


• Group


• Julius Deluxe Room, 2 Queens, Non-Smoking


• Stayed 3 nights


• Submitted from a mobile device"
104,Too expensive! Maid service awful ! Room not ready,"Reviewed: November 22, 2017",Kelly,United States of America,6.7,5 Reviews,"• Leisure trip


• Group


• Palace Premium Studio Suite, 2 Queens, Non-Smoking


• Stayed 2 nights


• Submitted from a mobile device"
105,I wish I listened to my friends and husband and booked elsewhere.,"Reviewed: November 22, 2017",Tanushree,United States of America,3.3,1 review,"• Business trip


• Family with young children


• Julius Deluxe Room, 2 Queens, Non-Smoking


• Stayed 2 nights"
106,Enjoyed the saty.,"Reviewed: November 21, 2017",Edward,United States of America,9.6,1 review,"• Leisure trip


• Couple


• Forum Classic, 2 Queen Beds, Non-Smoking


• Stayed 2 nights"
107,Over priced.,"Reviewed: November 19, 2017",Wes,United States of America,7.1,1 review,"• Leisure trip


• Couple


• Julius Deluxe Room, 1 King, Non-Smoking


• Stayed 1 night


• Submitted from a mobile device"
108,"Nice hotel, clean, good location but service could have been better","Reviewed: November 18, 2017",Cate,Australia,7.1,3 Reviews,"• Leisure trip


• Group


• Julius Deluxe Room, 2 Queens, Non-Smoking


• Stayed 3 nights


• Submitted from a mobile device"
109,"OK...I'd never stay there again, very expensive.","Reviewed: November 14, 2017",D,United States of America,6.3,2 Reviews,"• Leisure trip


• Solo traveler


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 2 nights"
110,Didn't like my stay at this hotel wouldn't stay there again,"Reviewed: November 14, 2017",Leanne,United Kingdom,7.5,3 Reviews,"• Leisure trip


• Group


• Julius Deluxe Room, 2 Queens, Non-Smoking


• Stayed 2 nights


• Submitted from a mobile device"
111,I so far haven't received the refund of my deposit.,"Reviewed: November 14, 2017",Maggie,Australia,4.2,3 Reviews,"• Leisure trip


• Group


• Forum Classic, 2 Queen Beds, Non-Smoking


• Stayed 1 night"
112,Disappointing stay at Ceasars Palace.,"Reviewed: November 13, 2017",MarieCatherine,United States of America,7.1,20 Reviews,"• Leisure trip


• Group


• Julius Deluxe Room, 2 Queens, Non-Smoking


• Stayed 2 nights"
113,Wasnt wat i expected...,"Reviewed: November 10, 2017",Bobcat,Bahamas,5.0,3 Reviews,"• Leisure trip


• Travelers with friends


• Augustus Strip View, 2 Queens, Non-Smoking


• Stayed 3 nights


• Submitted from a mobile device"
114,Everything you hope for and a lot more.,"Reviewed: November 9, 2017",Christopher,United Kingdom,10,3 Reviews,"• Leisure trip


• Couple


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 2 nights"
115,"Not worth the money, poor customer service","Reviewed: November 4, 2017",David,United States of America,5.0,1 review,"• Business trip


• Family with young children


• Augustus Premium Room, 2 Queens, Non-Smoking


• Stayed 4 nights


• Submitted from a mobile device"
116,Amazing and very comfortable,"Reviewed: November 3, 2017",Lucinda,France,8.3,3 Reviews,"• Leisure trip


• Family with young children


• Augustus Strip View, 2 Queens, Non-Smoking


• Stayed 2 nights


• Submitted from a mobile device"
117,Heart of the Strip,"Reviewed: November 3, 2017",Suzy895,Australia,9.6,28 Reviews,"• Leisure trip


• Couple


• Octavius Premium Room, 1 King, Non-Smoking


• Stayed 3 nights


• Submitted from a mobile device"
118,Amazing,"Reviewed: November 2, 2017",Sharon,United Kingdom,10,5 Reviews,"• Leisure trip


• Group


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 2 nights


• Submitted from a mobile device"
119,The most Amazing place!!,"Reviewed: November 1, 2017",Maria,Australia,9.6,1 review,"• Leisure trip


• Family with young children


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 1 night


• Submitted from a mobile device"
120,Don't stay here. Just don't.,"Reviewed: October 30, 2017",Stephanie,South Africa,6.3,4 Reviews,"• Leisure trip


• Couple


• Augustus Strip View, 1 King, Non-Smoking


• Stayed 1 night


• Submitted from a mobile device"
121,Not clear how or where to get breakfast if it is included in...,"Reviewed: October 30, 2017",Jonathan,United Kingdom,8.8,4 Reviews,"• Leisure trip


• Solo traveler


• Octavius Premium Room, 1 King, Non-Smoking


• Stayed 2 nights"
122,the palace tower renovation was very nice.,"Reviewed: October 30, 2017",Marie,United States of America,9.6,1 review,"• Leisure trip


• Family with young children


• Julius Deluxe Room, 2 Queens, Non-Smoking


• Stayed 2 nights"
123,Excellent but Expensive !,"Reviewed: October 29, 2017",Anonymous,United Kingdom,9.2,11 Reviews,"• Leisure trip


• Couple


• Augustus Strip View, 1 King, Non-Smoking


• Stayed 6 nights


• Submitted from a mobile device"
124,"Perfect location at strip, magnificent antique hotel.","Reviewed: October 29, 2017",Karen,Panama,10,12 Reviews,"• Leisure trip


• Family with young children


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 5 nights


• Submitted from a mobile device"
125,Took in a couple great shows at the Coliseum. (not Celine),"Reviewed: October 27, 2017",Patrick,Canada,7.1,1 review,"• Leisure trip


• Couple


• Octavius Premium Room, 1 King, Non-Smoking


• Stayed 5 nights"
