,neg_review
28,"눉
Bad they withhold £100 per night and it’s only credited back 3 working days later."
29,"눉
cleaning crew entering room and cleaning when we were gone despite do not disturb on door, supervisor never showed up and offered explanation or assurance it would not happen again
limited late night food court"
30,"눉
No exhaust fan in bathroom means more odor. You couldn’t use the little fridge in the room unless you paid extra...only two people can have free WiFi in room....air conditioning wasn’t great....and for over $350.00 a day I would have expected more. Also charged us $23.00 a day for our valet parking...again, would have thought the room price was high enough."
31,"눉
Casino floor was smaller than I expected, but there's so much more to Cesar's Palace than the casino."
32,"눉
Can't find anything to write here.  Everything was wonderful."
33,"눉
I am not a fan of the pay snacks and drinks in the room, MiniBar. At this location, if you even lift the item, you are charged. If you put something in their fridge, you will be charged $25.xx. They do not express this to you at check-in. Ne free internet here. The good price on the room becomes not so great when they add a ""mandatory resort fee"" of about $44.xx. Food anywhere on site will be at a premium. It is a quality hotel with quality pricing"
34,"눉
They charge for internet, and they even have a limit to use it once paid ...15.99 for internet for one day is ridiculous, at Vdara is free and with no conditions..also i find a few stains on the bed comforter that appeared to be blood ..."
35,"눉
The adjoining room- people were smoking and it came through the door.  The check in kiosk was pretty impersonal.  Location of room tower difficult to find (while lugging suitcases)"
36,"눉
When I book the room the picture on booking.com looks like a suite with separated living room, but when I get in the hotel it’s just a simple 2 queen bed room nothing special"
37,"눉
We opted not to get the linen and towels changed in exchange for a ten percent discount for restaurants at Caesars Palace.  However we really didn't enjoy the buffet there so we ate at other restaurants and did not get the 10 percent discount.  Next time I will not make that mistake."
38,"눉
Could have been slighly cleaner. Food spilt in lift was left there all day. Outside had very bad smell from  drains. Room was very clean"
39,"눉
No help with carrying up the luggages.
One of our boxes of nuts was empty and they tried to charge us for changing it.
Advice: always double check your bill.
Online check-in doesn't really work, you still have to queue and takes longer than just immediately go to the counter and check in the old fashioned way."
40,"눉
The instruction of self parking is confusing and we spent almost 40 minutes from parking lots to check-in desk. I used QR code to do self check-in but was prohibited to do by the machine. Therefore, we spent so much time on check-in/ check-out. The room is clean but I do not think it is worth two hundred dollars for one standard room per night"
41,"눉
I’ve stayed many times at Caesars. I stayed in the forum tower. This was a first. It was pretty beat up. When I stay again, I’ll stay in either the Octavius or Augustus towers."
42,"눉
The front desk staff and their flippant attitude.  Never been treated so poorly. Our none smoking room smelled like an ashtray, so much so that no one could stay in the room for two nights while it was being deodorized. Luckily we had a second room for everyone to bunk in, but it was not ideal.  To compensate us we were refund 1 day’s resort fee.  We are one of many guests and they make we knew it and that they simply didn’t care."
43,"눉
Valet was full and only open to seven star members so had to park in the self park lot and walk through the whole casino to check in. Then we checked in at a electronic kiosk since the line was so long only to be given a room in the tower by the parking garage. So we walked all the way back across the casino with our bags (no one offered to take them), finally get to our room, try to make a cup of coffee and find out it’s $13, for coffee!!!"
44,"눉
The proces at the restaurants were very high and we did not like the food in some  of the restaurants"
45,"눉
Pricey early check-in fee. Also would have liked to be able to use the fridge in the room for personal use without being charged."
46,"눉
It’s possibly the NV laws but I had to use elevator to go smoke on the Casino floor (non-smoking rooms not advised for us silly smokers, quitting advised). That’s the only minor gripe"
47,"눉
The long delays upon arrival and departure. More assistants are needed to help people to use check in and check out procedures in the machines.
Also valet parking for half an hour was 20$ which should be either less or complimentary for customers."
48,"눉
Upon arrival I asked about reservations for the buffet bacchanal.  I stated that our Anniversary was the next day and asked if we needed reservations.  I was told no reservations were excepted and that it would be a short wait of about 20 minutes.  The next day my husband and I went to the restaurant about 6:00pm.  As we approached a women yells mam you can’t go in there!  I was obviously confused and asked her why not.  She said don’t you see the sign it says restaurant closed.  I then said that we were told that the restaurant would be open as I had spoken to the front desk.  She then said that someone bought out the restaurant for the night and not to go to Nobu either.  Needless to say I was very upset as we were celebrating our 31st anniversary and wanted to eat at that specific restaurant.  Shouldn’t the restaurant have separate rooms for parties so that guests can also enjoy their restaurants?  Shouldn’t Caesars have known that the restaurant was going to be closed prior to the day?  Will not return."
49,"눉
Just the parking for checking in."
50,"눉
The room wasn't exactly clean. Could tell either it hadn't been rented in a while or certain areas were missed when dusting. The little details were missed in the cleaning process. And the shower smelled of mildew. Its the details that count when cleaning a hotel like this. Didn't like that you have to pay per device for Wi-Fi. A map of exactly where everything is in the hotel and/or of Las Vegas strip would be nice upon check in. The ""map"" we were given was not suffice. We were first time Vegas visitors and had a hard time navigating through the hotel/casino. Also this website was not clear what view each room had. I had to Google to see what my room was looking at. FYI The Octavious Tower does not face The Belagio Fountains."
51,"눉
No value for money, you pay top rates and water is additional from mini bar. Lower rated hotels provide this for free, along with tea and coffee."
52,"눇
Book the hotel after watching ''Hangover'' movie. Was slightly disappointed with the overall experience. Old furnishings, no water was given and was STILL charge for using the minibar item despite not drinking it. Breakfast is given as credit and have to be use in the property premises. The property has nice appearance, but would benefit if they can improve the inside."
53,"눉
WiFi kept logging me out, outside of windows in bedroom were filthy, food was over priced, pricing was complicated. Never again."
54,"눉
We were surprised there was no shower gel, or at least a bath soap. Our room just had a face bar.  We checked out with a text, but dont have a receipt."
55,"눉
The only downside is the smoking in the casinos. The ventilation is better than it used to be, but still a problem for me."
56,"눉
The first non smoking room we were put in stunk of smoke. We asked to change rooms but of course it was at extra cost. The next room which was identical did not smell of smoke. 
One half of the room was lit up by floor lamp only. When we tried to turn it on it sparked and crackled. We tried a few times and it still sparked and my husband got a small electrical shock so we unplugged it and kept it off for the 5 nights we were there. It meant total darkness apart from 2 bedside lamps. We mentioned the faulty lamp at the main desk but there was a definite lack of interest in what we told him was dangerous.
The room was not cheap, in fact the most expensive on our trip. We stayed at Caesars 5 years ago and this time it felt a lot more worn and tired. 
The breakfast was also out of our price range. For the 2 of us it was over $100 USD. We had breakfast next casino over.
However Caesars is a great place and I would recommend it. Lovely complex and my favourite position on the strip."
57,"눉
Charged me $13 for a cup of coffee in the room,, no free coffee provided"
58," otherwise,  no coffee available except room service. 
 The way I was treated when I was told to go stand in a line to check in when there were many people at the check-in desk that were not busy with anyone  just standing and looking out at the lobby.
The $53 I was charged for a hamburger, fries and root beer for room service.  (they add a $10service charge plus gratuity on top of overpriced food).   
Wait off 1 1/2 hours for dinner from  room service.
I played in the Casino and spent about $1200 without winning a single time.  A little frustrating.  Payback stats are terrrible.
. No room service menu or information about room or wifi information in the room.   
Not happy with overall value."
59,"눉
Octavious Tower and room were about as far away as could be. Not easy to pop back up to the room if you forgot something. Layout of the casino confusing. Could be hard to find things."
60,"눉
The lines to see Celine formed into the playing area. Cocktails were few and far between."
61,"눉
Everything feels like it’s more and more $... even coffee in the room is extra?  Internet extra?  Room service charges extra. We have $, but that’s the feeling I got."
62,"눉
We stayed here a few years ago. Was really looking forward to it But it wasn’t as nice !!!
Room was not as nice as before we could hear people in the next room !!!
All in all seems tired and not as nice as before"
63,"눉
There were many additional costs incurred that were not communicated effectively on check in. The room rate was already a decent sum, however it did not include wifi or gym access etc. 
beware of mini bar, it is operated by a computer system that immediately bills your room when you so much as move any item. You can't even use it for personal use unless willing to pay 25 USD"
64,"눉
If we had been able to see the Celine Dion show we came for, as it was cancelled due to her
sickness."
65,"눇
Rooms were clean, spacious and very comfy beds. Liked the TV screen built into the bathroom mirror! Buffet was great! Lots of restaurants to choose from. Easy access to other hotels. The Forum shops were great place to shop and eat. Great pool and grounds...nice quiet area to relax. All the staff were friendly and helpful.  We would definitely stay here again!"
66,"눉
No breakfast despite info on Booking,com // not transparent resort fee // everything extra payable incl. water, parking, coffee..."
67,"눉
The nickel and dime the tourists. They charge $14 usd plus tax for 4 keurig pods with powered milk. Absurd. Stuff from the last guest was discarded by the last guest and housekeeping never cleaned it."
68,"눉
Forum is the oldest and most dated tower and is a 10 min walk from the lobby past all of the gaming machines, tables etc.  Room service is exceptionally prices ($175 for 3 standard breakfasts!)"
69,"눉
The place is chaos, finding the parking is hair-brained, check-in is insane.  Drinks and Food are extremely expensive ($22 for a draft Dos Equis).  Place is generally a mad house, but its fun to see...once."
70,"눇
Our room was very comfortable and clean, desk staff extremely helpful and accommodating. Friendly staff (Dante in the Apostrophy) made the experience that much more enjoyable."
71,"눇
Beautiful hotel, large and luxurious room, state-of-the-art gym. Multiple dining options and shops nearby. Very central location in the heart of the Strip. Fast and easy check-in."
72,"눉
towels were old
dirty room
smell of cigarette
OVERPAID WITH BOOKING.COM
BREAKFAST INCLUDED WAS A JOKE {there is nothing for breakfast at $10 a person}
a regular coffee and muffin at Starbucks at Caesars is over $10"
73,"눉
service not in the least geared for conference and business travellers, mail room closed at 6pm, unattended and dusted tea/coffee machine in room,  arrogant and unsympathetic night manager, do not recommended to use/stay here for business."
74,"눉
Everything is extra and you have to pay. Cesar Palace has a resort fee. Nobody explains to us what is this and what benefit can I get for pay this fee. You don't have choices they charge you anyway."
75,"눉
Everything was charged no tea or coffee etc we were booked into Celine Dion  but concert cancelled and we were not informed until we arrived at the hotel venue"
76,"눉
No mini fridge in the room. Everything else is good."
77,"눉
Mesa Grill's food was okay. The sales people at the facial stores were pushy and over charged their items."
78,"눉
Many things in the hotel room are sort of old, as you can see the safety lock is coming off the door. We got a room right above casino, so it was a little bit noisy. Staff are just okay."
79,"눉
They have a membresy system. If you are not platinum or 7 stars you are going to wait for long to be attended everywhere.
I paid 600 hundreds tte Night than is incredible expensive in compare the service i got.
When I arrived I wait more than one hour to be registerd. I has to discuss with the front desk boy who continuely repeat the preference in attetion was platinum members.
They pretty insists you do Web check in/out.
Last day they wanna to cash me extra water and food i ve never took. If you dont play attention you lost.
The air condition never was warm. They came twice to repair.
Cleaness really bad. 
Definitly i dont recomend this hotel."
80,"눉
Tea and coffee facilities in the rooms, everything was at a cost."
81,"눉
extra charges & fees.
everything very expensive.
some of the staff were rude, snotty..."
82,"눉
Said already"
83,"눉
Cigarette smoke and our luck at the casino."
84,"눇
Incredible hotel! The main lobby when you first arrive is spectacular,  and the staff friendly and helpful. The room was large with a super comfy bed.  We walked through exploring a few other hotels on the strip and Caesars Palace really stood out - exceptional!"
85,"눉
A little more attention by the staff to a really well designed bathroom would not go amiss. The magnifying mirror is a nice touch but it was grubby when I arrived and so was the Perspex tray in which they stage the lovely bath treats."
86,"눉
The price of the room and my window view"
87,"눉
I reserved a room with breakfast but unfortunately there is no breakfast in Caesar Palace"
88," they provide me of 20$ voucher on daily basis but all the restaurants, that I was authorized to use the voucher, prices are expensive and 20$ is not enough for one meal. Consequently, don't waste your time and don't buy breakfast during the reservation."
89,"눉
The prices for in room coffee, water and snacks was ridiculous compared to previous years.
For example, one bottle of water was $8.00. Since I drink about 6 bottles a day, the cost was prohibitive to stay hydrated."
90,"눇
Wow it’s was super nice, easy process check in check out, great support via text message, beds were very comfy, walking distance to anything you want to see! Really a great stay. Marvelous!"
91,"눉
Use of coffee pot in room too expensive. Didn't it. Misinformation on getting wheelchair assistance from bell desk. After half an hour wait for assistance from security walked with difficulty to and from shoe room for O'Reilly program. No place for my 85yr.old fragile brother to sit while I checked in. Was told that is what the lounge is for. There is plenty of room in that lobby for a few well appointed chairs that would not have interfered with the decor of the lobby
Cost for food is exorbitant."
92,"눉
I booked as included breakfast, there was no breakfast offered. Talk to official, showed my reservation, nothing got done. Very upset with this booking through booking .com"
93,"눉
It seems like parking should be free when you pay $275.00 for 1 room for 1 night. And food and drink prices were ridiculously high."
94,"눇
We got upgraded to an incredible top floor suite overlooking the Bellagio fountains and the Flamingo that made our stay unforgettable!!
Not bad for a first stay in Las Vegas!!
Service was great, the staff was friendly and helpful."
95,"눉
Charging $14 for a cup of coffee in the  room.  Coffee in the room should be complimentary!  Also WiFi charge is outrageous.  Felt like we were being nickel and dimed to death."
96,"눉
We got upgraded to a suite, for a lot of extra money, and didn’t like how simple the suite was. TV in the bedroom didn’t work and there was no radio at all. We stayed in the Mandalay Bay before and had a perfect suite for half the money. Ceasor’s Palace need to update their rooms."
97,"눉
The vanity lights above both sinks didn't work. The air only efficiently worked at 65, otherwise it wouldn't come on. I could clearly hear our neighbors arguing throughout the night."
98,"눉
Check in process.  The self checking machines tell you your room isn’t ready and they will email you when it was never got an email and so just went to the desk and they have is another room."
99,"눉
Charged for internet yet internet was free. Pool was open but not well equipped or staffed, yet resort fees remain the same all year round. Rooms were worn and tired. Old coffee pots left in machines, no laundry bags and terrible quality toiletries."
100,"눉
When we arrived we were given a room that was already occupied so it was a little frightening to think we walked into someone else’s room, and to think what if someone had walked in on us.  We then had to make our way back to the lobby which was not a short walk while being tired after traveling."
101,"눉
When visiting the concierge's desk to help with my email situation the lady was in the middle of helping me and just pushed us aside to help someone else.  It was extremely rude.  This happened twice during the time we were trying to get assistance."
102,"눉
Can’t think of anything we didn’t like."
103,"눉
I stated in my reservation that we were a family of 5 and therefore wanted two rooms next to each other.  We booked two rooms in Booking.com as they came offered for a group of 5 - we could not guess from the description of the rooms that they would be located on different towers.  Upon arrival, the staff at the hotel had no clue about the request - even though it was written very clearly. I had expected that someone from the Ceasars or from booking.com would have read it (I booked it over two months in advance, so there was plenty of time for someone to let me know before the trip that the two rooms booked could never be adjacent to each other).  Worse, they told me they couldn't help me fixing the problem because the reservation was through booking.com - ended up into an unpleasant argument with a manager before they finally changed rooms.  
This is one of the reasons why using intermediaries like booking , expedia, others becomes frustrating: when there are problems, hotels blame the intermediary and the intermediary blames the hotel."
104,"눉
The ""breakfast included"" is a lie. It only entitles you to 10 dollars off your meal per day. Maybe it was our innocence but when you see breakfast included it should mean breakfast is actually included. The price to eat in any of the restaurant's is quite dear also. The buffet was 59 dollars per person and even if you went to the fast food burger in the food court it would still set you back 19 dollars for a large burger meal.
We requested a non smoking room and to be fair thats what they gave us by putting us on a no smoking floor. But throughout the week we were there, people were constantly smoking in the hallways outside our rooms which kind of cancelled what we had booked. When I phoned reception about this, they did nothing about it."
105,"눉
The air in the room is good. The air in the hotel is horrible. We do not mind smokers. We also don't smoke but we felt like we did. Our clothes smell like cigarettes and our throats were sore. All the machine had full ashtray and ash all over them."
106,"눉
Room wasn't available at 4pm.  Went back repeatedly to kiosk and still wasn't available.  A staff member then helped us."
107,"눉
The major problem was that we had booked a suite. It turns out that ALL suites at Cesar’s Palace are SMOKING rooms. It smelled awful. I wish there was some way of knowing this up front before getting the room and then having to downgrade to a regular non-smoking room."
108,"눉
We were put in a handicapped room with a roll a way bed, even though I made my reservations weeks ago. The entire bathroom floor floods every time you showered, the bathroom sink didn’t drain and the roll a way bed was super uncomfortable. We were not happy."
109,"눉
Maid service getting charged twice and you won’t help room not ready"
110,"눉
except the smoke filled air that you could breathe free everything else was charged like crazy. a refrigerator packed of alcohol and you can't put your things in it. if you leave parking then coming back means charging again even for within the hour. even the coffee in room is charged after paying a crazy amount of stay rent/resort fee. its a no no for me forever."
111,"눉
Restaurant prices were outrageous.  Having to go through the smoky casino to get to the Colosseum."
112,"눉
No paid transportation to and from the airport.  Also, no late check out.  Most hotels I've been to have a shuttle, and most offer a late check out.  Also, no microwave, and no refrigerator space"
113,"눉
- Pool was closed for the season. No heated pool option available and we paid a daily resort fee anyway. 
- Breakfast was to be included however when we arrived at the hotel they said they would give us a $20 voucher to use at the restaurants in the hotel. The voucher didn't cover two people for breakfast.
- there was a $10 redemption if you declined house keeping per day and we decided to utilise that but the hotel wouldn't refund because they wanted to know that upon entry to the hotel not exiting.
- we were given our room keys by the hotel then told that's it. We had to ask about where breakfast was?? We also had to ask where our room was located in the many towers of the hotel. A brief explanation of the hotel was expected and this didn't happen."
114,"눉
Furniture was somewhat shabby.  NO COFFEE !! Apparently they do not provide complimentary coffee....of complimentary anything for that matter. For $340 a night ( oh yeah....they tax the crap out of you and charge a 'resort fee') I'd expect free coffee !!!"
115,"눉
Didn't like the feel of the place far to busy, no personal care, much prefer the Venetian hotel won't stay there again"
116,"눉
I so far haven't received the refund of my deposit. Tried to call the property, they transferred me several times to different department and finally I was transferred to the billing section, I was put on hold for half an hour then I decided to hang up, no time for that. I can't find any other way to contact this property, so I hope whoever reads this review can get in touch with me, I just need my deposits back how hard is that!"
117,"눉
The room was no different than any ""standard"" hotel room, except for the much higher price. The reality of the room definitely did not match the description and photos as advertised.  With well worn out threadbare sheets, no complimentary amenities (not even coffee), no view and noisy air conditioning...it was definitely very poor value for our money! 
With so many amazing hotels in Vegas, we will choose another one next time."
118,"눉
Couldn't find the pool.
My room smelled like weed.
The stuff was rude, treated my like i was broke."
119,"눉
Very big! Car retrieval from valet parking was slow."
120,"눉
Staff were not helpful and unhappy
We paid $500 plus for our room and had to pay for the coffee in the in room machine
The buffet at the hotel was very expensive and not good value or quality.  We won't stay here again"
121,"눉
The Wi-Fi is free for only two devices."
122,"눉
The resort fee just seems like something that should be in the past. It provides WiFi but only for two machines a day. The pool is only open from 9-5. There was a coffee machine but you were required to buy a coffee pack! I haven’t seen that before. The room was not cheap, so the coffee issue was disappointing."
123,"눉
Nothing, other than booking.com advertising that breakfast is included when it isn't, you only get $10 pppn which doesn't cover a lot."
124,"눉
The blinds in the suites are automatic by wall switches but it was stuck and didnt open or close. We notified the hotel and they told us they were going to send someone but that someone never came."
125,"눉
Just stay somewhere else honestly. We've tried multiple hotels on the strip and all of them pale in comparison to the Aria, which is a true 5 star. Caesar's palace not only looks tacky/cheesy (which is fine because it is a casino and themed) but everything else was also kind of low class. Being up-sold at the check in desk and feeling pressured to pay more for an upgrade was really uncomfortable, we'd already sprung for a fountain view room - so we weren't in a bad room anyway. We were there for one night and leaving at 6am for Yosemite, being held up at check in and given a hard sell pitch was a waste of time and unnecessary. I could go on, but this hotel isn't worth my time. Just go and stay at the Aria if you're looking for a 5 star experience."
126,"눉
Not clear how or where to get breakfast if it is included in your room's price. But there is Starbuck just downstairs so not the end of the world."
127,"눉
i always appreciate detailed, honest recommendations for booking shows. some type of information from caesar's regarding this topic would have been terrific. modern, honest, insightful reviews and thoughts, perhaps on a blog or leave behind. when you are from out of town, you need to know you can rely on a local expert opinion in order to make choices and spend your money the best way possible.
mini bar was exorbitantly pricey."
128,"눉
Breakfast wasn’t included as shown in Booking.com, rather you get $20 credit to use per day which doesn’t get very far at all - maybe good enough for one drink or one plate of eggs."
129,"눉
First room I got the bathroom was the worst I’ve ever seen in my life- so I had to pay for an upgrade and it was a total difference.
Pool hours at too limited only from 9am-5pm."
130,"눉
Lobby and public areas had a sweet perfume odor (no concern for allergy suffers).  The seafood odors emanating thru the hallways was a turn off."
131,"눉
Valet parking us too expensive $20/day, free at Venetian"
132, breakfast option to be avoided the credit given buys literally nothing
133," no-one checks who gains admission to floors with rooms unlike Venetian or Bally's, expected better security."
134,"눉
Was quite pricey for drinks around the pools. Also quite a long walk with your bags from the car park to the reception."
135,"눉
House keeping left products and dusting products in the room. They wanted to charge me for removing drinks out of the fridge as I was just borrowing the fridge. I put everything back in its position and they said that they were going to charge me to check I had put back properly."
136,"눉
The bed in our room in the new tower was very uncomfortable and is one primary reason why we may have to return to the Cosmo or Bellagio."
137,"눉
This hotel only look after the smokers, if you are not one, you will seriously suffer. There are no way of getting around to the rooms without going via the casino which is consistently covered with smoke. Due to the size of the hotel, there are no one to look after you, check in and out via kioks. They suggest you skip housekeeping for a mere $10 off a day. For the price we paid, is seriously not worth the money as the hotel has no ambience at all."
138,"눉
This accommodation was advertised with breakfast included however there was only a discount of $20 per room per day try and get breakfast for this amount"
139,"눉
Staff seemed disinterested in actually ensuring a pleasant stay for their guests. For example, upon arriving at the hotel, I purchased an upgraded suite for a better experience while in Las Vegas. One of the perks of the upgraded room was the convenience of a personal concierge willing and able to assist wherever necessary. The only problem was, the concierge kept calling and texting my wife (who was at home) asking if she needed anything. My wife kindly informed the concierge to please contact me (her husband) and provided my contact number, the room number etc. yet the concierge person kept texting my wife. Never once was I contacted during my entire stay thus I could not use the additional benefit of the personal concierge. The upgrade was a waste of money. When I brought this to the attention of the front desk staff, they did nothing to correct the issue."
140,"눉
Staff is extremely rude, wifi is expensive, there are many hidden fees and there are plenty of better hotels for young people."
141,"눉
The casino in Caesars seems to have more smokers (or poorer filtration systems) than the other casinos. No complimentary coffee in the room."
142,"눉
Air conditioning!! Too cold in a whole hotel!! We got cold. Do not be surprised with ""breakfast"" here because they don't serve breakfast like other hotels do. They have a lots of different restaurant inside the hotel so if you pay for breakfast that means that you can use 20$ a day for two person(10$ per person) and you can spend them in one of their restaurant(in the chosen ones) where you can't order a breakfast meal under 20-25$for one person without a drink. Lots of waiting until checking in and checking out. Paying for wi-fi even if you said that you don't need it, because you have your own mobile acces to internet."
143,"눉
Had a room with no view, was there for my wifes 50th.  We asked the front desk to move us to a different room and they did.  But with the hotel knowing we were there for her birthday and to give us such a bad room and then having to move all our stuff to another room was a little irritating but the new room was great and so was everything else."
144,"눉
AS ABOVE - OVERALL EXPERIENCE GOOD BUT EXPENSIVE - SPENT ONE NIGHT AT THE GOLDEN NUGGET IN DOWNTOWN VEGAS - ROOM GOOD BUT VERY NOISY - WE KNEW THERE WOULD BE A PROBLEM WHEN THEY GIVE YOU EARPLUGS!! BUT THE HOTEL ITSELF - FOOD GOOD - MUCH CHEAPER AND MY SON PREFERED THIS HOTEL TO CAESARS BECAUSE OF THE VIBE."
145,"눉
The AC was blasting!! Way too cold. Always had to bring a jacket while inside, which is annoying and inconvenient because it's really hot outside."
146,"눉
Would prefer costs of items to be inclusive of tax."
147,"눉
They could do better with the towels. They were really light and could barely hold water off the body. No robes and bathroom slippers in the rooms."
148,"눉
Tried to upgrade room for promotional value the staff denied the request since it was not booked ahead of time. Room had weird smell. Noted on reservation we were celebrating a birthday and they did not do anything for us at all. Ignored completely. Would not return especially when there are so many other hotels."
149,"눉
Wifi should be included. Bit expensive to eat or drink and cabanans over-priced as well. Resort fees are overkill"
150,"눉
Smoking downstairs was disgusting.  We walked in to the hotel and was hit with smoke and this continued day or night for our whole stay.  I thought smoking was banned indoors for USA so was shocked my heath and all the staffs health has been and being affected by smoking.
I will never visit Las Vegas again due to smoking indoors."
151,"눉
I didn't like the front desk..at all at Cesar Palace on wednesday night before our check out I was trying to talk about the night that we have to spend at the Bellagio unfortunately because of the horrible events sadly and su real .we have to say that Bellagio staff treat us great the 6 hrs 1/2 that we have to spend there because of the events @ las Vegas 10/01//17. Front girl call the manager and she stated that ""because we use a third party to book they can't do anything ""
I was very disappointed I felt descriminated because I used Booking.com to do my recervation. I used your web many times and I feel very comfortable with your service sadly I don't feel the same with ""Cesar Palace"" I usually visit Las Vegas once a year and I will never stay @ this hotel again."
152,"눉
Our stay was not long enough!"
