,Name,Nationality,Date,Score,Topic,Tags,History reviews
68,Ingrid,Antigua & Barbuda,"Reviewed: August 9, 2017",9.6,AMAZING!!!,• Leisure trip• Family with young children• Resort Double Deluxe• Stayed 2 nights• Submitted from a mobile device,5 Reviews
69,Bruce,New Zealand,"Reviewed: August 7, 2017",9.2,Wouldn't hesitate to stay here again,• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights,8 Reviews
70,Anonymous,China,"Reviewed: August 2, 2017",6.7,I could not get my invoice as in my requested title after I...,• Leisure trip• Family with young children• 2 rooms• Stayed 2 nights,5 Reviews
71,Stephen_W,United Kingdom,"Reviewed: July 29, 2017",5.8,Underwhelming given the price,• Business trip• Solo traveler• Deluxe Resort King• Stayed 1 night,4 Reviews
72,Stephen06,France,"Reviewed: July 28, 2017",8.8,Great luxury hotel,• Leisure trip• Family with young children• Panoramic View Double Deluxe• Stayed 1 night,22 Reviews
73,Xiuyu,Canada,"Reviewed: July 25, 2017",5.8,Made us unhappy.,• Leisure trip• Couple• Deluxe Resort King• Stayed 1 night• Submitted from a mobile device,1 review
74,Anonymous,United Kingdom,"Reviewed: July 23, 2017",8.8,Lovely but expensive hotel,• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,1 review
75,David,United States of America,"Reviewed: July 23, 2017",7.1,Staff at XS is terrible,• Leisure trip• Group• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,1 review
76,Traveler!,United States of America,"Reviewed: July 22, 2017",7.1,Beautiful hotel!!,• Leisure trip• Couple• Deluxe Resort King• Stayed 1 night• Submitted from a mobile device,1 review
77,Sunday,United States of America,"Reviewed: July 21, 2017",10,Overall great experience and plan to stay here again in the future,• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights,1 review
78,Moshik,Israel,"Reviewed: July 18, 2017",7.9,Wynn is one of the best hotels I've stayed,• Leisure trip• Family with young children• Special Offer - Deluxe Resort Double - Resort Credit• Stayed 4 nights• Submitted from a mobile device,6 Reviews
79,Andy,United Kingdom,"Reviewed: July 14, 2017",10,Wow,• Leisure trip• Family with young children• 2 rooms• Stayed 2 nights• Submitted from a mobile device,9 Reviews
80,Anonymous,United States of America,"Reviewed: July 5, 2017",9.6,The Wynn is a beautiful hotel and has great rooms that are...,• Leisure trip• Group• Special Offer - Deluxe Resort King - Resort Credit• Stayed 4 nights• Submitted from a mobile device,19 Reviews
81,Kelly,United States of America,"Reviewed: July 5, 2017",9.6,Beautiful hotel on the Strip,• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,9 Reviews
82,Meredith,United States of America,"Reviewed: July 3, 2017",5.4,"Overrated and Rude Staff at the Wynn
",• Business trip• Group• Deluxe Resort King• Stayed 1 night,6 Reviews
83,Joseph,United States of America,"Reviewed: July 1, 2017",6.3,Really not worth it,• Leisure trip• Couple• Deluxe Resort King• Stayed 1 night• Submitted from a mobile device,1 review
84,Natacha,United States of America,"Reviewed: June 29, 2017",10,Best hotel ever,• Leisure trip• Couple• Deluxe Resort King• Stayed 1 night• Submitted from a mobile device,2 Reviews
85,Stephanie,Brazil,"Reviewed: June 26, 2017",8.3,The hotel and rooms are extremely nice and luxurious.,• Leisure trip• Group• Deluxe Resort King• Stayed 1 night,6 Reviews
86,Olivia,United States of America,"Reviewed: June 23, 2017",10,STAY HERE.,• Leisure trip• Group• Resort Double Deluxe• Stayed 1 night• Submitted from a mobile device,3 Reviews
87,Robert,United States of America,"Reviewed: June 19, 2017",9.2,"Wonderful, but expensive and LOUD",• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights,46 Reviews
88,Manesha,Switzerland,"Reviewed: June 17, 2017",7.1,Wynn Vegas,• Leisure trip• Group• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,1 review
89,Edouard,United States of America,"Reviewed: June 15, 2017",6.3,What a colossal disappointment!!!,• Leisure trip• Couple• Deluxe Resort King• Stayed 1 night• Submitted from a mobile device,1 review
90,Hasan,United States of America,"Reviewed: June 13, 2017",10,"This hotel was wonderful, the bed was like a cloud, the view...",• Leisure trip• Couple• Deluxe Resort King• Stayed 1 night• Submitted from a mobile device,1 review
91,Matthieu,France,"Reviewed: May 29, 2017",7.9,Great hotel but comes at a price,• Leisure trip• Solo traveler• Deluxe Resort King• Stayed 5 nights,2 Reviews
92,Zabata,United Arab Emirates,"Reviewed: May 23, 2017",9.6,"When in Vegas, stay at WYNN!",• Leisure trip• Couple• Tower Room• Stayed 3 nights,13 Reviews
93,Hanadi,United Arab Emirates,"Reviewed: May 19, 2017",8.3,"The hotel venue, the atmosphere",• Leisure trip• Group• Deluxe Resort King• Stayed 4 nights• Submitted from a mobile device,3 Reviews
94,Yasser,Saudi Arabia,"Reviewed: May 19, 2017",8.3,Fantastic view,• Leisure trip• Couple• Special Offer - Deluxe Resort King - Resort Credit• Stayed 1 night• Submitted from a mobile device,18 Reviews
95,G's,United Kingdom,"Reviewed: May 17, 2017",10,Recommended by friends & just a classy friendly hotel...,• Leisure trip• Couple• Deluxe Resort King• Stayed 4 nights• Submitted from a mobile device,14 Reviews
96,Anonymous,Ireland,"Reviewed: May 16, 2017",10,Best hotel in Vegas. Will definitely be back.,• Leisure trip• Group• Deluxe Resort King• Stayed 1 night,15 Reviews
97,Rosalia,United States of America,"Reviewed: May 14, 2017",9.2,The hotel is very pretty and clean.,• Family with young children• 2 rooms• Stayed 2 nights• Submitted from a mobile device,2 Reviews
98,Sarah,Germany,"Reviewed: May 10, 2017",8.3,"Spacious room and comfortable bed, beautiful green...",• Leisure trip• Group• Deluxe Resort King• Stayed 1 night,15 Reviews
99,Khazrat,Russia,"Reviewed: May 8, 2017",6.7,Nice hotel with very poor service :(,• Leisure trip• Group• Deluxe Resort King• Stayed 1 night• Submitted from a mobile device,5 Reviews
100,Lina,Indonesia,"Reviewed: May 7, 2017",10,Nice hotel,• Leisure trip• Group• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,1 review
101,Fiona,United States of America,"Reviewed: May 6, 2017",7.9,"Reliable comfort, slightly spoilt by smoke and queues",• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,1 review
102,KirstenHA,United Kingdom,"Reviewed: May 5, 2017",9.6,Beautiful Hotel with Loads to See and Do,• Leisure trip• Group• Deluxe Resort King• Stayed 1 night,25 Reviews
103,Shirley,Malaysia,"Reviewed: May 1, 2017",6.7,Mixed feelings.,• Leisure trip• Couple• Special Offer - Deluxe Resort King - Resort Credit• Stayed 3 nights• Submitted from a mobile device,5 Reviews
104,Donna,United Kingdom,"Reviewed: April 28, 2017",7.1,I DIDN'T EXPECT TO SEE ANIMAL CRUELTY IN A VEGAN FRIENDLY HOTEL,• Business trip• Group• Deluxe Resort King• Stayed 2 nights,4 Reviews
105,Ashley,United States of America,"Reviewed: April 23, 2017",7.5,Room was very nice.,• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,1 review
106,Vee,United Kingdom,"Reviewed: April 21, 2017",9.2,"Beautiful hotel, you won't regret booking it",• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights,16 Reviews
107,Anonymous,Ukraine,"Reviewed: April 20, 2017",10,"Thank you, Mr. Wynn",• Leisure trip• Couple• Deluxe Resort King• Stayed 5 nights,21 Reviews
108,Noe,United States of America,"Reviewed: April 18, 2017",9.6,Napoleon,• Leisure trip• Group• Deluxe Resort King• Stayed 1 night• Submitted from a mobile device,1 review
109,World,Canada,"Reviewed: April 17, 2017",8.8,"Beds were very comfortable, bathroom size was nice &...",• Leisure trip• Family with young children• Resort Double Deluxe• Stayed 4 nights• Submitted from a mobile device,8 Reviews
110,Emily,Australia,"Reviewed: April 13, 2017",9.2,"Beautiful hotel, very expensive",• Leisure trip• Group• Panoramic View Double Deluxe• Stayed 3 nights• Submitted from a mobile device,2 Reviews
111,Anonymous,United Kingdom,"Reviewed: April 11, 2017",8.5,When is a King room not a King room?,• Leisure trip• Family with young children• 2 rooms• Stayed 5 nights• Submitted from a mobile device,2 Reviews
112,Tim,Canada,"Reviewed: April 10, 2017",7.5,Nice resort,• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights,10 Reviews
113,Jaime,United States of America,"Reviewed: April 5, 2017",7.1,Racial indifference.,• Leisure trip• Family with young children• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,1 review
114,Helen,Estonia,"Reviewed: April 5, 2017",9.6,"- Heated swimming pool
",• Leisure trip• Couple• Special Offer - Deluxe Resort King - Resort Credit• Stayed 1 night,10 Reviews
115,Ardiana,United States of America,"Reviewed: March 22, 2017",10,The spa and the European pool was everything.,• Leisure trip• Couple• Tower Room• Stayed 1 night• Submitted from a mobile device,5 Reviews
116,Tariq,Jordan,"Reviewed: March 20, 2017",9.6,"Just fabulous, but could use a bigger, better gym.",• Leisure trip• Family with young children• Tower Room• Stayed 3 nights,6 Reviews
117,Yosi,Israel,"Reviewed: March 18, 2017",9.6,the maintenance ofthe hotel,• Leisure trip• Family with young children• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,5 Reviews
118,Paul,United States of America,"Reviewed: March 7, 2017",7.5,"Food was great, great ambience",• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,8 Reviews
119,Kyle,United States of America,"Reviewed: March 7, 2017",10,Never left the hotel,• Leisure trip• Couple• Deluxe Resort King• Stayed 1 night,2 Reviews
120,Bernadette,United States of America,"Reviewed: March 6, 2017",9.2,The most beautiful hotel on the strip!,• Leisure trip• Group• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,2 Reviews
121,Anonymous,United States of America,"Reviewed: February 26, 2017",9.2,The breakfast at Tableau was awesome,• Leisure trip• Solo traveler• Tower Room• Stayed 1 night• Submitted from a mobile device,3 Reviews
122,John,United States of America,"Reviewed: February 24, 2017",9.2,Great stay with just the one kick up.,• Leisure trip• Couple• Deluxe Resort King• Stayed 4 nights• Submitted from a mobile device,1 review
123,Tyrone,Canada,"Reviewed: February 21, 2017",7.9,Mixed experience,• Business trip• Couple• Deluxe Resort King• Stayed 7 nights• Submitted from a mobile device,18 Reviews
124,JHBV,United States of America,"Reviewed: February 15, 2017",10,Remarkable hotel; very classy and sophisticated.,• Leisure trip• Couple• Deluxe Resort King• Stayed 1 night,3 Reviews
125,Khalid,Saudi Arabia,"Reviewed: February 15, 2017",9.2,We did enjoy our stay in the hotel,• Leisure trip• Family with young children• Special Offer - Deluxe Resort King - Resort Credit• Stayed 4 nights• Submitted from a mobile device,6 Reviews
126,Anthony,United Kingdom,"Reviewed: February 7, 2017",9.6,First rate comfort nd quality,• Leisure trip• Couple• Tower Room• Stayed 3 nights• Submitted from a mobile device,16 Reviews
127,Soltanzadeh,United States of America,"Reviewed: February 6, 2017",4.6,Overall I had a very disappointing stay I was excited for staying at the Wynn Hotel but it turned ou,• Leisure trip• Solo traveler• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,1 review
128,Mogic,Australia,"Reviewed: February 5, 2017",3.8,Say no to Wynns,• Leisure trip• Solo traveler• Deluxe Resort King• Stayed 1 night,2 Reviews
129,Kelly,United States of America,"Reviewed: January 30, 2017",10,Beautiful hotel with lots to do!,• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights,4 Reviews
130,Anonymous,Canada,"Reviewed: January 30, 2017",10,Beautiful modern hotel at the end of the strip,• Business trip• Couple• Deluxe Resort King• Stayed 1 night,24 Reviews
131,Stacie S,United States of America,"Reviewed: January 27, 2017",9.2,Love the Wynn and Encore,• Leisure trip• Couple• Deluxe Resort King• Stayed 1 night,14 Reviews
132,Taylor,Canada,"Reviewed: January 24, 2017",7.9,Wynn gave worst customer service of my life,• Leisure trip• Group• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,1 review
133,Miguel,Portugal,"Reviewed: January 22, 2017",10,"Best value/quality, Great environment, I live all year...",• Business trip• Solo traveler• Deluxe Resort King• Stayed 4 nights,6 Reviews
134,Nakano,United States of America,"Reviewed: January 20, 2017",7.1,wynn is a beautiful hotel.,• Leisure trip• Family with young children• Panoramic View Double Deluxe• Stayed 3 nights,5 Reviews
135,Oshin,United States of America,"Reviewed: January 16, 2017",9.2,Wonderful place and very clean,• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,1 review
136,Claire,United Kingdom,"Reviewed: January 15, 2017",9.2,Location is excellent if you only have a few days and want...,• Leisure trip• Couple• Panoramic View Deluxe• Stayed 2 nights• Submitted from a mobile device,5 Reviews
137,George,Australia,"Reviewed: January 14, 2017",10,All Glitter and Sparkle,• Leisure trip• Couple• Panoramic View Deluxe• Stayed 6 nights• Submitted from a mobile device,18 Reviews
138,Rick,South Africa,"Reviewed: January 10, 2017",9.2,"Fantastic stay, great facility",• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights,7 Reviews
139,Li,United States of America,"Reviewed: December 31, 2016",10,A perfect place for a family stay in Las Vegas!,• Leisure trip• Family with young children• Deluxe Resort King• Stayed 4 nights• Submitted from a mobile device,1 review
140,Farinoosh,Canada,"Reviewed: December 31, 2016",9.2,I say yes to Wynn,• Leisure trip• Family with young children• Deluxe Resort King• Stayed 4 nights• Submitted from a mobile device,1 review
141,Zahra,United States of America,"Reviewed: December 28, 2016",5.4,Staff behavior was terrible.,• Leisure trip• Family with young children• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,1 review
142,Maria,Russia,"Reviewed: December 28, 2016",8.3,"Great hotel, the best in Las Vegas I would say.",• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,7 Reviews
143,Hsien-mei,United States of America,"Reviewed: December 26, 2016",5.8,Not a children friendly resort,• Leisure trip• Family with young children• Deluxe Resort King• Stayed 1 night• Submitted from a mobile device,1 review
144,Darlene,United States of America,"Reviewed: December 23, 2016",6.7,The room was excellent!,• Leisure trip• Couple• Special Offer - Deluxe Resort King - Resort Credit• Stayed 1 night• Submitted from a mobile device,2 Reviews
145,Jaime,Mexico,"Reviewed: December 8, 2016",7.9,Excellent choice of restaurants!,• Leisure trip• Couple• Deluxe Resort King• Stayed 4 nights• Submitted from a mobile device,3 Reviews
146,Fred,United States of America,"Reviewed: December 8, 2016",7.9,Unless you gamble they do their best to make sure you over pay for everything.,• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights,1 review
147,Jeremiah,United States of America,"Reviewed: December 5, 2016",5.4,Very bad experience at Wynn Hotel,• Business trip• Couple• Deluxe Resort King• Stayed 2 nights,2 Reviews
148,Yoojin,United States of America,"Reviewed: November 30, 2016",9.6,One of the awesome hotel experience that I had!,• Leisure trip• Group• Deluxe Resort King• Stayed 1 night,3 Reviews
149,Cathy,United States of America,"Reviewed: November 28, 2016",10,Best hotel in Vegas!,• Business trip• Couple• Deluxe Resort King• Stayed 7 nights• Submitted from a mobile device,2 Reviews
150,Zee,United Arab Emirates,"Reviewed: November 27, 2016",7.5,The hotel is amazing!,• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,7 Reviews
151,Mitch,United States of America,"Reviewed: November 20, 2016",8.3,Beautiful hotel close to shopping and entertainment,• Leisure trip• Couple• Panoramic View Double Deluxe• Stayed 2 nights• Submitted from a mobile device,1 review
