,0
47,"No respect to the clients. Will not recommend at all and will not be back. I can explain why.  I stayed in hotel 3 days. I paid total about 1200$, so 400$ per day. And you guys can't provide bath slippers for your clients for this amount? Really? I was so surprised about it after moved in, i made a call on reception to say that there is no slippers, and answer was ""they are not supposed to be there"". Really? For 400$ per day i have to go to bath and then walk on the dirty floor without the slippers? Okay, they said ""we gonna deliver it by your request, wait please 15 min"". I was waiting, and nothing was happen in 30 min, i get to shower, i get out of shower and just then, in 50 min totally i get my slippers) even in cheap 3 stars hotel they providing it, i just can't understand why Venezian acting with no respect and so cheap. 
Second reason that makes me disappointed even more, its additional charges. After moved in I realized that there is no water heater inside as well, i need it for my special herbal tea. I got a call on front desk and they say ""it's not include but you can get it for 7.50$"". So, i paid to Venezian 7.50$ plus tips to rent a water heater that totally cost on market even less than 7.50$) Nice move guys. So, of course problem not in 7.50$, thanks God i can handle it, problem in respect that you not feel at all from Venezian staff, especially when you ordering lux room for that amount of money. I know that it's all about business but there is tonns of ways to make money beside to safe it on slippers, they cost less than 50 cents... 
p.s. Thank you for not charging me for the air."
48,"Our view wasn't the best, despite booking a strip view room. It is a smoking casino and the smell of smoke gets into the corridors and elevators. Not good for non smokers"
49,"Outdated furniture, no coffee maker/ keurig. No view of the Stip. wanted additional $45 to get a View. I paid less in other hotels with the strip view."
50,"Having to walk through the casino to get to the room elevator banks.  The smell of smoke in the casinos, but that's Vegas."
51,Be prepared to spend a lot for food and activities if you stay mostly in the resort.
52,"We used the minibar to store our bottles of water. It was small, so we had to move the bottles inside. Because of that, the system mistakingly identified that we had opened a bottle of champagne, and charged $55. Fortunately, at checkout they confirmed if we did that (which we didn't), and reimbursed my credit card."
53,"It's so big, it takes about 5 minutes to walk to your room from the entrance :)"
54,"I mean this is not Encore and not brand new, but I don't see the appeal of Bellagio when price difference is so much"
55,"Staff was very rude. My wife asked for kettle to heat up water for my 1 year old. We were told by the staff,""I don't know where all you have stayed before, but at The Venetian we charge for kettle"". I was happy to pay the charge, without them making such rude remarks."
56,"It does not feel like a 5* Hotel at any point, more like an average 4*.
The reception staff (as well as the hotel via email) was quite pushy asking us to upgrade and since we didn’t feel the need we ended up at the back of the hotel directly on top of the casino vent which made an insufferable 24h noise making impossible to sleep. While the host that did our check in was ok, the attitude of the rest of the staff by the reception (not attending at that point) was childish, noisy and definitely not what you expect from a 5* Hotel where you expect everything to be mint end to end.
The rooms are very big and astonishing, though the electric curtains on our room didn’t work. The bathroom is huge but the toilet doors didn’t close properly...it’s in general quite worn out. In terms of room amenities you expect in a 4*+ Hotel you will not fond here. Nothing to polish your shoes, no toothbrush, no paste, no comb, no razor...really nothing! The hairdryer is as powerful as the battery on my watch so bring you own if you want my advice. 
The icing in the cake for me was the pool being closed for the season! The resort fee for the Venetian/Palazzo is the highest of the Strip yet all the other hotels down the strip had the full resort and pools open and heated and the Venetian didn’t, very disappointing. 
All in all, we were in Vegas for our honeymoon and wanted to treat ourselves going to “the best”...probably should have gone for the sure bets!"
57,"Couldn't connect to their internet.  Didn't want to wait on hold for IT when on vacation so went without internet.  Still it is nice to get away from the digital world.  However if paying a 39 dollar a day resort fee, I think the IT could be a little faster.  Maybe a little better education at check in."
58,"I booked this hotel on booking.com , which includes breakfast everyday. I paid about AUD$60 per day for this breakfast and I was expecting a buffet or at least a continental breakfast.
However I was kicked out of the restaurant in the first morning because the AUD$60 breakfast only includes 4 mini muffins and a tiny fruit salad X 2.  I felt so pissed off.  In the next morning, it was even worse as there was no staff at the restaurant door to give me the AUD$60 mini muffins. I went into the this restaurant, to order a hot buffet breakfast . You know what? It was only USD$20 each.
 I complained to booking.com and its customer service sucks. One email said she will reply to me within 7 days, and then no more response in 2 weeks until I contacted book.com again and again. Booking.com denied any responsibility of any booking on its website and refuse to give refund of the overcharged breakfast."
59,"The breakfast option in the room charge was for TWO people regardless of how many are staying and consists of a ""grab and go"" Danish/fruit cup/coffee for two. No flexibility but fine if you like this style."
60,"Wifi very poor in rooms and throughout hotel, dirty plates left outside our door for hours. Our room key became faulty every night of our stay and we were sat outside our hotel room waiting for security to issue a new key for up to 20mins. No bottle opener in room despite there being a mini bar. In the grand scheme, there's are small issues but when you pay so much to stay there it is unacceptable."
61,My only complaint is having to walk through the smoke-filled casino to reach our room. Yuck!
62,"Housekeeping a bit slow, had to ask to have room done already after 3pm. Properly huge - confusing to navigate.
Disappointed that we couldn’t upgrade room."
63,"The hotel is too big and doesn't work for people that have trouble walking long distance like my mom, very crowded. Located almost at the end of the strip"
64,The valet parking was very unfriendly; valet drivers were standing idly in the center and failing to provide basic guidance (as compared to Palazzo).
65,Too much smoke in the casino.  Non-smokers need their own area to breathe easier.
66,Such a long way to find the check in counter and the hotel room. Poor breakfast. No coffee maker in room
67,There was nothing not to like! It was a great hotel!
68,The room is quite dark. Checkin wait is usually long.
69,Breakfast was include in Booking.com but there was no enough information about the breakfast. I saw details about the breakfast after confirmation. It was to late to cancel the breakfast.
70,"The toilet paper was horrendous. I have had better TP at the local park. Also, there is no coffee maker in the room.
I got charged $95 because I picked something up from the dresser. Apparently there are weight sensors on the tray and you get charged anytime you pick an item up (regardless of whether you actually used it). I had to call the front desk to have the charge removed. 
I was woke up in the middle of the night by someone's toilet flushing in the next room and by loud, crude guests in the hallway. I was uneasy about how clearly I could hear their basic conversations as I tried to fall back asleep.
I paid an extra $45 for a ""Strip view"" which consisted of a bunch of roofs and less than half a block of the strip where nothing was actually happening.
This hotel is all looks and no real substance. It was absolutely not worth the money. Next time I will stay at the Bellagio."
71,"Parking lot no surveillance cameras, because my car was hit in the parking lot and the incitee escaped，let me feel bad😡"
72,"1. The breakfast was really disappointing (for extra 47 GBP for two nights to get three tiny pastries in the paper box and a paper cup of tea/coffee which you have to pick up from the bakery as takeaway without even possibility to sit and eat properly for such high class hotel as The Venetian was very very very disappointing - never book breakfast included in your room rate there).
2. The thing that mini bar and some snacks & drinks at the table are electronically controlled makes check out easier, but the matter that you are charged even if you took it to check and then placed back is a bit anoying.
3. No complimentary water in the room, even branded with the hotel name 0,5l water bottle is charged.
4. There weren't slippers in the room, which is kind of ok for lower rated hotels, but for The Venetian!..."
73,No room in refrigerator for personal use..would have loved coffee facilities in room.
74,The maids woke me up twice at 11am and 11:30am when I had 6pm late checkout.
75,"When I booked the suite ( which was very expensive) i was expecting a view , which didn´t had , when I booked it on booking, the photos showed there was a view, I felt a lil scammed by this."
76,The smoke.  The bedrooms also had a smoke smell.  If it is the “filtered” air then they need to figure a different way to recycle the air.  Will not be able to return because of the smoke.
77,Left turn traffic light outside self parking drive way is tooo slow. Every time need to wait for a long time especially heavy traffic.
78,"No space in there mini fridge for personal use .  You move the item in the mini bar, you .
No coffee pot or tea for early or late night drink, you have to order and PAY.
I wanted to borrow 2 small plates and fork,  I was told I'll be charged for this service. ( they forgot, the charged $39 resort fee per night) and. Since they busy, I have to wait for one hour.
We were in the non- smoking area rooms but at night, we can smell the cigarettes smoke."
79,It is a very big hotel and confusing to get around.
80,"For breakfast we got some food in a box to take it with us, we hoped we could sit down in a restaurant for the money we payed."
81,The service received from the bellman & valet when leaving the property were horrible.
82,allowing pets .
83,Breakfast! Well below my expectations for a five star hotel. A bag of danishes to take away to your room or to find a place to eat. Parking was a nightmare. Hard to find a spot on your own and 15 minutes to an hour wait to get your car from valet.
84,We saw last guest left their shopping bags and trash inside the closet...so we called the house keeping. They shows up quickly and clean up immediately.
85,"The breakfast included is a joke, you don’t have any choice for what to choose and it is totally not worth it. Don’t choose the room with breakfast included."
86,The room was non smoking. We reported a horrible cigarette smoke smell in the toilet room and the hotel brought an air filter. It did not work. Still smelled badly.
87,One bad thing is the speech of wifi. It is too slow to watch videos.
88,We had wanted to spend some time at the spa but it seems to book up quick for couples retreats.
89,Really wish Las Vegas would enforce a smoking ban inside the casinos.
90,"As a suite, the living room side is not very useful as it is completely open to the bedroom.  Just a very large hotel room and not really a suite where one can go and not disturb another.  The furniture in the living room are was not very comfortable.  I also can't believe the sensor mini bars still exist and was disappointed to see this hotel had this type of system.  You can not look at anything or read ingredients to see if you want it as if you move it you bought it.  Very cheap toilet paper, stiff robe, cheap toiletries and useless hair dryer for the price you pay for this hotel.  In Vegas you can get good accommodations for much more reasonable price.  Expected a little more for the cost of this hotel but was pretty standard to an average hotel.  In the Canal shops you are harassed constantly by people trying to sell you show tickets or drag you into their cosmetics shops and put their crap on you.  Was very annoying and hated whenever we had to walk through the canal shops to the room and could not just leisurely walk around and shop without aggressive sales people constantly coming after you."
91,"A little desappointed by some services, that are usually free in a hotel of this class. 
No free bottle of water (even small!!) has been offered in the room, what is definitely not normal!!"
92,Would be greater if more direction guidance could be given because it’s a little bit confusing between the Casino and the main entrance.
93,I drove with the Tesla to The Venetian and I asked for it to be charged and it didn’t happend . The valet told me he can charg it for me but he didn’t do it .
94,"The Check-in staff were not nice, originally gave us the wrong room, gave us the wrong directions to our room. When we went back to straighten it out, they did nothing to compensate us for all our lost time, frustration and hassle."
95,"- 1 ply toilet paper
-  view of the car park
- staff wasn't friendly at Check in or Check out 
- mini bar was so packed that we couldn't fridge our own waters; if we had removed the bottles in the fridge we would've been charged (electronic minibar)
- expected more luxury as advertised online 
- all the pools were shut even though it was 30C
- no complimentary coffee/tea with kettle as usual in most hotel rooms
- 7$ delivery fee, min. order and resort fee on top of room service
-150$ resort fee that was supposed to be included ended up not working at one of the advertised restaurants"
96,It says rate includes BREAKFAST which is actually a con. What it should say is - small take away bag of pastries and coffee. A proper cooked breakfast will cost you a minimum of another $50. This is very poor and people should be warned !!!!!!!!!!!!!!!
97,Good and beverages are very expensive.
98,"Long way form the parking lot to the lobby, and back to the room."
99,"No buffet breakfast
Complimentary water in the room would really help. Also electric kettle as our kids were not well and wanted hot water to drink."
100,Because we arrived at 12 and check in not til 3pm they charged an extra $45 PER NIGHT for the early check in. Thought it was an upgrade but room was exactly the same as other suits.
101,Booked a high room with a king sized bed. Got a middle floor with 2 queen sized beds as all available king sized rooms were on smoking floors.
102,Absolutely nothing
103,I was not told that during check-in I need to deposit $100 cash. Also I don't know why they don't use my card details on booking.com. So I had to pay $479 during check-in.
104,Window view. I was told it was strip view.. it was not ! I hated seeing TRUMP HOTEL!
105,"i asked front desk for kettle,a staff said she would send someone bring it to my room. I'd been waiting for whole day,they still didn't come！！and next day i asked another staff about that, they said they didn't have the record of my order!! what's wrong with your staff!! If the staff doesn't want to help me, she can send another staff to help me.DO NOT LIED TO YOUR CUSTOMER！！"
106,Nothing
107,"No big complaints. It's a large building so a little confusing sometimes on which way to go, but there are signs everywhere to help guide you."
108,"1. There is no tea or coffee making facilities forcing you to get dressed and go buy it which is very poor for five star one would expect an espresso machine in the room for the price
2. The mini bar did not allow you to move items to store your own
3. The actual bath was quite small but two people can squeeze into it
4. The buildings are too tall which creates shaded pools and difficulty to sit in the sunshine"
109,Very long corridors and the view rooms don't have much of a view. Spend your money somewhere else. This place acts like they do you a favor by letting you stay there. Look at the bottom sections of the doors as you trek one of those long hallways.
110,The lower flours smelt like sewer so our first room on the 8th floor stank and we had to move at 2am to another room on the 24th floor.
111,"The 1st suite I walked into the room and it was filthy and I walked into coffee and pashio shells all over the place so we had to move to a different room, then we got food poisoning the next morning from the in house cook from the sausage.I missed half of the Michael Jackson One Show because of my diahrea and going to the bathroom so much and they wouldn't even compensate us for the show. Just $150 towards the room and took the whole weekend off. But it was my boyfriends 50th birthday and I called ahead to set up 50 black and silver balloons and then 1 50 marlar balloon. They couldn't even get that right never signed my name to the card nor did he get the 50 marlar balloon. I was crying by then and so was he the whole weekend was ruined. We were treated like King and Queen at the Mandalay Bay and will go there next time. The only person that saved the weekend was Monique and Johnathan."
112,"The room was dirty ( we had hairs in our shower and there was dust everywhere) The staff was not welcoming and not helpful and we had to wait long periods of time : it took us almost 2 hours to check in, we waited half an hour on the phone before we reached the front desk...
Not what you expect from a 5 star hotel..."
113,Check in receptionist offered upgrade which was completely unnecessary for a couple. Problem quickly rectified to our satisfaction through central bookings in hotel.
114,"The air-conditioning was bad in another word the room was not cool enough at night.
And i got to mention the cleanness of the room was not good we checked in with an empty bottle on the floor adding the housekeeping afterward was not as a 5 star hotel would be."
115,"I didn’t like that Booking.com charged $30 more than the actual Resort. Do not book with Booking.com without going to the Resorts website first. Had I booked with the Resort, not only would I have saved $30, but there was also a $150 Resort credit I missed out on for not booking directly."
116,"the walk to 2 sets of elevators was poor, No coffee or water in the room for $39 resort rate n my $200 / night. the pool was stupid no sun small , the food was very expensive i mostly had to eat at wintergreens. sportsbook football odds were too high."
117, Swimming pool is average. Pricing is steep especially after adding resort fees and taxes. Refundable deposit of  about usd 50 per day.
118,"Bathroom light fixtures although beautiful were bright enough, nor were there enough of them.   On closer inspection there could be a more thorough cleaning.  The  curtains surrounding the back  around the bed had layers of dust in between the folds.  As well there was dust on the top of the headboard.  Also a little bit of mold in the stand up shower."
119,There really wasn’t much to choose from to eat after a certain time inside the hotel.
120,The view overlooked the back of the hotel which looked as though it was the top of the garage; the phones did not work until maintenance was informed; found an empty water bottle on check in
121,"Charged 50 USD extra per day for a view, got a narrow stripe of nothing in particular = robbery at broad daylight! Hotel layout a nightmare, only bright side of constantly getting lost is getting lots of exercise!"
122,"A knock on the door for a room check at 8.30 am
If a long night before it’s too early to be woken up."
123,"The WiFi was very poor, speed was ridiculously slow considering it is 2017! A smartphone with a LTE connection would be faster. You could upgrade to 5Mbps!! This is still woefully slow!"
124,"Slow housekeeping. My son got sick from eating bad pizza from the food court and threw up the whole night. Had to call housekeeping a few times to get somebody to clean the room. Even then, housekeepers did a haphazard job at cleaning the puke, changing sheets. We fell asleep waiting, and they knocked past midnight to bring in extra linens we had requested a while back! The following day, they didn’t come until the Afernoon to take care of our puke-ridden room. So overnight we slept in puky sheets and dealt with puky smell. Well onto the next day."
125,"Casino very smoky. Not used to this in Europe any more. Don't even lift anything off the mini bar, you may be charged."
126,"Breakfast was TERRIBLE! What a ripoff to pay extra through your booking site, Booking.com, for pastries and fruit. That was enough to make me book directly through hotels in the future instead of your site. The hotel staff told me they have had several complaints about your “Grab and Go” breakfast. We didn’t even pick them up but we were charged for them, and the hotel can’t reverse the charges or change the order. There is no way to address the problem with Booking.com."
127,I did not like that the lack of a coffee maker in the room....having to go downstairs to buy coffee or pay about $30 for a pot to be brought up.  The fridge had no room for our food because it was sensor pricing all the space with hotel priced beverages.
128,"Too much rush at the Check-in counters but the staff were very efficient. Huge hotel, so lots of walking from the main entrance to the room(s) via two lifts."
129,"When you advertise ""including Breakfast"" it is NOT acceptable to get a voucher for a pick up breakfast (2 cups of coffee, 3 pieces of pastry) for 2 persons when we have booked for 4. This is a lousy excuse for a breakfast! Very Poor service and information from Booking.com"
130,"Breakfast was part of the room rate. Was disappointed to know, the included breakfast was a take away breakfast box with some pastries and few pieces of fruits. 
There was no kettle or tea bags or coffee in the room."
131,"My sister got bed bug bites on her neck and shoulder. 
She contacted the hotel on Oct 10 and has not heard from them at all regarding this. 
Also, we arrived to our room  one night at midnight and our room was not serviced. We had to call for towels. The beds were not made. I will report this to the vagas health dept."
132,"Not much, but never got breakfast. Really annoying and sneaky 'Resort fee' of U$40+ per day was added to bill on checkout. It's a really cheap trick that does the hotel no credit. But for the hotel it does the job of making the room rate look more affordable. Supposedly pays for extras like Wifi etc, although these are advertised as 'Free'. Not sure if this 'fee' would be considered legal anywhere but Vegas. Unwary travellers on a tight budget be aware you are going to be hit with this additional bill as well as local taxes. One of the top hotels in Vegas - at a price that's acceptable but unfortunately one that's not always up front."
133,"Poor value for money. We booked a brakefast included offer, and what we got was a 15 min line every morning, just to get a box with 2 old pastries. All pool areas are smoking areas so if you dont like lungs cancer you should only be in your room, and the wifi works only in the room. We regret coming here. after visiting many 5 stars hotels all over the world, this one was extremely disappointing"
134,"We asked for quiet room, as we have 2 years old baby and we got connected room and in that other room were very noisy guests. There was also food smell from the restsurant through A/C.. After 1. night they changed us the room, but we got one near the elevators, which were also noisy throught these paper walls..
But the worst was breakfast. When we were booking our stay, there was written , we will have continental breakfast.. After booking we reciebed confirmation email, where was writyen, that breakfast will be Grab and go! The quality of such breakfast is very poor../3small pasteries and bit of fruit..you waiting in lane to get sime boxes and you have to leave no seating at all). After complaining they deducted a tax resort fee from the bill and we have to find breakfast on out own. You just dont expect this from 5* hotel eventually the receptionist said its only 4*."
135,There is nothing negative I can say about the Venetian
136,"There were no tea/coffee making facilities in the room. First night they tried to charge us for lots of contents from mini bar, which we didn't even open. But they deducted this off our bill when we highlighted it."
137,"My room rate is over $300 per night with tax and resort fee. 
First night late check in around 10pm and they dont have the room type that I booked for. 
Second night went back to hotel after whole day trip, found that the room wasn't clean up at all. I called and asked for house keeping ASAP then still wait for more than an hour still have no one come. I eventually went down and request a room change! 
I live in LA and went to vegas quite often, but I don't think I will stay in venitien anymore."
138,"The check in was slow even at 11pm, no special congratulations for our 10 wedding anniversary, even told the checking staff directly, we got engaged at the Venetian 11 years ago, so coming back was special, will not be returning."
139,"Nothing spectacular but an electric plug next to the bedroom would be nice to charge cell phone. Otherwise, the best hotel on the Strip I've ever seen so far."
140,"We were very surprised that the janitors do not wash floors and vacuum the floors!  I had to crawl under the bed to pick up a dropped item, where I found some items of the previous tenants and some much dust..."
141,"Staff very unhelpful and rude, breakfast £250 and not actually included just take away coffee and danish that cannot be eaten inside the hotel!!!!"
142,"I didn't enjoy the room to the fullest, I was out all the time"
143,"Under a medical emergency it took to long for someone to get there on the casino floor. A guest was unresponsive, it appeared lack of on site first responders,  AED not provided. Employed apeEd confused and none assisting  
Within first hour, Power in room went out &  toilet broke ( repair response was fast)"
144,"The room was advertised as offering free breakfast with the stay. The ""breakfast"" consisted of a cardboard box containing three small pure sugar pastries and a tiny pot of fresh fruit. You were also given a cup of weak filter coffee. The real joy was that you were not even given anywhere to sit and consider how pitiful it was - the restaurant handling the promo where you picked it up reserving it's empty seats for more important guests. On a room costing 650 usd after taxes this was disgraceful. The staff at the Venetian politely explained that they received regular complaints about this promo - and occasionally they considered passing the complaints on, but basically it wasn't their problem. As a paying customer who booked through an agent they weren't interested in whether you enjoyed your stay. And they were not receptive to my suggestion of explaining to guests that the breakfast deal would be disappointing - And that the guest should make alternative plans. They were extremely courteous- but really couldn't have cared less."
145,The breakfast provided was almost all carbs and as I don't eat them was useless. Only ate small carton of fruit. I asked if they could offer an alternative but they said it was arranged between booking.com and the cafe so NO.
146,"Upon entering the room we were greeted with a floor that had recently (same day) been washed. Although I appreciate they wash it, the carpet to the room we were given was still completely wet and the furniture was on the beds, their was a large noisy fan with a long extension cord connected to try and dry it. When we reported this they offered to come take fan out, which wouldn't of helped, the fan was needed to try and dry the carpet, but they did not offer or even allow us to switch rooms. We had to stay in a room with a wet carpet, unbelievable. Also, they gave us a room credit when we booked (this wasn't given to us because of the wet carpet, it was a booking promo offer), then at check out they were not honoring it. It became a big hassle (almost an hour to check out, straightening the issue). Fortunately that part was resolved. But over all our hotel was not what we had expected for the quality of hotel we thought we were getting. Very disappointed with staff and their unwillingness to be more helpful or accommodating."
147,No coffee/ tea making facilities in the room. Fridge full of minibar so can't be used for your own drinks.
148,"The problem was not with the property, but with Booking.com. The ""included breakfast"" is a joke. It is not through the hotel, but a 3rd party vendor. It is NOT room service, but a lunch counter where you can ""grab and go."" NOT worth the extra money. Annoyed that booking.com was misleading. Could have gotten the same rate on the hotel website with room service options. Live and learn."
149,nothing
