,pos_review
32,Everything!!!!Book this hotel every time for an amazing experience. It will take two days to explore this resort on its own before you head into the Vegas strip. Don't touch the bar fridge bottles as there are sensors under each base that bill you each time ypu lift a bottle even if you put it back immediately. Management were great though and wiped the minibar bill when we explained this to them. No stress with this hotel/casino.
33,A lot of facilities near-by.
34,"Great location, helpful staff and incredible resort. Loved the spacious room!"
35,"Nice room, plenty of amenities. Good spa experience."
36,"The beds were comfortable,  the suite is spacious"
37,"The hotel is fabulous, one of the most beautiful and charming in the whole LV area. We visited some other famous hotels, but liked our the most. The streets of Venice, St. Marco square and the channels with gondolas are breathtaking"
38," the halls and the winter garden are to die for. The hotel has lots of restaurants and shops, thus you can spend 3 days without leaving the perimeter"
39," it is also connected to another hotel Palazzo, with good long walk for exercise. The rooms are spacious, comfortable beds, large bathroom. Heated swimming pool and Jacuzzi in the winter garden in the courtyard (although in open air, thus a bit chilly in winter) is a nice bonus.  Madam Tussauds' museum is somewhat smaller than expected"
40, it is best to buy tickets in the hotel with the discount as compared to much higher price in the museum.  Large parking with plenty of space. Central location with 10 minutes walk from Bellagio and Caesar Palace...
41,Bed was a bit too soft but that's just my opinion.   Beautiful room and bathroom.
42,"I have been to Vegas four times and have stayed at the Venetian twice! The luxury, the amenities and the service is second to none. The staff is amazing, the resort is worth every penny, stay here and never stay anywhere else again! The basic suites are amazing, the bathroom alone is worth it!"
43,Only some sweets and coffee for Breakfast. It's a Grab and Go bag.
44,"The rooms were very comfortable, very big, and clean! The staff was very accommodating and friendly."
45,The suite is large and has a living room. The bed is super comfortable and it makes getting up early very hard. The bathroom is also super huge and has everything you need.
46,The room was beautiful and the entrances are adorned with gorgeous art.
47,Bed comfortable bathroom clean good
48,"The room was really spacious with big king-size bed, two TVs and nice big bathroom.The check out process was really fast and efficient."
49,Loved the suite...bathroom was beautiful.  Elevators plentiful and fast. Felt safe with the guards on duty.
50,The staff was very friendly and the room was spectacular and clean and the resort was very high class.
51,"The Staff was very good, big kudos to that, they helped me when I requested a mini fridge for I'm a breastfeeding mother, they didn´t had one by the time I checked in, but they looked for another one and was in my room"
52,The front desk staff were amazing.
53,"room is large and clean. Location is great,near shop and other hotels.Everything is so perfect."
54,Shops around the hotel.
55,The beds were super comfortable.  The room was a good size.  The view was good.  The hotel is in a convenientt location on the strip and close to the tram.  The free parking was a nice perk.
56,The location and the room was perfect. The bed was extremly comfortable.
57,The room was very nice & a lot of room for the amount of people in my party
58,"This hotel was pure luxury! I enjoyed every bit of my stay here. Every staff member we talked to was insanely helpful and polite! The rooms were amazing....comfortable, functional and decorated nicely."
59,"this was not our first trip , everything went as we expected ,which is why we keep coming back . I have pet allergies so I am not thrilled about you being pet friendly ."
60,"Large, comfortable room."
61,The room is big and perfect for family!!Love the style of the hotel. The location is excellent and lots of great stores and foods inside the hotel.
62,Spacious room
63,The hotel was beautiful inside and out. Our suite was spacious and had comfortable beds.
64,"the room is big and beautiful, the bed is the best one I have ever sleep. Venetian is great. Wonderful experience!"
65,The rooms are huge and comfortable. The hotel is also in a great location to many points of interest on the strip. Plus the staff is friendly and excellent!
66,"Great location on the script. Fantastic shopping mall inside the property. Good selection of restaurants and bars, with reasonable selection of late night food options. Room was clean and spacious with all the comforts you can expect from a 5-star hotel."
67,Bed was very comfortable and the room was nice and quiet without hearing hallway noise.  Also great shower.
68,"Room was perfect. This is my fourth hotel in vegas in the last 2 years and this is the best hotel! Huge room, I got a regular suite, and features were amazing. Amazing view. huge bathroom with jacuzzi and tv on it, and if you forgot something they got it for you (toothbrush, shave, etc). great bed. Super clean, great location. Staff is super friendly. They have all the services you can imagine. Great restaurants, all services you can imagine (i.e. SPA). good security. amazing experience."
69,Very well located
70,Quick check in and convenient location on the Strip. Hotel room is super nice.
71,The room we finally checked into was beautiful. Just like the pic in the system.
72,"I loved my super large King suite!!! So spacious with elegant decor. There's a Bouchon bakery inside the hotel, and they have a climbing wall in the gym! I'm never staying anywhere else in Vegas!"
73,"Bathroom was great (great water pressure in the shower, love the TV in the bathroom)"
74,The room is nice and big
75,"It was all perfect! The complex is amazing and huge with all it's amenities. We paid for an upgrade up front for a room on  an upper floor, which was worth the money: the view was incredibly impressive."
76,"Good location, friendly staff, free parking.We had a deluxe king suite with view. The suite was great (nice room, great bathroom). The view was not bad."
77,"Rooms were spacious and good, 3 TVs one each in bedroom, living area and rest room.Property has adjoining food court on 2nd floor with all food options including Indian vegetarian food at Curry Pot.Free wifi across the property was amazing. Connection to free car parking was also good."
78,All the poolsThe Suite
79,"The Property is absolutely beautiful. The location is great, at the center of the strip. There is a Walgreens right outside the hotel, which makes it very convenient for families traveling with kids. Our view from our room was amazing."
80,Quality of the room and the location. The art work and decor throughout the hotel is amazing.
81,"The ambiance, the beautiful artwork and architecture. Everything u need at your disposal. Everything was fantastic. The Venetian set the bar!!!!"
82,The queen size bed was very comfortable.
83,During check in was told they did have a strip window view.. and was dissapointed I had POOL and especially Trump hotel view..😡...Only cause we spent our time outside room is reason I didnt make complaint. But my view was the inly thing dissapointing. Other than that eveything else was absolutely WONDERFUL!!👍🙂
84,Free parking
85,We attended the Rascal Flatts concert. It was great to be staying at the same location. The theater was great. The show was great!!! The hotel was perfect
86,"I loved the building, style and decor, it was very fun! The rooms are also very nice"
87, my boyfriend said he felt like he was sleeping on clouds!
88,"1. Beautifully designed room2. A light and bright hotel that made you feel happy, many of the Vegas hotels are very dark and focus too much on casino and not enough on the hotel (New York, New York)3. The hotel and rooms were immaculately clean, credit to the cleaners4. Grande lux cafe by the lift did beautiful food of a good quality5. The canals and shops made it one of the more entertaining hotels to stay at if you are not into a gambling this hotel is the best, also great for kids over 8 as they will enjoy it6. It is indeed a great creation of Venice having been there it captures the romance of the place7 the pools there are 4 to choose from and fabulously heated if you feel the cold8 perfect location"
89,In the middle of the strip. A lot going on just outside the property.
90,"Big comfy bed, clean and spacious"
91,Nothing we walked into our 1st suite and it took miles to get there and no one told us so I had to get a wheelchair. It was literally a football away from the casino and the elevators and rooms.
92,Decor was stunning. Bed extremely comfortable. Concierge service was spot on. Massive choice of restaurants for casual or fine dining.
93,The bed was very comfortable and the check in was smooth.
94,Everything about the Venetian was beyond my expectations.
95,"the sports book, poker, the staff was helpful printing out my boarding pass"
96,"Venetian is a grand hotel. It is an architectural gem from inside.  The reception, lobby and other common areas are worth seeing. The rooms were spacious and clean. I found their casino to be the most well lit among the other big names. The food court has many food options especially vegetarian ones. The other hotel Palazzo is connected through the food court and shopping area. There are many dining options. Free valet is available for hotel guests which was very good considering parking is a hassle on the strip."
97,"Bouchon Restaurant and Bakery were excellent.  The macaroons are out of this world.  Luxurious features such as chocolates in satin pouches left on pillow.  Bathrooms are large with a separate water closet, makeup table and chair and tv, double sink. Several full length mirrors.  Stand up glass enclosed showers, and tub.  Opulent details such as crown moulding .  Three TV'S. The furniture is upscale looking.  Curtains are electronically raised."
98,The bed linen was amazing. The bathroom was spectacular and extremely spacious.
99,"The hotel was ideally located for shows, shopping at Fashion Mall and a good walk to see the water display at the Bellagio.The bed was comfortable"
100, the room had blackout drapes
101, there was security at the elevators
102, the front desk staff were very helpful
103, maintenance personnel were prompt when called
104," outdoor personnel were very pleasant and helpful (doormen, taxi assistant, etc.)"
105,"Breakfast good, but expensive, suite good, but expensive."
106,Great rooms and restaurant selection and close to convention centre.
107,the amount of space in the room
108,"Fanastic Hotel which will surely fulfill highest expectations from tourists, spacious rooms, very clean, staff very friendly. Real five star, no more, no less."
109,"Location, cleanliness"
110,"The hotel itself, the sceneries inside! Highest quality customer service ever!!!!! Rooms are very clean and cosy!! Restaurants and casinos + you name it!!"
111,Rooms very well appointed. Check in and out very efficient. Good location. Restaurants very good.
112,"Decor, cleanliness."
113,The property and the pricing is great.  The accommodations are wonderful.  The staff is wonderful.
114,"This was my second stay in this hotel. Great hotel, with very large and comfortable rooms, bathroom. The bed was amazing and the pillows were to die for. Room was super clean in fact the whole property was super clean.After Check-out and upon reaching the airport I realized that I forgot my laptop and cash (which was in the lap top bag) in my room, all the things were intact and returned back to me after going through certain formalities."
115,The hotel is beautiful with well decorated corridors. Room was spacious. Close access to restaurants.
116,Beautiful decor.
117,"Rooms, facilities and ambience excellent. Self-Parking excellent. Great location on the Strip."
118,The Venetian is stunning. One if the most amazing hotels and casinos in Las Vegas. I was very impressed with the driver of our gondola. The driver spoke and sang in English and Italian.
119,The bed was amazing and the pillows were to die for. Room was super clean.
120,"The location was great, not overwhelming finding where things are."
121,"Everything was perfect: location, very clean room (actually the entire hotel was extremely clean), great casino and shops, good food and very friendly/helpful personnel."
122,Spacious rooms
123,It was a dream come true my first time there love it love it my next has to be an upgrade to the next level suite for me and dog
124,"Beautiful place, Very nice and clean."
125,Room was fab as was the decor everywhere. It was a special place to stay for our ruby wedding. Would have liked coffee making in the room. Complimentary valet parking a plus.
126,The hotel was beautiful. Ameneties were very nice. Restaurant selection was fantastic.
127,"Fabulous suite, very large. Superb bathroom."
128,"The bathroom was out of this world even had a tv in it. The staff were all very friendly and helpful, the bed was great and so were the pillows. Cleaned every day with fresh toiletries added daily. Would recommend this hotel"
129,everything was good except
130,This place is a city in itself. Loved the decor and the rooms. The stay was peaceful
131,"Luxury hotelvery  nice pool area and great gymrooms were huge and clean , we had great view to the stripnice to have shop[s down stairs and there is a very good food court that we ate lunch there"
132,Room was massive clean and nothing to fault.
133,"It's a very luxurious property with plenty of facilities on site. You would never need yo leave the complex with restaurants, shops and theatres on site"
134,"Location was great, and the hotel is beautiful. Seeing a canal running through the centre of the shops along with gondolas is something that really is amazing to see!"
135,The Grand Luxe had really good breakfasts that were healthy and filling. The room was a great size and the mattress super comfy.
136,Great suite and fabulous hotel. The location was excellent and service was very good.
137,Spacious rooms and comfortable bed and pillows.The staff at the Grazie desk were very accomodating and the lady named Joy gave a satisfactory offer regarding my comps.Thank you.
138,"Excellent hotel and facilities.Very disappointed with the Casino staff as we travelled with 4 adults aged 21-23 that were constantly harassed for ID and staff were very rude to them all on too many occasions  to the point where it became VERY embarrassing, DO NOT CHOOSE this hotel resort if you are 21-25 as you will not be welcomed.In addition a large majority of the Casino staff seemed very miserable and it seemed that they did not want to be there.On a positive note, we met and were served by a very pleasant elderly asian lady (her name escapes me, however she served our table near the kitchen entrance at 10.30am on Sat 15/07/17) in the Lux Grand Cafe, maybe the hotel resort should model there staff on this lovely pleasant member of staff who is a credit to their business  ?"
139,"The beds are so comfortable, I did not want to get out of my bed. rooms are fabulous."
140,"The bedding was excellent, I liked the bathroom as well."
141,"We stayed at this hotel as it's iconic to Las Vegas and it did not disappoint.  The decor was over the top extravagant everywhere you looked there was something to see.  The rooms were very large, but reflective of the cost, restaurants were everywhere and they were open all hours.  We left the hotel at 3.30am and it was like it was still midday outside.  The staff were friendly and helpful.  There were shops everywhere but I would recommend saving your money and going to the Northern Outlet Stores instead.  I would recommend this hotel if you want the full LV experience and were not worried about the expense."
142,"Massive hotel with so much to do, upgrade room to suite view it's worth it, rooms are beautiful and food is good"
143,"Luxury of the room, surroundings, we loved taking dinner in a Mexican restaurant by a Venetian canal, ability to walk around all the hotels to take in the atmosphere"
144,"I loved my trip to Vegas this time round, I'm not a gambler and I found Vegas incredible even for the likes of me not going to gamble. The sites were amazing the Venetian hotel where my partner and I stayed was amazing. The pool beds and Tao beach bed rental I thought was extremely expensive for couples and we were residents at the hotel. A reduced price would have been better for couples rentinf. Big groups could have split price so ok for them. This is nout to do with hotel but I felt becos of the volumes of people living in Vegas as well as tourists coming in and out everyday. Traffic is crazy. I felt that the strip especially would really benefit with a bus and taxi lane. I think traffic would flow quicker. Overall I had a one of the best holidays ever. Defo stay at the Venetian hotel."
145,Amazing suite for standard room. Great pool. Lots of meal options from budget to fine dining. Stunning casino interior and exterior. Really like how entrance to elevators and pool area are manned and you have to show your room key.
146,The rooms were very spacious and luxurious.
147,Thank you for expert and professional service from your reservation department.  The reviews are that I read are correct and your hotel is outstanding.
148,"everything is near to you, no need to leave the hotelhuge clean rooms (all standard rooms are joiner suites) great staff,"
149,"The hotel was nice, and the bed was super comfortable."
150,Suite is standard so you get double the room size compared to most. The staff were fantastic. I had a problem with my credit card so they let me pay a small deposit in cash and told to I sort it in the morning without any fuss. By far the most spectacular inside.
151,"The hotel is classic, timeless and beautiful.  I was very happy to have booked this hotel after arriving and comparing the others in the strip."
152,"The house keeping crew were WONDERFUL! They are so sweet and helpful, they really made you feel like you were on vacation. If you like well crafted drinks we defiantly suggest the Dorsey, they are more $$$ but its a fun atmosphere. If you want the best breakfast of your life please go to Yard Bird, their Eggs Benedict and Bloody Mary's are amazing. Friendly staff, no complaints at all. It was our wedding weekend and they were all so accommodating."
153,"Big room, great location"
154,"Gondola ride, Dinner at Canaletto Italian Restaurant."
155,"Stunning hotel!!!Suited were beautifulBakeries throughout hotel were yummyGreat choice of foodSpotless rooms, corridors, facilities.... cannot fault it!We absolutely adored it & will definitely be back!!!"
156,The staff were very friendly and treated us with respect and friendliness.  The room was awesome and the view was wonderful.
157,"The location was perfect, the hotel itself was stunning and the room was very nice minus the smoke and lack of amenities."
158,"The hotel is absolutely beautiful! The rooms are huge and really comfortable. The girls from the front desk very helpful, great restaurants and bars inside the hotel."
159,This resort was very exquisite!I loved all of the details of the facility!The rooms were very large and comfortable!The view was amazing!The bathrooms were very nice!
160,"A very spacious, luxurious and well-appointed suite."
161,Room was huge and bed super comfortable.  Tons of awesome restaurants in the hotel and area.  Centrally located.  Not too many kids which I liked.  Romantic.
162,The hotel is beautiful .. loved the shops and views ..  The room was beautiful .. the bed was very comfortable ..
163,"Great location in the middle of the strip. Excellent food court with reasonably priced food outlets. We moved to the Pallazzo Tower day-2 which was much better. Free self parking option, 50SqFt bigger room, TV in the bathroom. Remote Ctrl Curtains. Strip Views."
164,"The location is Perfect. It's at the heart of most things though the cosmopolitan has some better in-hotel options I found myself leaving less and staying within the hotel vicinity more than when I stayed at Cosmo. The rooms are spacious and clean, well appointed and they even give you a fridge if you need it (you do need to request it from RS). The mall is grand and a sight to see for anyone traveling to Vegas, however that does make it more crowded. But not outside of convenience.  Restaurant selections are good. There is variety from good to great restaurants cheap options and expensive ones."
165,"Rooms were very spacious, well equipped and comfortable. The location on the Strip, proximity to the Fashion Mall, on-site shops, canals and decor of the Venetian were all incredible. We would stay there again without any hesitation. Price is what you pay, value is what you get - the Venetian is not cheap but is great value."
166,The overall ambiance of the hotel was wonderful from the details of architecture down to the accordion player in the lobby was realistic to visiting Italy.  The staff were very friendly and helpful.  The suites were spacious and the beds comfortable.
167,Location
168,The hotel restaurant food prices were reasonable
169,The size of the rooms. The casino is a much brighter one the rest on the strip. If you are looking for something with a bit more sparkle this is the hotel to stay in.
170,A beautiful place to stay. Opulent and spacious rooms and decor of overall hotel was gorgeous.
171,"We loved our luxurious suite, and spacious bathroom. The bed was comfty. Hotel grounds our beautiful."
172,The location was quite central
173,Absolutely enormous suite with a strip view which was incredible value. Front desk staff were very helpful. Free wifi.
174,"The room was amazing - large lounge area, bed was comfy & the bathroom was luxurious. Staff were friendly & super efficient."
175,"The room was perfect, very clean. Definitely my favorite hotels in Vegas."
176,"the room itself was very pretty and accommodating, the view was okay because we got a window where if you look you just see the roof top. However, the room definitely had a special personality to it and was indeed very pretty."
177,"The location of the property is excellent, on the strip."
178,Location was nice and the room was spacious.
179,"excellent facilities, beautiful interior decorations, wide choice of restaurants and very spacious rooms."
180,The room was very comfortable and the cleanliness was great.
181,Everything from an early check in to a luggage gold made our vacation smooth and fun! The Venetian is  in a class of its own. Never once did we ever think we made the wrong choice. In fact we toured the strip and realized how great of a decision it was to stay at the Venetian. We're humble people from humble upbringings and we were happy with every penny spent!
182,Very convenient almost everything is around.
183,"Very nice and clean room, comfortable and spacious. Very beautiful canals and venetian-style interior. Quick check out."
184,Good hotel and location
185,"The room was massive! We had a king size bed (compfy & clean). The room looked exactly like the advertised pictures! The bathroom was beautiful, it had a separate backlit mirror for the lady's, which was much appreciated! The location of the hotel was great, right in the middle of the action, surrounded by many places to eat! The shopping is also great, located within the hotel, the offerings are mostly highend stores though, not a lot of variety! BUT if you want bargins you MUST go to North Premium Outlet!! It's a 10-15 minute taxi ride away, and it's worth it!! The savings on brand names such as guess, fossil, Ralph Lauren are crazy!! Such as 50% the entire fossil store, watches, handbags, everything! I would certainly recommend this hotel to family & friends!"
186,Huge room as in other reviews! Didnt need to leave hotel as everything under one roof - excellent restaurants and food. Bed was extremely comfy. Bathroom was huge too. Good location and beautiful surroundings.
187,Spacious room and bathroom
188,"PositiveThe granduer of the place makes you feel good when u walk in to check in.  The staff at the checkin is efficient n friendly.Room layout is the best in the strip.  We hv stayed in the Wynn n Ceasar before and we will give Venetian the thumps up.The food options n restaurent types are excellent.The location is great as it is easy to get to other hotels n also the bazaars.NegativeAs a hotel guest nothing is free n that makes you feel you are not a guest but a client.  I have to pay for kettle, wifi, indoor swimming pool and gym. We are most disappointed with room cleaning.  Socks n underwear on the floor were left as it is n the table n chairs are dusty. We suspect no vacumming is done.  This aspect displease us to a point that if we returned to Vegas again we will look at other hotels.We hope Venetian will look into this seriously."
189,The hotel was very clean and well decorated
190,"Great room quality for the price. Very spacious, clean and nice."
191,"Everything about this hotel is fantastic, the location is the perfect spot to stay near everything. Also the restaurants are amazing."
192,"Everything was perfect, made our stay very special. Would defenetly go back. We give it a 10/10 for everything. Loved it every minute, cant wait to go back once again in the near futur."
193,"I like everything, the hotel is beautiful classy , good staff they are very friendly, is the best hotel ever , I love it"
194,I loved the spacious room! I loved how the hotel provided so many good options and shopping as well.
195,"The room was clean and beautiful. The bed was comfortable and the bathroom, with the separate tub and shower and separate room for the toilet were great amenities."
196,Amazing workmanship inside the hotel and lots of areas to eat and shop and don't have to leave the hotel. The staff were great.
197,"Comfortable bed, beautiful interior to the hotel. Excellent location."
198,"Bed was amazing! Very large room, plenty of space and sitting areas. Decor is beautiful and overall beautifully presented hotel. Parking was convinient."
199,"Super comfy bed, most spacious and beautiful suites to stay in. Staff very helpful and attentive, the security guards always pleasant and able to assist. I appreciated the checking of suite passes after a certain time to ensure security. Plenty of restaurants on the property and in a great location on the strip."
200,We really liked the visual appeal of the rooms and extra fluffy beds. It also had good security and lots of beautiful amenities. Not to mention free valet.
201,"Great luxurious hotel OTT in design, big almost too big, I got lost more than once! Saw a show there easy to organize and staff really helpful. We had 2 interconnected rooms."
202,"Lovely big rooms, impressive building and complex, nice selection of shops and places to eat, good location as right on the Strip!"
203,Extremely large immaculate Queen bed suites. Room service was excellent. Early check-in and Late check out accommodations. Fantastic price when booking ahead on Booking.com! Thank you.
204,"Loved the room. It was extremely clean and comfortable. Halls were quiet at night, and we slept like rocks. (Which has never happened in Vegas) We enjoyed our stay and will be coming back in the future."
205,Everything
206,The restaurants were great with good service and delicious foods.   The art and decor in the hotel is stunning.  Look up and see beautiful renaissance reliefs and paintings on the ceilings.  The stripview from our room was of the pools and we could watch the volcano erupt across the street at the Mirage.  Cool sight from above.
207,"Rooms were beautiful,clean and the staff was very nice and helpfull. We really did not like the maze and distance we had to navigate to reach our room."
208,"Really awesome hotel!!!! Will def stay here next time we come to Las Vegas. Rooms are so nice and roomy, cozy. We were glad we upgraded to strip view room. We loved sitting by the windows at night."
209,The room was outstanding it is like having a studio flat! The hotel and the Venetian theme amazing! Would stay again!!! The grand canal shopping really great!!
210,"Great location, everything was amazing and impressive."
211,I liked room and cleanness.
212,The room was nice and big. The bed was very comfortable. The resort is huge and can be confusing at times. Plenty of places to eat from less expensive to high dollar restaurant's. Definitely want to go back again sometime when it's warmer. Staff was very helpful and friendly. They make the hotel more enjoyable. Thank you!
213,"The Venetian is THE hotel I always promised myself I would stay at if I visited Vegas - it did not disappoint!We were given a room on the 25th floor by our very courteous and professional receptionist which turned out to have a partial Strip view. The suite was amazing - spacious, clean and very comfortable. The bed was HUGE and was the most comfortable one I have ever slept in in any hotel in the world!We loved the free valet parking where we were always treated in a polite and friendly manner.I was impressed with the cleanliness and upkeep of the rooms and all the public areas outside the casino - something I couldn't say about some of the other hotels we visited during our stay. It seems they take great pride in maintaining things to a very high standard - we even saw decorators in touching up some of the rooms.Overall The Venetian exceeded my expectations - I would not hesitate to recommend it."
214,"everything is fantastic ,location ,veiw, cleanliness, staff ,interior and exterior of the hotel"
215,"Great hotel in Vegas, super nice!"
216,"Room was amazing, as was the gym. Pool looked great, but it was too cold out to go in."
217,"I traveled with a work lap top and was nervous about checking it in.  For a small amount more, they found a room available immediately and with a strip view. It was so worth it!"
218,Conveniently located for my workGood size room
219,"This building is gorgeous! Every hallway, elevator, every bathroom, the pools, the gym were all immaculate! As soon as I checked in the staff offered a wide variety activities and specials in the hotel and on the strip. The room was nice a cozy and extremely spacious bathroom. For the ladies and the lades that like to do their make-up before a night out, the bathroom had a great vanity space with mirrors and great lighting. One last thing, Uber knew exactly were to pick us up and drop us off every time, very convenient pick-up/drop off locations. I can definitely see my family and friends staying here again."
220,The nicest hotel room and bathroom I've ever stayed in.  Whole resort was wonderful.
221,"The hotel was amazing.The best thing was the hotel has its own shopping mall, and lots of places to eat, so once you enter the hotel you don't need to leave."
222,The room was stunning!! We were upgraded to a room with a view of the strip which was wonderful.
223,"Suite was spacious, concierges were very nice and knowledgeable"
224,"Hotel was luxurious and comfortable. The room was very quiet and well appointed. We enjoyed the restaurants, shopping, and casino. Hotel's location is superb amidst the glitzy part of the Las Vegas strip."
225,"The stay at The Venetian was amazing. The hotel itself is super impressive. The staff are all very helpful and friendly and the rooms are incredible. The room itself had a living room, 2 TVs and the beds were incredibly comfortable. There is even a TV in the bathroom! The rooms are quiet as well despite the hotel being in the middle of Las Vegas Blvd.The hotel is amazing and huge - you can easily get lost in the casino or on the second level shops! But that just means there is a lot to do and see. Overall it's one of the coolest places I've ever stayed in Vegas. Highly recommended."
226,The hotel is stunning. They have thought of every single detail. The staff are all so friendly and helpful everywhere
227,Location
228,"Great room with a view, awesome bed and spa accessable."
229,"Great welcome, helpful staff, great suite..would have loved to stay longer..Great bars and food"
230,The Venetian is the most beautiful hotel out of all the hotels on the strip.
231,Beautiful large suites. Lots of shopping and great high end restaurants on site. In the heart of the strip. Can't beat it.
232,excellent staff 
233, especially the housekeeping staff
234,The location is good. The suite room was pretty spacious.
235,The standard room was beyond my expectations! I normally get claustrophobic in Vegas rooms but I was so comfortable and had no worries. The bathroom was huge and made me feel like a queen :)
236,The amount of space in the suites was wonderful and the bathroom was a delight. There was so much to see and do inside the complex comprising the two hotels with shops that we had everything we needed so we ended up never leaving the complex.
237,"The rooms are fabulous set on 2 levels. Large luxurious bathroom, super comfortable bed and a spacious lounge area set 3 steps down from the sleeping area. Televisions in all rooms including the bathroom and a telephone in the toilet!The hotel is vast with something new to see at the turn of every corner. The Grand Canale shopping area is spectacular and, having been to Venice, this re-creation is just right. The only thing missing is the smell!The hotel staff generally were very friendly and helpful exactly as you would expect."
238,The restaurants were ok!
239,Location is great
240,"I had ""a situation"" during the night and needed  one room around 3:00am, but had money only for one night due to some circumstances. Hotel offered me super early checkin for small price for view upgrade. Due to fact Venetian was fully booked, they moved me to Palazzo wchich was great."
241,"Extraordinary rooms, a luxurious bed, beautiful shower , simpley amazing place"
242,Almost everything
243,Architecture
