,neg_review
44,"The toilet paper was horrendous. I have had better TP at the local park. Also, there is no coffee maker in the room.I got charged $95 because I picked something up from the dresser. Apparently there are weight sensors on the tray and you get charged anytime you pick an item up (regardless of whether you actually used it). I had to call the front desk to have the charge removed. I was woke up in the middle of the night by someone's toilet flushing in the next room and by loud, crude guests in the hallway. I was uneasy about how clearly I could hear their basic conversations as I tried to fall back asleep.I paid an extra $45 for a ""Strip view"" which consisted of a bunch of roofs and less than half a block of the strip where nothing was actually happening.This hotel is all looks and no real substance. It was absolutely not worth the money. Next time I will stay at the Bellagio."
45,"Parking lot no surveillance cameras, because my car was hit in the parking lot and the incitee escaped，let me feel bad😡"
46,"1. The breakfast was really disappointing (for extra 47 GBP for two nights to get three tiny pastries in the paper box and a paper cup of tea/coffee which you have to pick up from the bakery as takeaway without even possibility to sit and eat properly for such high class hotel as The Venetian was very very very disappointing - never book breakfast included in your room rate there).2. The thing that mini bar and some snacks & drinks at the table are electronically controlled makes check out easier, but the matter that you are charged even if you took it to check and then placed back is a bit anoying.3. No complimentary water in the room, even branded with the hotel name 0,5l water bottle is charged.4. There weren't slippers in the room, which is kind of ok for lower rated hotels, but for The Venetian!..."
47,No room in refrigerator for personal use..would have loved coffee facilities in room.
48,The maids woke me up twice at 11am and 11:30am when I had 6pm late checkout.
49,"When I booked the suite ( which was very expensive) i was expecting a view , which didn´t had , when I booked it on booking, the photos showed there was a view, I felt a lil scammed by this."
50,The smoke.  The bedrooms also had a smoke smell.  If it is the “filtered” air then they need to figure a different way to recycle the air.  Will not be able to return because of the smoke.
51,Left turn traffic light outside self parking drive way is tooo slow. Every time need to wait for a long time especially heavy traffic.
52,"No space in there mini fridge for personal use .  You move the item in the mini bar, you .No coffee pot or tea for early or late night drink, you have to order and PAY.I wanted to borrow 2 small plates and fork,  I was told I'll be charged for this service. ( they forgot, the charged $39 resort fee per night) and. Since they busy, I have to wait for one hour.We were in the non- smoking area rooms but at night, we can smell the cigarettes smoke."
53,It is a very big hotel and confusing to get around.
54,"For breakfast we got some food in a box to take it with us, we hoped we could sit down in a restaurant for the money we payed."
55,The service received from the bellman & valet when leaving the property were horrible.
56,allowing pets .
57,Breakfast! Well below my expectations for a five star hotel. A bag of danishes to take away to your room or to find a place to eat. Parking was a nightmare. Hard to find a spot on your own and 15 minutes to an hour wait to get your car from valet.
58,We saw last guest left their shopping bags and trash inside the closet...so we called the house keeping. They shows up quickly and clean up immediately.
59,"The breakfast included is a joke, you don’t have any choice for what to choose and it is totally not worth it. Don’t choose the room with breakfast included."
60,The room was non smoking. We reported a horrible cigarette smoke smell in the toilet room and the hotel brought an air filter. It did not work. Still smelled badly.
61,One bad thing is the speech of wifi. It is too slow to watch videos.
62,We had wanted to spend some time at the spa but it seems to book up quick for couples retreats.
63,Really wish Las Vegas would enforce a smoking ban inside the casinos.
64,"As a suite, the living room side is not very useful as it is completely open to the bedroom.  Just a very large hotel room and not really a suite where one can go and not disturb another.  The furniture in the living room are was not very comfortable.  I also can't believe the sensor mini bars still exist and was disappointed to see this hotel had this type of system.  You can not look at anything or read ingredients to see if you want it as if you move it you bought it.  Very cheap toilet paper, stiff robe, cheap toiletries and useless hair dryer for the price you pay for this hotel.  In Vegas you can get good accommodations for much more reasonable price.  Expected a little more for the cost of this hotel but was pretty standard to an average hotel.  In the Canal shops you are harassed constantly by people trying to sell you show tickets or drag you into their cosmetics shops and put their crap on you.  Was very annoying and hated whenever we had to walk through the canal shops to the room and could not just leisurely walk around and shop without aggressive sales people constantly coming after you."
65,"A little desappointed by some services, that are usually free in a hotel of this class. No free bottle of water (even small!!) has been offered in the room, what is definitely not normal!!"
66,Would be greater if more direction guidance could be given because it’s a little bit confusing between the Casino and the main entrance.
67,I drove with the Tesla to The Venetian and I asked for it to be charged and it didn’t happend . The valet told me he can charg it for me but he didn’t do it .
68,"The Check-in staff were not nice, originally gave us the wrong room, gave us the wrong directions to our room. When we went back to straighten it out, they did nothing to compensate us for all our lost time, frustration and hassle."
69,- 1 ply toilet paper-  view of the car park- staff wasn't friendly at Check in or Check out - mini bar was so packed that we couldn't fridge our own waters
70," if we had removed the bottles in the fridge we would've been charged (electronic minibar)- expected more luxury as advertised online - all the pools were shut even though it was 30C- no complimentary coffee/tea with kettle as usual in most hotel rooms- 7$ delivery fee, min. order and resort fee on top of room service-150$ resort fee that was supposed to be included ended up not working at one of the advertised restaurants"
71,It says rate includes BREAKFAST which is actually a con. What it should say is - small take away bag of pastries and coffee. A proper cooked breakfast will cost you a minimum of another $50. This is very poor and people should be warned !!!!!!!!!!!!!!!
72,Good and beverages are very expensive.
73,"Long way form the parking lot to the lobby, and back to the room."
74,No buffet breakfastComplimentary water in the room would really help. Also electric kettle as our kids were not well and wanted hot water to drink.
75,Because we arrived at 12 and check in not til 3pm they charged an extra $45 PER NIGHT for the early check in. Thought it was an upgrade but room was exactly the same as other suits.
76,Booked a high room with a king sized bed. Got a middle floor with 2 queen sized beds as all available king sized rooms were on smoking floors.
77,Absolutely nothing
78,I was not told that during check-in I need to deposit $100 cash. Also I don't know why they don't use my card details on booking.com. So I had to pay $479 during check-in.
79,Window view. I was told it was strip view.. it was not ! I hated seeing TRUMP HOTEL!
80,"i asked front desk for kettle,a staff said she would send someone bring it to my room. I'd been waiting for whole day,they still didn't come！！and next day i asked another staff about that, they said they didn't have the record of my order!! what's wrong with your staff!! If the staff doesn't want to help me, she can send another staff to help me.DO NOT LIED TO YOUR CUSTOMER！！"
81,Nothing
82,"No big complaints. It's a large building so a little confusing sometimes on which way to go, but there are signs everywhere to help guide you."
83,1. There is no tea or coffee making facilities forcing you to get dressed and go buy it which is very poor for five star one would expect an espresso machine in the room for the price2. The mini bar did not allow you to move items to store your own3. The actual bath was quite small but two people can squeeze into it4. The buildings are too tall which creates shaded pools and difficulty to sit in the sunshine
84,Very long corridors and the view rooms don't have much of a view. Spend your money somewhere else. This place acts like they do you a favor by letting you stay there. Look at the bottom sections of the doors as you trek one of those long hallways.
85,The lower flours smelt like sewer so our first room on the 8th floor stank and we had to move at 2am to another room on the 24th floor.
86,"The 1st suite I walked into the room and it was filthy and I walked into coffee and pashio shells all over the place so we had to move to a different room, then we got food poisoning the next morning from the in house cook from the sausage.I missed half of the Michael Jackson One Show because of my diahrea and going to the bathroom so much and they wouldn't even compensate us for the show. Just $150 towards the room and took the whole weekend off. But it was my boyfriends 50th birthday and I called ahead to set up 50 black and silver balloons and then 1 50 marlar balloon. They couldn't even get that right never signed my name to the card nor did he get the 50 marlar balloon. I was crying by then and so was he the whole weekend was ruined. We were treated like King and Queen at the Mandalay Bay and will go there next time. The only person that saved the weekend was Monique and Johnathan."
87,"The room was dirty ( we had hairs in our shower and there was dust everywhere) The staff was not welcoming and not helpful and we had to wait long periods of time : it took us almost 2 hours to check in, we waited half an hour on the phone before we reached the front desk...Not what you expect from a 5 star hotel..."
88,Check in receptionist offered upgrade which was completely unnecessary for a couple. Problem quickly rectified to our satisfaction through central bookings in hotel.
89,The air-conditioning was bad in another word the room was not cool enough at night.And i got to mention the cleanness of the room was not good we checked in with an empty bottle on the floor adding the housekeeping afterward was not as a 5 star hotel would be.
90,"I didn’t like that Booking.com charged $30 more than the actual Resort. Do not book with Booking.com without going to the Resorts website first. Had I booked with the Resort, not only would I have saved $30, but there was also a $150 Resort credit I missed out on for not booking directly."
91,"the walk to 2 sets of elevators was poor, No coffee or water in the room for $39 resort rate n my $200 / night. the pool was stupid no sun small , the food was very expensive i mostly had to eat at wintergreens. sportsbook football odds were too high."
92,Swimming pool is average. Pricing is steep especially after adding resort fees and taxes. Refundable deposit of  about usd 50 per day.
93,"Bathroom light fixtures although beautiful were bright enough, nor were there enough of them.   On closer inspection there could be a more thorough cleaning.  The  curtains surrounding the back  around the bed had layers of dust in between the folds.  As well there was dust on the top of the headboard.  Also a little bit of mold in the stand up shower."
94,There really wasn’t much to choose from to eat after a certain time inside the hotel.
95,The view overlooked the back of the hotel which looked as though it was the top of the garage
96, the phones did not work until maintenance was informed
97, found an empty water bottle on check in
98,"Charged 50 USD extra per day for a view, got a narrow stripe of nothing in particular = robbery at broad daylight! Hotel layout a nightmare, only bright side of constantly getting lost is getting lots of exercise!"
99,A knock on the door for a room check at 8.30 amIf a long night before it’s too early to be woken up.
100,"The WiFi was very poor, speed was ridiculously slow considering it is 2017! A smartphone with a LTE connection would be faster. You could upgrade to 5Mbps!! This is still woefully slow!"
101,"Slow housekeeping. My son got sick from eating bad pizza from the food court and threw up the whole night. Had to call housekeeping a few times to get somebody to clean the room. Even then, housekeepers did a haphazard job at cleaning the puke, changing sheets. We fell asleep waiting, and they knocked past midnight to bring in extra linens we had requested a while back! The following day, they didn’t come until the Afernoon to take care of our puke-ridden room. So overnight we slept in puky sheets and dealt with puky smell. Well onto the next day."
102,"Casino very smoky. Not used to this in Europe any more. Don't even lift anything off the mini bar, you may be charged."
103,"Breakfast was TERRIBLE! What a ripoff to pay extra through your booking site, Booking.com, for pastries and fruit. That was enough to make me book directly through hotels in the future instead of your site. The hotel staff told me they have had several complaints about your “Grab and Go” breakfast. We didn’t even pick them up but we were charged for them, and the hotel can’t reverse the charges or change the order. There is no way to address the problem with Booking.com."
104,I did not like that the lack of a coffee maker in the room....having to go downstairs to buy coffee or pay about $30 for a pot to be brought up.  The fridge had no room for our food because it was sensor pricing all the space with hotel priced beverages.
105,"Too much rush at the Check-in counters but the staff were very efficient. Huge hotel, so lots of walking from the main entrance to the room(s) via two lifts."
106,"When you advertise ""including Breakfast"" it is NOT acceptable to get a voucher for a pick up breakfast (2 cups of coffee, 3 pieces of pastry) for 2 persons when we have booked for 4. This is a lousy excuse for a breakfast! Very Poor service and information from Booking.com"
107,"Breakfast was part of the room rate. Was disappointed to know, the included breakfast was a take away breakfast box with some pastries and few pieces of fruits. There was no kettle or tea bags or coffee in the room."
108,"My sister got bed bug bites on her neck and shoulder. She contacted the hotel on Oct 10 and has not heard from them at all regarding this. Also, we arrived to our room  one night at midnight and our room was not serviced. We had to call for towels. The beds were not made. I will report this to the vagas health dept."
109,"Not much, but never got breakfast. Really annoying and sneaky 'Resort fee' of U$40+ per day was added to bill on checkout. It's a really cheap trick that does the hotel no credit. But for the hotel it does the job of making the room rate look more affordable. Supposedly pays for extras like Wifi etc, although these are advertised as 'Free'. Not sure if this 'fee' would be considered legal anywhere but Vegas. Unwary travellers on a tight budget be aware you are going to be hit with this additional bill as well as local taxes. One of the top hotels in Vegas - at a price that's acceptable but unfortunately one that's not always up front."
110,"Poor value for money. We booked a brakefast included offer, and what we got was a 15 min line every morning, just to get a box with 2 old pastries. All pool areas are smoking areas so if you dont like lungs cancer you should only be in your room, and the wifi works only in the room. We regret coming here. after visiting many 5 stars hotels all over the world, this one was extremely disappointing"
111,"We asked for quiet room, as we have 2 years old baby and we got connected room and in that other room were very noisy guests. There was also food smell from the restsurant through A/C.. After 1. night they changed us the room, but we got one near the elevators, which were also noisy throught these paper walls..But the worst was breakfast. When we were booking our stay, there was written , we will have continental breakfast.. After booking we reciebed confirmation email, where was writyen, that breakfast will be Grab and go! The quality of such breakfast is very poor../3small pasteries and bit of fruit..you waiting in lane to get sime boxes and you have to leave no seating at all). After complaining they deducted a tax resort fee from the bill and we have to find breakfast on out own. You just dont expect this from 5* hotel eventually the receptionist said its only 4*."
112,There is nothing negative I can say about the Venetian
113,"There were no tea/coffee making facilities in the room. First night they tried to charge us for lots of contents from mini bar, which we didn't even open. But they deducted this off our bill when we highlighted it."
114,"My room rate is over $300 per night with tax and resort fee. First night late check in around 10pm and they dont have the room type that I booked for. Second night went back to hotel after whole day trip, found that the room wasn't clean up at all. I called and asked for house keeping ASAP then still wait for more than an hour still have no one come. I eventually went down and request a room change! I live in LA and went to vegas quite often, but I don't think I will stay in venitien anymore."
115,"The check in was slow even at 11pm, no special congratulations for our 10 wedding anniversary, even told the checking staff directly, we got engaged at the Venetian 11 years ago, so coming back was special, will not be returning."
116,"Nothing spectacular but an electric plug next to the bedroom would be nice to charge cell phone. Otherwise, the best hotel on the Strip I've ever seen so far."
117,"We were very surprised that the janitors do not wash floors and vacuum the floors!  I had to crawl under the bed to pick up a dropped item, where I found some items of the previous tenants and some much dust..."
118,"Staff very unhelpful and rude, breakfast £250 and not actually included just take away coffee and danish that cannot be eaten inside the hotel!!!!"
119,"I didn't enjoy the room to the fullest, I was out all the time"
120,"Under a medical emergency it took to long for someone to get there on the casino floor. A guest was unresponsive, it appeared lack of on site first responders,  AED not provided. Employed apeEd confused and none assisting  Within first hour, Power in room went out &  toilet broke ( repair response was fast)"
121,"The room was advertised as offering free breakfast with the stay. The ""breakfast"" consisted of a cardboard box containing three small pure sugar pastries and a tiny pot of fresh fruit. You were also given a cup of weak filter coffee. The real joy was that you were not even given anywhere to sit and consider how pitiful it was - the restaurant handling the promo where you picked it up reserving it's empty seats for more important guests. On a room costing 650 usd after taxes this was disgraceful. The staff at the Venetian politely explained that they received regular complaints about this promo - and occasionally they considered passing the complaints on, but basically it wasn't their problem. As a paying customer who booked through an agent they weren't interested in whether you enjoyed your stay. And they were not receptive to my suggestion of explaining to guests that the breakfast deal would be disappointing - And that the guest should make alternative plans. They were extremely courteous- but really couldn't have cared less."
122,The breakfast provided was almost all carbs and as I don't eat them was useless. Only ate small carton of fruit. I asked if they could offer an alternative but they said it was arranged between booking.com and the cafe so NO.
123,"Upon entering the room we were greeted with a floor that had recently (same day) been washed. Although I appreciate they wash it, the carpet to the room we were given was still completely wet and the furniture was on the beds, their was a large noisy fan with a long extension cord connected to try and dry it. When we reported this they offered to come take fan out, which wouldn't of helped, the fan was needed to try and dry the carpet, but they did not offer or even allow us to switch rooms. We had to stay in a room with a wet carpet, unbelievable. Also, they gave us a room credit when we booked (this wasn't given to us because of the wet carpet, it was a booking promo offer), then at check out they were not honoring it. It became a big hassle (almost an hour to check out, straightening the issue). Fortunately that part was resolved. But over all our hotel was not what we had expected for the quality of hotel we thought we were getting. Very disappointed with staff and their unwillingness to be more helpful or accommodating."
124,No coffee/ tea making facilities in the room. Fridge full of minibar so can't be used for your own drinks.
125,"The problem was not with the property, but with Booking.com. The ""included breakfast"" is a joke. It is not through the hotel, but a 3rd party vendor. It is NOT room service, but a lunch counter where you can ""grab and go."" NOT worth the extra money. Annoyed that booking.com was misleading. Could have gotten the same rate on the hotel website with room service options. Live and learn."
126,nothing
127,"the breakfast -
i ordered and paid for a room with ""breakfast included"". when i asked about the the breakfast i got vague answers and only after morning arrived i understood why. 
i was a expecting the usual breakfast buffet or at an omlette but instead
people that have breakfast included wait in a very unclear, unorganized  seperate line at the grand lux cafe to find out they get a very cheap cheap ""to go"" bag with 2-3 pastries and some coffee. not even a place a place to sit just ""take your pitty breakfast bag and get out of here"".
if you want the morning buffet its 20$ per person (excl tax) .
even the person they put in charge of providing these pastry bag fwlt uncomfortable and kept saying sorry to all the shocked hotel visitors that had the breakfast voucher.
it is a very unexpected humilating, even insulting, joke from such a high end hotel.
so If you decide to go with the venitian, order a suite Without breakfast included and get it somewhere else"
128,Everything is charged. Even a kettle has delivery charge to be sent to your room. And we were welcomed with hair in the bathroom.
129,Customer service at the front desk I booked this trip for a birthday and anniversary At the beginning in the check in we didn't got the room I ordered Asked for a non smoking high flor with view And got a smoking whit no view and not in high level We where tired and went to the roomIt was almost 12:00 at night We couldn't fall a sleep it smelled very bed Even the bed sheets where sticky from cigarettes I don't think they where replaced!!!In a  while  We went the next morning to the desk to ask for a different room he took them the whole day to give us a room then eventually turn out not so good well yes they gave us non-smoking high-level but the bathroom was dirty and full lWith  hairs  Again the next morning we went to the desk and they replaced the room to non-smoking but low level  Until we reach the room the key wasn't working we waited 25 minutes for nobody to show so we went back to the desk to get a key I want to ask a question is this a joke or whatThey only compensated us by canceling the  resort fees and gave us another hundred dollar to use At the hotel I think that it's a disgrace and we should not be charged at all hope that someone will hear about it it was my wife's 40 years old birthday very disappointing
130,"huge hotel , takes time to get use to itevery thing cost money..parking , coffee etcno coffee machine in the roomour room door was broken and took a while to fix it and in the mean time our children were stuck outside for a while  , we didn't get any apologize from the hotel"
131,Nothing really. The two minor problems were sorted. The mini bar is hugely expensive rendering it pointless. If you want breakfast in bed then sell your house...
132,"No tea / coffee in room.The complex can bery disorientating due to its size and confusing layout. There are over 4,000 rooms on this hotel."
133,"We hadn't appreciated how pricey everything was going to be! The room was lovely, but didn't have the 'wow' factor that we thought we were going to have given the price we paid. Every ATM wants to charge $8 for withdrawals (which we were relying on given our prepaid card) and we soon found that everywhere was pretty pricey for food, drinks etc."
134,"It took hours to receive our luggage. The sofffa bed had dirty sheets. They tried to compensate us, but when you come for one night it really ruined the experience. The person that finally brought our luggage was very helpful."
135,Our upgrade to a strip view room was only a part view. Spa was way too overpriced.
136,"No drink making facilities in the suite and no complimentary water, which for the price was poor we thought."
137,Needed more umbrellas on the 3rd floor pool area.
138,Majority of the Casino staff.Unwillingness to be polite to younger guests.
139,"room keys never worked on the first time (I had 3), could be stood a few minutes outside my room, keep trying the key."
140,It's impossible to reach someone from the front desk via phone. I was waiting on line for more than 30 min and hung up.
141,We didn't realise smoking was allowed inside in the gambling areas.  No matter how good the AC is it still drifts into non smoking areas.
142,"Expensive for food and water in hotel, lots of extra fees, constant people shouting at you about timeshares - shouldn't be in a hotel it made it very frustrating(screaming down a hallway at you)"
143,Nothing
144,As always never enough sunbeds by the pool.
145,"The hotel is just a massive money making machine, no kettle or coffee making facilities in the room, no usable fridge in the room but a fridge could be hired for 25 dollers a day and tea or coffee could be ordered up to the room for a cost plus 7 dollers delivery charge!Upon arrival the first thing we was asked was would we like to upgrade the room at an extra cost, which when you have paid a lot of money already for your room puts a downer on things before you have even seen the room."
146,very expensive rate (daily average  500$) without BF.paid for resort fee (30$ daily - most of Vegas hotels have resort fee)valet parking long Que - 15 to 20 minutes to get your car.
147,"For the price I expected more. There was nothing included in the hotel price, not even a comp for the casino. And the decor was clearly a few decades old. The hotel is enormous and got quite loud at night, and we got lost several times."
148,No coffee or tea facilities in the room.
149,"Only one downfall.  This cannot be a statement just for the Venetian, but coming from a smoke free country, it is a let down to see that smoking is allowed throughout the whole hotel."
150,Not very friendly!  Not the cleanest hotel !  Way overrated !  And if you like  breathing smoke no matter where you're at that's the place to go !  Sure don't feel very safe even in your own hotel !
151,"The bar and refrigerator are on a weight system. DO NOT TAKE ANYTHING OFF OF YOU WILL BE CHARGED. Unless you want to pay $10 for a handful of Mixed Nuts. If you want a larger ice bucket for your room, they charge you for a larger ice bucket."
152,"Bed was used/messed up when we arrived, that really spoiled the ""wow""-effect, I had hoped for, when upgrading to a room at 36th floor with a strip-view.Also the pool area was closed because it rained => very disappointed kids.Everything is extremely expensive, at the resort (e.g. 11$ for a cup of coffee from the local cafe)"
153,"On 3/4/27, We called security office when our car battery died. Security on phone said they're battery charger was not working and couldn't assist us. My husband was calling roadside assistance, when 2 bike security men rode up on and offered us assistance.  One security went to get a battery charger and helped us boost our car battery. These two security guards riding their bikes came to our aid while the security on the phone didn't do anything to help us."
154,No coffee pot in room????? what's up with that?called room service in morning for coffee and 45 minute wait..had to get dressed and go down to coffee bean.will def bring my own coffee pot next visit.this is the first hotel i'v stayed at with the coffee issue.very disappointed
155,Coffee making machine in the room would be perfect
156,"Expensive, even charged for a bottle of water in the room. Stayed at the MGM and Bellagio, neither charge for water. Wouldn't stay at the Venetian again!"
