,pos_review
84,"눇
The room was spacious, bed was comfortable.
Ivy, our point of contact via text message, was great and convenient. 
Everything we needed was right there in our hotel!"
85,Stayed in December 2017
86,"눇
Good bed. Good temp. Control"
87,"눇
Like the ficility"
88,"눇
We were upgraded to the Nobu Hotel inside Caesars Palace, the room was amazing and the staff treated us like royalty."
89,Stayed in November 2017
90,"눇
Large room and classy accommodations."
91,"눇
Great situation. The classic Vegas hotel"
92,"눇
Hotel is in a prime location. Omnia was fantastic."
93,"눇
Location"
94,Stayed in December 2017
95,"눇
Staff"
96,"눇
Shopping was outstanding.  Conveniences were great!!"
97,"눇
I loved that Caesers is close to the Linq Promanade, & close to everything else on the Strip.  The food at the food court is awesome, and we also dined at some of the restaurants on property which are all world class.  My favorite part about Caesers is the Montecristo Cigar Lounge.  My wife’s favorite was the Qua Spa. Great resort with 5 Star amenities and service."
98,Stayed in November 2017
99,"눇
The view from the Augustus Tower of the Bellagio fountains at night was beautiful. The beds are extremely comfortable and the spa bath made every evening very relaxing"
100,"눇
I own a business and when the first person that greats you and the last person that you see's you out is the most important. Your bell man and valet parking staff are personal social and handle there jobs with professionalism."
101,"눇
Text messages from a personal concierge.  Ease of check out."
102,"눇
Room clean and bed very comfortable."
103,"눇
The room was very spacious."
104,"눇
They charged me twice ! Once through you and again thru you! The room was not ready the maid did an awful job"
105,"눇
looks nice"
106,"눇
We could do everything we wanted without leaving the property.  Celine was magnificent."
107,"눇
Convenient for seeing Celine and doing some shopping, etc."
108,"눇
Lovely looking hotel 
Good location on strip"
109,"눇
Bed and bedding were excellent, very top quality."
110,"눇
We stayed in the agustas tower had a view of the fountains which was nice also had jacuzzi bath which was good"
111,Stayed in October 2017
112,"눇
Location. Cleanliness of the room."
113,"눇
I was a good location on the strip.
Good view of the room.
Meet only three nice stuff member."
114,"눇
Just brilliant - all the amenities you could want and delivered by an enthusiastic, extremely helpful staff."
115,"눇
Fitness center"
116,"눇
The Ceasars Palace is amazing. The room was clean and great. It's very comfortable to sleep. I enjoy the view on the strip."
117,"눇
Caesar’s Palace is an icon. Valet parking is easy (USD 20 per night) and quite fast for how huge the property is, our room was a great size with lovely furnishings, the pool area is beautiful. It’s in a perfectly central position on the strip. The enormous spa bath in our room was a great way to relax after a day of walking around."
118,"눇
Everything"
119,"눇
The pools were Amazing..
Fantastic upgrade to a suite for an extra $25 oh wow the suite was another level of luxury. The hotel is so big its like a little city within itself. I loved every second ive spent in this place and can not wait to go back!!"
120,"눇
Convenient location"
121,Stayed in October 2017
122,"눇
the bedding was very nice, the renovation on the Palace Tower was done beautifully with a lovely large bathroom and good sized room."
123,"눇
Everything! Ambience! Atmosphere! Facilities! Good Food!"
124,"눇
Perfect spot, great Casino, and friendly staff."
125,"눇
Large comfortable room with pool view."
126,"눇
Location is unbeatable, got complimentary upgrade to suite, many eating options"
127,"눇
Massive hotel with so many good restaurants & pools. Excellent location on the strip, would recommend to anybody."
128,"눇
Cleanliness, pool, staff restaurants"
129,"눇
After staying at the Cosmo for many years and not being happy with their service we wanted to explore a few new hotels. After a great visit at the Bellagio a few months prior we wanted a similar experience but with a younger feeling pool and we found it with Ceasars. Like the Cosmo there are a number of impressive venues and restaurants inside. We loved the room in the new tower which was very quiet with a great view of the pool. We absolutely loved the pool which included a great swim up Black jack table. Only complaint is the bed which was very soft and hurt my back. The bathrooms were gorgeous and we loved the restaurants and had only one bad experience at the champagne bar Fizz which is a rip off and not impressive. I would recommend the hotel if you have a strong back. I am hoping that one of the other towers may have better beds. Most impressive is the easy check in and check out process with machines and Staff that are ready to help the minute you walk in. Great location as well!"
130,"눇
Bed was comfortable"
131,Stayed in October 2017
132,"눇
Easy to get to from the airport, and central to all the attractions on the strip"
133,"눇
The pool was nice and the Omnia club is amazing."
134,"눇
Our room was amazing - we had a Palace king room with an unexpected Jacuzzi bath. The bed was huge and comfy and the the shower and bath facilities were second to none (with two sinks).  We had checked in early but our room wasn't ready but the staff quickly arranged a new and better room for us."
135,"눇
Room was very nice, big and clean. Pools are amazing!! Location is great!"
136,Stayed in October 2017
137,"눇
ON ARRIVAL THEY SAID THAT THE ROOM THAT WE HAD BOOKED WAS NOT THE BEST AND STATED THAT FOR AN ADDITIONAL 30 DOLLARS PER NIGHT PER ROOM WE COULD UPGRADE TO A ROOM IN THE OCTAVIA TOWER - WHICH WAS VERY NICE BUT HAD NO COMPLIMENTARY TEA OR COFFEE - YOU HAD TO BUY IT 13.95 DOLLARS!!! NO COMPLIMENTARY BISCUITS EITHER AS IN OTHER HOTELS - HAD TO GO DOWN TO THE COFFEE SHOP IN THE MORNING AND STAND IN A LONG QUEUE."
138,"눇
Great location, staff, pool, rooms and the bed is super comfortable!"
139,"눇
Upgraded by Jerome (1st day on the job) as we were celebrating our 60th Wedding Anniversary. 
The room (3980) in the Augustas Tower was excellent and the view of the water fountain dis[lay 
outside the Bellagio could not have ben better."
140,"눇
Awesome facility with numerous famous dining, shopping & entertainment options. You could virtually stay on facility for a week without having any reason to step out. Location and room size was great."
141,"눇
Bed was comfortable. Spa is nice."
142,"눇
Love the Caesars Pools! Also love the selection of restaurants. Cleaner than much of Vegas. Highly recommend Octavius tower. Huge room and wonderful bathtub"
143,"눇
The Room was large and all was good although hotel charged for everything.  Many hotels offer free water and free hot water and coffee etc but nothing with Ceasers.  I think they would have billed me for charging my phone if they could work out how to do it."
144,"눇
I really like the room very clean ... housekeeping girls amazing."
145,"눇
We rented a cabana the first day.  This was the right move.  Great privacy, fruit platter and other amenities.   The pools are spectacular.   We also ate at Bobby Flays restaurant.  It was truly delicious!"
146,"눇
Their cocktail lounge just off from the registration desk is quite good.  We had a very personable and attentive waitress, who took very good care of our beverage needs.  The bartender himself poured a very good Bloody Mary!"
147,"눇
No breakfast was supplied. Room was great, bed was good and bathroom was very good. Swimming pool was fantastic. Location was good."
148,"눇
Everything was excellent!"
149,"눇
A great hotel with lots to do and see. The pool area is great for relaxing. The location is perfect. Its a huge hotel so takes time to get used to. The bathroom in our room was amazing."
150,"눇
Bathroom, pools and view was absolutely gorgeous."
151,"눇
The room was great, the bed  was cozy.  The only complaint is that one of the bathrooms smelled as if a sewer vent pipe was in the room."
152,"눇
Very comfortable bed.  All the staff was very helpful.  There are lots of automatic check-in machine which are convenient and no need to wait in line."
153,"눇
The location and the shows"
154,"눇
Very comfortable beds with pillowtop mattresses.
Extensive buffet, the best we've seen, really.
Automated check-in and check-out, quick and easy. 
Beautiful pools. 
Perfect location, right next to Bellagio and the dancing fountains."
155,"눇
We choose to stay at Caesars because we planned go to Rod Stewart concert at Colosseum. I bought our your tickets at box office and learned that if you charge you room, you are waved the ticket fees.
We received a complimentary upgrade from Forum Tower to Palace Tower."
156,"눇
The rooms, the pool and location were great."
157,"눇
Bed was very comfortable. Hotel very nice.  Clean. Central location. Was nice."
158,"눇
The room was very nice and comfortable.  The hotels architecture is beautiful.  The breakfast buffet was amazing."
159,"눇
Bell stole champagne and shorts expensive ones in a bag 
Hotel took no responsibility or even emailed back after alerted at what had happened"
160,"눇
Locations"
161,"눇
luxury property , wouldn't stop there again everything is extra personally thought the pool area was poor charging for sun loungers at the side of the pool  , coffee machine in room with no coffee ,don't even pick any drink out of the mini bar and put back you will get charged , personally felt they were trying to squeeze every last dollar from me , stop in 3stars in vegas before a few times never an issue , we had a twenty dollar breakfast voucher every morning 2 coffees and its gone , apart from all this rooms beautifull"
162,"눇
Having the ability to check out after one day even though we had booked 5!!"
163,"눇
Our room was in the OCTAVIUS TOWER, the view was spectacular, it was overlooking the pool.
Very nice."
164,"눇
Room was great, nice size and lovely bathroom. Bed was comfy and room service was excellent. Great location and would definetly stay again."
165,"눇
Room was large and lovely with very comfy beds. 
The hotel was huge and in a great place on the strip."
166,"눇
Stayed at the Nobu Hotel & the Room was nice."
167,"눇
The in hotel food was a little pricey,but hey we were in Vagas what do you expect. We had a fabulous time. Our daughter got married ,it was wonderful, and it was all arranged from the UK. Your wedding planner was excellent and the guy who married the girls was in a league of his own!"
168,"눇
The pool is amazing. Really comfortable big bed."
169,"눇
Security and staff were really good when we had some of our stuff stolen on the strip
Amazing pool 
Great location"
170,"눇
The size of the bedroom, the overview, the size of the bathroom"
171,"눇
Location. We upgraded and the room was excellent.. The pool area was lovely."
172,"눇
Fancy"
173,"눇
The pool was good, however the Casino is full of sleazy old men."
174,Stayed in September 2017
175,"눇
The upgrade from Caesars Palace into the Nobu Hotel AND how helpful the concierge staff were with printing out a map for me on driving from Vegas to the Grand Canyon. Very helpful."
176,"눇
it was easy to get in and out of the area"
177,"눇
Facilities, pool, location."
178,"눇
We liked the room. Although it was one of the least expensive rooms in the older Forum Tower it was very impressive. Large and well furnished. The air conditioning worked well and the bed was comfortable."
179,"눇
This place is huge! I really like the swimming pools, the shopping area and the choice of restaurants. The room is OK, but for the same price, you would expect more.
Bed very comfortable and nice bathroom."
180,"눇
Located at the Las Vegas strip, the pool was nice although quite a long walk away from the pool"
181,"눇
We were gifted with an upgrade free of charge and suite was far over expectation that I had from the initial room booked. The pools are fantastic."
182,"눇
This iconic hotel is a great place to stay in Vegas. Being central on the Las Vegas Strip makes it a great base for exploring the highlights of the city. The hotel is extremely well maintained and the room we stopped in was exceptional. Food in the buffet restaurant is the best we tasted during our stay and the choice was vast. Also a great pool area when you need some relaxation time."
183,"눇
Awesome pool area. Good sized rooms. Great location."
184,"눇
The staff were pleasant and friendly. Overall the room was clean and comfortable. Great pools."
185,"눇
Like the buffet food. It was excellent and good selection."
186,Stayed in September 2017
187,"눇
Absolutely Palace Tower is the best location! Nice big premium king room, up high overlooking the pool. The pool is right there off the elevators. Caesars is right in the middle of everything. The Forum Mall & shops are amazing! Just can't beat the location & accommodations."
188,"눇
Amazing hotel and the rooms are spacious and modern. The gym is state of the art and the pool is beautiful!"
189,"눇
Really comfy bed and excellent staff. Efficient check in"
190,"눇
swimming pool area, express check in service ,kind staff, well trained croupiers in the casino"
191,"눇
We got an upgrade to our rooms so we ended up in a huge suite but the style of it was from around 10 years ago. The location is great and this is most likely the biggest advantage of Caesar's."
192,"눇
Pool area was fantastic"
193,"눇
Bed was soft, room large, great value I thought."
194,"눇
Loved the room.  the view, the bed, bathroom...everything was great.  We tried to checkin at the kiosk but were told are room wasn't ready.  It was 5:30, for gosh sakes.  Irene, from Kenya, appeared like magic and checked us in quickly.  She was gracious and kind.  A great first impression for our stay."
195,"눇
Spacious suite (although not as spacious as the suite at Venetian), lovely pools , bacchanal buffet pretty good quality ($54). Online check out handy. Beds comfy,"
196,"눇
The location"
197,"눇
The hotel public spaces are very nice."
198,"눇
We got upgraded upon check-in. Self-serve check-in and check out is a great idea. Great room, very spacious and luxurious. Our housekeeper Laura was brilliant and was always very helpful and courteous."
199,"눇
Obviously in the center of everything."
200,"눇
Great location in the heart of Vegas.  For me it is the heart of Vegas.
The rooms were excellent..very clean and spacious and a great view.  
We were in an Augustus tower suite.
The pool and Gym were close by."
201,"눇
I like the overall facility for this hotel.
The swimming pool is pretty big.
The staff who work there were very friendly."
202,"눇
The bathroom was very cozzy. The bathtub (with jacuzzi) was big enough for me, and I had the chance to watch a movie using my iPad. Such a good experience."
203,"눇
Great location"
204,"눇
The location is excellent. 
The check out was fantastic as it was done thru the room TV."
205,"눇
Fab location, hotel facilities were great. 
Hotel was very clean, our room was lovely the bed was ever so comfortable, lovely big bathroom."
206,"눇
The different eateries, the cleanliness of the property the staff was super nice and room and pool area was great"
207,"눇
Good size room, on top of shopping malls and casino"
208,"눇
I hate it"
209,"눇
Nothing to like about this service and hotel/service"
210,"눇
Caesars Palace again for my second visit to Vegas. Always great experience. Very good location. Had good time in Omnia Club."
211,"눇
Perfect location, mitic hotel, huge room with huge bathroom. I would repeat or go to Bellagio, as for the price are the best in quality"
212,"눇
I loved the fitness room at the hotel. It was excellent! I loved the place, the facilities inside the hotel (food), the mall and the energy of the entire place. If I come back to Las Vegas in the future I would stay at Ceasar´s Palace again."
213,"눇
The shower"
214,"눇
Location and size of room"
215,"눇
Concierge was the BEST!!!  She was too early to check in and the concierge took great care of her."
216,Stayed in August 2017
217,"눇
Good location, close to most things on the strip
Nightclub is fantastic"
218,"눇
The bed was super comfy. We had an issue with the air con and this was fixed straight away which was good by very friendly staff. Our location was great as we were right by the pool and the location strip wise makes it so easy to get around."
219,"눇
The pool was ok. A little loud with the DJ. The drinks from the bar were good."
220,"눇
Bed and pillows comfy"
221,"눇
Been there done it - got the T Shirt but never again - its not a family hotel by a long way!
Rooms were nice but certain things didnt work in the room and trying to get anything fixed - just never happened."
222,Stayed in August 2017
223,"눇
The room was excellent!  Large room with very comfortable beds and pillows.  The bathrooms were superb with neat showers and tub."
224,"눇
The hotel is beautifully designed (all new/renovated), very central, a lot of great dining options and friendly staff."
225,"눇
Pretty much nothing."
226,"눇
Room was spacious and comfortable...beds very comfy. Hotel is great but very busy."
227,"눇
We were upgraded to a huge luxury suite. That was a nice surprise. Easy checkout thru the tv. Amazing view from the top floor. Very cheap parking in the garage."
228,"눇
The brunch buffet was excellent! The swimming pools really nice - even one was with chilled water!"
229,"눇
Did the 20 dollar trick at check in and got a major upgrade - a suite with a hot tub! Ceasears is iconic! A great place to stay in a great location on the Las Vegas strip! Pool area was amazing too."
230,"눇
Location was good."
231,"눇
Buffet and pools are great."
232,"눇
Typical Casino Hotel. Lots of choice for restaurant, expensive but I would not expect anything less from Vegas. Amazing Casino as well as incredible shopping mall. All staff very friendly and attentive. Try and get a suite if you can, they're a very good size and the jacuzzi bath tub is a bonus. the four swimming pools very fabulous, lots of sun loungers and beds."
233,"눇
I really liked everything, from the casino to the shops and restaurants. Especially my room was perfect, spacious an just over all amazing."
234,"눇
Comfortable bed"
235,"눇
Grand rooms and comfortable beds"
236,"눇
Stayed in the honeymoon suite 34 years ago"
237,"눇
Bed good"
238,"눇
This hotel is just AMAZING!! We didn't want to leave! Perfect location on the strip.  All staff friendly and helpful.  Plenty of places to eat, always found a sunbed by the pool.  Just absolutely perfect!!!"
239,"눇
Size of the room was great for a family of 4. Location ideal. 4 pools so lots of choice. Overall clean."
240,"눇
Upgraded to Augustus Room with views of Strip and Bellagio fountains so really pleased. Large clean and comfy room and bathroom. Pools and facilities all great"
241,"눇
Clean and spacious, comfortable bed.
Really nice bathroom with television built into mirror, toilet separated from rest of bathroom by door.
Electronic control of curtains which completely black out the room even during the day.
Pools are amazing.
Gordon Ramsay restaurant excellent.
Great location on the strip."
242,"눇
The Hotel is enormous, with a huge range of facilities. You could comfortably spend a few days here and never leave it. We had an upgrade on an upgrade and ended up having a huge suite. The suite was stunning.  Location was fantastic right in the middle of  the strip, although it was so hot outside that it was quite unpleasant, to walk around."
243,"눇
Hotel location and rooms bathrooms. 
I like the front desk manager. She helped me a lot. Her name Kubra Muhammad."
244,"눇
View from room amazing ... room very spacious, bathroom amazing, beds comfortable"
245,"눇
Venus Garden, Restaurants, Amazing Pools, Interior, Casino, Paid breakfast"
246,"눇
The hotel is really a world in its own and it is truly impressive. It has everything you could need in it (all types of shops and restaurants, pool and multiple options for gambling. The location is one of the best in the strip, as it's in the middle of everything"
247,Stayed in July 2017
248,"눇
I enjoyed everything. From check in to check out. The maid was very nice and respectful. All staff were very professional and approachable. I definitly will stay again."
249,"눇
My booking with Booking .com was including Breakfast wihich  is very misleading in your part , I was given a $20 bonus per room to use in their selected restaurants 
$20 buys 2 coffees and one pastry at Caesars Palace , not happy ripped off by you guys"
250,"눇
Staff were friendly and helpful, food and drink at the pool was reasonable. Excellent location for visiting the other hotels on the strip. Complimentary $10 to use in the Casino."
251,"눇
Excellent decor, facilities were expansive and clean and comfortable. Great location on the strip. Great service from staff"
252,Stayed in July 2017
253,"눇
Great outdoor pools."
254,"눇
The comfort of the room was fabulous. Helpful checkin staff. Wonderful view of the pools from the palace tower. Relaxing atmosphere."
255,"눇
Couldn't fault Caesars. Great hotel, best location in Vegas. Pool facilities world class. Staff were attentive and polite. Casino staff brilliant and welcoming. Bed was comfortable and room very spacious."
256,"눇
Classic big Vegas hotel, central location on the strip. Wonderful staff. Upgraded to a room that had views of the bellagio fountains which was special."
257,"눇
Premium room, friendly attentive staff and excellent views of the pool.
I would highly recommend if you're looking for luxurious Las Vegas accommodations!"
258,"눇
I loved just about everything about this hotel, right in the heart of the strip"
259,Stayed in May 2017
260,"눇
Location in the heart of the strip. 
The pool
Casino"
261,"눇
I like the location, the team members, decor and cleanliness of the facility except for the men's restroom adjacent to the snack shop. The floors were soiled and the room smelled."
262,"눇
Accommodations"
263,"눇
The bed was very large and extremely comfy. We were upgraded to a junior suite which had a double shower and a jacuzzi bath which we loved! Hotel staff were very friendly and helpful and the valet car service was worth paying extra for, it just made the stay so much easier.
The pool area was also amazing!"
264,"눇
Amazing facilities and very helpful staff. It was in the perfect location."
265,"눇
I liked the fact that you can do everything you need in the casino and that if you want to go outside it is a great location."
266,"눇
The building itself is lovely,the design, landscape just beautiful, there was a lot to photograph."
267,"눇
Excellent and friendly service from the waiters at the pool area. Nice area!
We loved Mesa Grill restaurant and Beijing Noodle 9.
Guest rooms really comfortable and spacious."
268,Stayed in June 2017
269,"눇
The pool(s) !! Such a tremendous decadent experience lounging at Caesar's. Very luxurious and relaxing."
270,"눇
The room was great, the bed was so comfortable, I didn't want to get out of it.
Needless to say, the Carsar's is in absolute prime location on the strip.
Would definitely stay here again."
271,"눇
Fantastic, luxurious hotel! Room really spacious with a fabulous view of the strip and Bellagio fountains. Lovely pool."
272,"눇
Hassle free pool ,lifts were quick and you did not have to wait 
Plenty of facilities"
273,"눇
Shower was awesome and the rest was as expected for the price"
274,"눇
Good location. and lots to do in the building."
275,"눇
Amazing from the first time you enter the spectacular lobby. Lots of choices to eat and drink - the Bacchanal Buffet was incredible, not cheap but the food was an incredibly high standard, limitless king crab legs, Chinese, Mexican, American, Italian etc etc. The forum shops were lovely to walk around and included lots of dining options too - we had happy hour at the Trevi restaurant bar a few times, $4 frozen Bellinis between 4-6pm and the Cheesecake Factory was always busy. Free drinks whilst having a flutter on the roulette wheel was great. The hotel is also on a huge plot in the middle of the strip so easy access to everything else especially if you use the Deuce bus, $8 for a 24 hour ticket. You could stay here and not come out for a week though!"
276,"눇
Booked this hotel because the conference I was presenting at was there.  Room was clean. A/C worked well.  Bathroom was nice."
277,"눇
Love the hotel, restaurants, cocktails and especially Celine Dion all under one roof."
278,Stayed in May 2017
279,Stayed in May 2017
280,Stayed in May 2017
281,"눇
The bathroom was out of this world"
282,Stayed in May 2017
283,"눇
Can't fault anything, we had the most amazing stay at Ceasars Pallace"
284,"눇
The staff was very helpful"
285,"눇
Beds were very comfy! Room was spacious with modern decor. Loved the huge variety of restaurants inside of Caesars Palace! Designated Ride sharing area was very keen and made grabbing an Uber seamless."
286,Stayed in May 2017
287,"눇
Bed was like a cloud.  Staff was very accommodating.  Location was perfect."
288,"눇
The place is really cool but it is open to the public. So you can enjoy the property and stay somewhere else."
289,"눇
Brilliant location."
290,"눇
At first we given a room in the Palace Tower and it was fantastic.  Beautiful view of the pools.  The bathroom was awesome.  It had two bathrooms.  One side had a toilet and sink and the other had a bathtub, toilet sink and the shower connected the two bathrooms.  The shower had two shower heads so that my husband and I could shower at the same time.  There was a lovely sitting area with a couch and chair.  Very pretty room.  On our 2nd morning, we were woken by construction going on in the room above at 6:00 am.  They were working right above our bed.  It sounded like they were going to come right through the ceiling.  We contacted the Front Desk and they moved us to the Augustus Tower.  We were told that this Tower was completely renovated and the room would be an improvement from what we had.  The room did not have the wonderful bathroom that we had and the view was of the roof tops.  The only thing I liked about the room was that the bed was far more comfortable.  We saw the show Absinthe which is in a Tent on the Caesars property.  Loved it!!  Not a bad seat in the house.  Super nice Staff at Caesars.  We also used the Gym and it was fantastic.  Loved the equipment and the space."
291,"눇
OMG!))) It's the most fantastic hotel I've ever been!! Highly recommended, especially Octavius tower with incredible view to the pool. Oh, the pool was above any expectations!!! And jacuzzi))"
292,"눇
Location was great - breakfast at restaurant The American was very nice but way over priced.
Breakfast for two about $70"
293,"눇
Great room. Really quiet, wonderful bathroom and very spacious.  The pool area is an great experience."
294,"눇
The location and facilities were unparalleled by other hotels in vegas."
295,"눇
Absolute luxury. The rooms are spacious and comfortable. Stay in Octavia tower, it has been recently renovated and overlooks the pool. Watch the mini bar and snack bar in the rooms, they are fully computerised so if you move an item (or replace the drinks in the fridge with your own) it will record it as a purchase. The buffet is a must do for breakfast or dinner."
296,"눇
The facilities were good, as you would expect for a hotel of this price."
297,"눇
Loved the location of the room, the views, the comfort and all of the restaurants in the hotel and the shopping!"
