,Name,Nationality,Date,Score,Topic,Tags,History reviews,
11,Lisa,United Kingdom,"Reviewed: April 4, 2018",8.8,Great rooms in a fab central location,??Leisure trip??Family with young children??2 rooms??Stayed 3 nights??Submitted from a mobile device,8 Reviews,
12,James,Ireland,"Reviewed: April 3, 2018",5.8,booking.com I have used for years no problem this time paid and never recived,"??Leisure trip??Couple??Octavius Premium Room, 1 King, Non-Smoking??Stayed 5 nights??Submitted from a mobile device",2 Reviews,
13,Bobbi,United States of America,"Reviewed: April 1, 2018",10,"excellent location. Great facilities. Comfortable, spacious rooms.  Will definitely choose again","??Leisure trip??Family with young children??Augustus Strip View, 2 Queens, Non-Smoking??Stayed 4 nights",1 review,
14,Melanie,Canada,"Reviewed: March 31, 2018",6.7,Nightmare and a rip off,??Leisure trip??Family with young children??2 rooms??Stayed 2 nights,9 Reviews,
15,Richard,United Kingdom,"Reviewed: March 30, 2018",7.1,"Loved Vegas, location and facilities, but room looked tired and a lot of issues with equipment","??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 3 nights",5 Reviews,
16,Anonymous,Israel,"Reviewed: March 30, 2018",5,Rough around the edges,"??Leisure trip??Family with young children??Octavius Premium Room, 2 Queens, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",5 Reviews,
17,Stephanie,United States of America,"Reviewed: March 29, 2018",5.4,The room was old and stinky???,"??Leisure trip??Couple??Forum Petite Suite, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",2 Reviews,
18,Judy,United States of America,"Reviewed: March 29, 2018",7.5,Vegas BD trip,"??Leisure trip??Travelers with friends??Forum Classic, 2 Queen Beds, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",12 Reviews,
19,Callie,Australia,"Reviewed: March 28, 2018",3.3,Pretty ordinary for the US$900 I paid.,"??Leisure trip??Couple??Octavius Premium Room, 1 King, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",3 Reviews,
20,Tina,United States of America,"Reviewed: March 27, 2018",9.2,Great location for the show we wanted to see.,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights",32 Reviews,
21,Kamal,United Arab Emirates,"Reviewed: March 25, 2018",10,Th check in and out automation is really good and save a lot...,"??Business trip??Group??Palace Premium Room, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",6 Reviews,
22,Lateifah,United Kingdom,"Reviewed: March 24, 2018",7.5,"Loved the location, loved the cleanliness of the room and...","??Leisure trip??Family with young children??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",4 Reviews,
23,Natasha,Russia,"Reviewed: March 24, 2018",6.7,Meh,"??Leisure trip??Group??Forum Classic, 2 Queen Beds, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",49 Reviews,
24,Nicholas,United Kingdom,"Reviewed: March 22, 2018",7.9,Disappointing,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",6 Reviews,
25,Teri,United States of America,"Reviewed: March 21, 2018",7.5,Will not stay here again. Front desk refused to give even a half hour late checkout,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",13 Reviews,
26,Rick,United States of America,"Reviewed: March 20, 2018",9.2,Great visit!!,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",1 review,
27,Darlene,United States of America,"Reviewed: March 19, 2018",8.3,"Very nice casino and the staff was excellent, but try not to eat there!!!","??Leisure trip??Couple??Palace Premium Room, 2 Queen Beds, Non-Smoking??Stayed 3 nights",2 Reviews,
28,Anonymous,New Zealand,"Reviewed: March 19, 2018",7.1,Fine,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 4 nights??Submitted from a mobile device",1 review,
29,Lora,United States of America,"Reviewed: March 18, 2018",9.2,I like Caesars and would stay again.  The amenities were useful and staff was kind.,"??Leisure trip??Group??Palace Premium Room, 2 Queen Beds, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",1 review,
30,Lenny,United States of America,"Reviewed: March 18, 2018",7.5,"Bed GREAT! Spa GREAT! Air Freshener everywhere (room, lobby, casino), VERY BAD!","??Leisure trip??Solo traveler??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights",3 Reviews,
31,Amir,United States of America,"Reviewed: March 16, 2018",6.3,"Big, Clean Rooms in a great locations, But not really for family with small kids.","??Leisure trip??Family with young children??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 1 night",4 Reviews,
32,Alex,Switzerland,"Reviewed: March 14, 2018",8.3,The place is huge and has everything you might need (big...,"??Leisure trip??Solo traveler??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night",6 Reviews,
33,reynoldswallis,United States of America,"Reviewed: March 14, 2018",6.3,"Beautiful, but not secure, hotel","??Leisure trip??Group??Julius Deluxe Room, 1 King, Non-Smoking??Stayed 3 nights",4 Reviews,
34,Jordan,United States of America,"Reviewed: March 14, 2018",10,Ordered room service (pizza) and they brought it sooner than...,"??Leisure trip??Family with young children??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",1 review,
35,Patrick,Denmark,"Reviewed: March 13, 2018",5,Not coming back,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",2 Reviews,
36,Marion,Ireland,"Reviewed: March 13, 2018",10,Lovely hotel in perfect location,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",13 Reviews,
37,Christopher,United Kingdom,"Reviewed: March 11, 2018",9.6,Upgraded for free.,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",13 Reviews,
38,Kelly,United States of America,"Reviewed: March 11, 2018",6.7,busy big and overpriced,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 4 nights",1 review,
39,Michael,United States of America,"Reviewed: March 8, 2018",8.5,I thought not a good value at all since the room is already expensive and they charged extra for alm,"??Leisure trip??Couple??Palace Premium Studio Suite, 2 Queens, Non-Smoking??Stayed 5 nights??Submitted from a mobile device",1 review,
40,Ronald,United States of America,"Reviewed: March 8, 2018",10,Very pleased!!,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",1 review,
41,Stewart,Ireland,"Reviewed: March 7, 2018",10,"Luxury, excellent service, amazing food and fantastic customer service - what's not to LOVE","??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 4 nights",10 Reviews,
42,Gregory,United States of America,"Reviewed: March 6, 2018",9.2,Luxury with luxury pricing.,"??Leisure trip??Couple??Julius Deluxe Room, 1 King, Non-Smoking??Stayed 1 night",9 Reviews,
43,Edgar,United States of America,"Reviewed: March 4, 2018",7.5,Average hotel nothing outstanding,"??Leisure trip??Family with young children??Palace Premium Studio Suite, 2 Queens, Non-Smoking??Stayed 1 night??Submitted from a mobile device",2 Reviews,
44,Kelly,United States of America,"Reviewed: March 4, 2018",10,Loved every minute I spent there!,"??Business trip??Solo traveler??Palace Premium Room, 1 King Bed, Non-Smoking??Stayed 4 nights??Submitted from a mobile device",1 review,
45,Irisbeth,United States of America,"Reviewed: March 2, 2018",5,Too expensive for the price and I have to pay extra for early check in,"??Leisure trip??Couple??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 1 night??Submitted from a mobile device",1 review,
46,Star1960,United States of America,"Reviewed: February 27, 2018",10,I will return to Caesars Palace on my next trip to Las Vegas,"??Leisure trip??Family with young children??Palace Premium Room, 2 Queen Beds, Non-Smoking??Stayed 2 nights",16 Reviews,
47,Anonymous,United Kingdom,"Reviewed: February 27, 2018",9.2,Two Nights  in Vegas ,"??Leisure trip??Couple??Augustus Strip View, 2 Queens, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",1 review,
48,kita8516,Belgium,"Reviewed: February 27, 2018",6.7,"Not bad, not great.","??Leisure trip??Group??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights",5 Reviews,
49,Yuan,United States of America,"Reviewed: February 23, 2018",6.3,Good Location but not friendly to people with vehicles ,??Leisure trip??Family with young children??2 rooms??Stayed 1 night??Submitted from a mobile device,4 Reviews,
50,Amanda,United States of America,"Reviewed: February 23, 2018",7.9,The Qua spa is the reason I keep coming back.,"??Leisure trip??Solo traveler??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",13 Reviews,
51,Annie,United States of America,"Reviewed: February 20, 2018",5.4,"Frustrating, ripped off, small.","??Business trip??Couple??Palace Premium Studio Suite, 2 Queens, Non-Smoking??Stayed 5 nights??Submitted from a mobile device",2 Reviews,
52,Kallie,United States of America,"Reviewed: February 20, 2018",6.3,"Horribly overrated, lost its charm.","??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",1 review,
53,Marcos,Puerto Rico,"Reviewed: February 20, 2018",8.8,We enjoy it  a lot !,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 4 nights??Submitted from a mobile device",2 Reviews,
54,First,United States of America,"Reviewed: February 19, 2018",8.8,"Beautiful room, liked the check-in kiosks and that we could...","??Leisure trip??Group??Augustus Premium Room, King, Non-Smoking??Stayed 3 nights",1 review,
55,Oleksandr,Ukraine,"Reviewed: February 18, 2018",9.2,The one and only Caesars,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 4 nights??Submitted from a mobile device",4 Reviews,
56,Dionyssios,United States of America,"Reviewed: February 18, 2018",9.2,According to expectations.,"??Leisure trip??Family with young children??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 1 night??Submitted from a mobile device",1 review,
57,Susan,United States of America,"Reviewed: February 13, 2018",6.3,Okay will not return because of lack of concern over guests accommodation.,"??Leisure trip??Couple??Julius Deluxe Room, 1 King, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",1 review,
58,Walter,United States of America,"Reviewed: February 13, 2018",8.3,The experience was great and I would stay again!,"??Leisure trip??Family with young children??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 1 night??Submitted from a mobile device",1 review,
59,Ashleigh,United States of America,"Reviewed: February 13, 2018",6.7,We love Vegas and can't wait to be back!,"??Leisure trip??Couple??Octavius Premium Room, 1 King, Non-Smoking??Stayed 4 nights??Submitted from a mobile device",1 review,
60,Traveller,Australia,"Reviewed: February 12, 2018",5.8,Disappointing.,"??Leisure trip??Group??Julius Deluxe Room, 1 King, Non-Smoking??Stayed 1 night??Submitted from a mobile device",1 review,
61,Chan,Singapore,"Reviewed: February 10, 2018",7.1,Book the hotel after watching ''Hangover''...,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights",20 Reviews,
62,Brian,United Kingdom,"Reviewed: February 8, 2018",5,One of the worst hotel experiences in years.,"??Business trip??Group??Octavius Premium Room, 1 King, Non-Smoking??Stayed 5 nights??Submitted from a mobile device",3 Reviews,
63,Wendy,United States of America,"Reviewed: February 5, 2018",10,"Cafe Americano was convenient, food was outstanding, huge...","??Leisure trip??Couple??Octavius Premium Room, 1 King, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",1 review,
64,Laura,United States of America,"Reviewed: February 4, 2018",10,"The room was large, comfortable & spotless.","??Leisure trip??Group??Forum Classic, 2 Queen Beds, Non-Smoking??Stayed 1 night",2 Reviews,
65,Robyn,New Zealand,"Reviewed: February 3, 2018",6.7,Enjoyable comfortable 5 night stay.,"??Leisure trip??Couple??Octavius Premium Room, 1 King, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",7 Reviews,
66,Mary,United States of America,"Reviewed: February 1, 2018",7.1,Bed was comfortable.,"??Leisure trip??Solo traveler??Octavius Premium Room, 2 Queens, Non-Smoking??Stayed 1 night",4 Reviews,
67,Judy,Canada,"Reviewed: January 31, 2018",10,"Great short stay in Vegas,","??Leisure trip??Couple??Octavius Premium Room, 1 King, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",25 Reviews,
68,Marco,United States of America,"Reviewed: January 30, 2018",10,Staff was very helpful.,"??Leisure trip??Couple??Julius Deluxe Room, 1 King, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",3 Reviews,
69,Darren,Canada,"Reviewed: January 29, 2018",7.5,Proximity to everything.,"??Business trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 6 nights??Submitted from a mobile device",1 review,
70,Sonia,Portugal,"Reviewed: January 21, 2018",7.1,Expensive and disappointing,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",9 Reviews,
71,Sarah,Australia,"Reviewed: January 21, 2018",7.9,Very comfortable bed and clean bathroom.,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",1 review,
72,Frances,United States of America,"Reviewed: January 20, 2018",10,Wonderful stay.,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night",1 review,
73,Ronya,Canada,"Reviewed: January 20, 2018",10,Awesome hotel!,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 4 nights??Submitted from a mobile device",8 Reviews,
74,Karolina,Czech Republic,"Reviewed: January 20, 2018",6.3,Don?t expect to much service nor breakfast,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights",9 Reviews,
75,Jessica,Canada,"Reviewed: January 18, 2018",7.1,The nickel and dime the tourists.,"??Leisure trip??Travelers with friends??Forum Classic, 2 Queen Beds, Non-Smoking??Stayed 1 night??Submitted from a mobile device",2 Reviews,
76,Daniel,United Kingdom,"Reviewed: January 18, 2018",6.3,"Iconic location, in bad need of a refurb","??Business trip??Group??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights",3 Reviews,
77,Geoffry,United States of America,"Reviewed: January 17, 2018",7.5,Lots of stuff to do and see just inside the hotel and it has...,"??Leisure trip??Group??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 1 night",12 Reviews,
78,Ian,Canada,"Reviewed: January 17, 2018",9.6,"Friendly staff, classic hotel and a very enjoyable stay.","??Leisure trip??Couple??Palace Premium Studio Suite, 2 Queens, Non-Smoking??Stayed 5 nights",12 Reviews,
79,Kristin,United States of America,"Reviewed: January 17, 2018",10,Blisssful and luxurious,"??Business trip??Solo traveler??Octavius Premium Room, 2 Queens, Non-Smoking??Stayed 1 night??Submitted from a mobile device",1 review,
80,Rita,Canada,"Reviewed: January 13, 2018",6.3,Did not enjoy over paying the room at the Caesars  with Booking.com,"??Leisure trip??Group??Forum Classic, 1 King Bed, Non-Smoking??Stayed 4 nights",1 review,
81,Anonymous,Hong Kong,"Reviewed: January 13, 2018",5.8,not for business/conference travellers ,"??Business trip??Solo traveler??Forum Classic, 1 King Bed, Non-Smoking??Stayed 4 nights??Submitted from a mobile device",10 Reviews,
82,Cristian,United States of America,"Reviewed: January 12, 2018",6.3,it's expensive and nothing out of the ordinary,"??Leisure trip??Group??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 1 night",1 review,
83,Russell,Australia,"Reviewed: January 12, 2018",6.7,Disappointing,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",6 Reviews,
84,Anonymous,United States of America,"Reviewed: January 11, 2018",10,Best Vegas casino/hotel,"??Leisure trip??Couple??Palace Premium Room, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",1 review,
85,Lisa,United States of America,"Reviewed: January 8, 2018",9.6,Had a fabulous time!,??Leisure trip??Family with young children??2 rooms??Stayed 3 nights,1 review,
86,Mi,United States of America,"Reviewed: January 6, 2018",7.5,I chose to stay here for the buffet.,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",4 Reviews,
87,Lorena,Argentina,"Reviewed: January 6, 2018",4.2,Nothing,"??Leisure trip??Solo traveler??Julius Deluxe Room, 1 King, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",27 Reviews,
88,Brian,United Kingdom,"Reviewed: January 5, 2018",8.8,Caesear palace is an icon it was great to say I have stayed there.,"??Leisure trip??Solo traveler??Forum Classic, 1 King Bed, Non-Smoking??Stayed 4 nights??Submitted from a mobile device",22 Reviews,
89,Keith,United States of America,"Reviewed: January 3, 2018",7.5,location.,"??Leisure trip??Solo traveler??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",7 Reviews,
90,Wilfredo,Philippines,"Reviewed: January 3, 2018",5.4,Poor,"??Leisure trip??Family with young children??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",1 review,
91,William,United States of America,"Reviewed: December 31, 2017",9.2,We enjoyed our stay and would stay here again.,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",1 review,
92,Jen,Australia,"Reviewed: December 31, 2017",9.6,Palace fit for a King!,"??Leisure trip??Couple??Julius Deluxe Room, 1 King, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",7 Reviews,
93,Peter,South Africa,"Reviewed: December 30, 2017",8.3,Iconic hotel in a great location. Romantic and luxurious. Jennifer and Peter Rogers,"??Leisure trip??Couple??Octavius Premium Room, 1 King, Non-Smoking??Stayed 7 nights??Submitted from a mobile device",12 Reviews,
94,Naturally,United States of America,"Reviewed: December 28, 2017",9.6,Excellent A++++,"??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",1 review,
95,George Benni,Qatar,"Reviewed: December 24, 2017",7.1,Caesar Experience,"??Leisure trip??Group??Forum Classic, 1 King Bed, Non-Smoking??Stayed 3 nights",20 Reviews,
96,Celia,United States of America,"Reviewed: December 22, 2017",9.6,"Overall, it was a wonderful stay.","??Leisure trip??Couple??Julius Deluxe Room, 1 King, Non-Smoking??Stayed 5 nights",1 review,
97,Viktoria,Austria,"Reviewed: December 21, 2017",10,Surreal - Fantastic!,"??Leisure trip??Group??Forum Classic, 2 Queen Beds, Non-Smoking??Stayed 1 night??Submitted from a mobile device",28 Reviews,
98,Mary,United States of America,"Reviewed: December 20, 2017",4.6,Very disappointing!,"??Group??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",1 review,
99,Satpal,Canada,"Reviewed: December 18, 2017",5.4,booking reservation did not meet the expectation,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights",1 review,
100,Dale,United States of America,"Reviewed: December 16, 2017",8.8,"We were upgraded to the Nobu Hotel inside Caesars Palace,...","??Leisure trip??Family with young children??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 1 night??Submitted from a mobile device",1 review,
101,Marketa,France,"Reviewed: December 15, 2017",10,We won the jackpot at Caesars'!!,"??Leisure trip??Couple??Octavius Premium Room, 1 King, Non-Smoking??Stayed 1 night",15 Reviews,
102,William,United States of America,"Reviewed: December 15, 2017",9.2,"Hotel is very classy, clean and convenient location on the Strip","??Leisure trip??Group??Forum Classic, 1 King Bed, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",2 Reviews,
103,Michael,France,"Reviewed: December 14, 2017",6.7,Great situation.,"??Leisure trip??Couple??Augustus Premium Room, 1 King, Smoking??Stayed 1 night??Submitted from a mobile device",24 Reviews,
104,Beonca,United States of America,"Reviewed: December 14, 2017",8.3,Prime location but overpriced.,"??Leisure trip??Group??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",2 Reviews,
105,Kelly,United States of America,"Reviewed: December 10, 2017",10,It was relaxing,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",9 Reviews,
106,Victoria,United Kingdom,"Reviewed: December 8, 2017",4.6,Disappointed with my stay. This is a long time favorite place to stay but this will be my last.,"??Leisure trip??Group??Augustus Strip View, 1 King, Non-Smoking??Stayed 6 nights??Submitted from a mobile device",2 Reviews,
107,Patricia,United States of America,"Reviewed: December 4, 2017",10,Fine once we got the room situation taken care of,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",1 review,
108,Cheryl,United States of America,"Reviewed: December 4, 2017",9.6,Shopping was outstanding.,"??Leisure trip??Couple??Palace Premium Studio Suite, 1 King, Non-Smoking??Stayed 3 nights",1 review,
109,Dustau,United States of America,"Reviewed: December 3, 2017",10,"Relaxed, happy, & ready to back to the grind!","??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",1 review,
110,Daniel,United States of America,"Reviewed: December 3, 2017",6.3,I stated in my reservation that we were a family of 5 and...,??Leisure trip??Family with young children??2 rooms??Stayed 3 nights,3 Reviews,
111,Shane,Ireland,"Reviewed: November 29, 2017",9.6,Nice hotel but eat elsewhere,"??Leisure trip??Couple??Augustus Strip View, 1 King, Non-Smoking??Stayed 7 nights??Submitted from a mobile device",3 Reviews,
112,Brain,United States of America,"Reviewed: November 28, 2017",9.2,Our trip was an 9 out of 10 if it wasn't for the casino air you would of got a 10.,"??Leisure trip??Couple??Julius Deluxe Room, 1 King, Non-Smoking??Stayed 2 nights",1 review,
113,Marcia,United States of America,"Reviewed: November 26, 2017",10,Text messages from a personal concierge.,"??Leisure trip??Group??Augustus Strip View, 2 Queens, Non-Smoking??Stayed 2 nights",1 review,
114,Anonymous,United States of America,"Reviewed: November 25, 2017",6.7,Wish that ALL the suites weren?? SMOKING rooms ???,"??Leisure trip??Couple??Forum Classic Suite, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",18 Reviews,
115,Amy,United States of America,"Reviewed: November 24, 2017",5,I spent a lot of money at Caesars and was treated like a cheap tourist.,"??Leisure trip??Group??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",1 review,
116,Kelly,United States of America,"Reviewed: November 22, 2017",6.7,Too expensive! Maid service awful ! Room not ready,"??Leisure trip??Group??Palace Premium Studio Suite, 2 Queens, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",5 Reviews,
117,Tanushree,United States of America,"Reviewed: November 22, 2017",3.3,I wish I listened to my friends and husband and booked elsewhere.,"??Business trip??Family with young children??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 2 nights",1 review,
118,Edward,United States of America,"Reviewed: November 21, 2017",9.6,Enjoyed the saty.,"??Leisure trip??Couple??Forum Classic, 2 Queen Beds, Non-Smoking??Stayed 2 nights",1 review,
119,Wes,United States of America,"Reviewed: November 19, 2017",7.1,Over priced.,"??Leisure trip??Couple??Julius Deluxe Room, 1 King, Non-Smoking??Stayed 1 night??Submitted from a mobile device",1 review,
120,Cate,Australia,"Reviewed: November 18, 2017",7.1,"Nice hotel, clean, good location but service could have been better","??Leisure trip??Group??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",3 Reviews,
121,D,United States of America,"Reviewed: November 14, 2017",6.3,"OK...I'd never stay there again, very expensive.","??Leisure trip??Solo traveler??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights",2 Reviews,
122,Leanne,United Kingdom,"Reviewed: November 14, 2017",7.5,Didn't like my stay at this hotel wouldn't stay there again,"??Leisure trip??Group??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",3 Reviews,
123,Maggie,Australia,"Reviewed: November 14, 2017",4.2,I so far haven't received the refund of my deposit.,"??Leisure trip??Group??Forum Classic, 2 Queen Beds, Non-Smoking??Stayed 1 night",3 Reviews,
124,MarieCatherine,United States of America,"Reviewed: November 13, 2017",7.1,Disappointing stay at Ceasars Palace.,"??Leisure trip??Group??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 2 nights",20 Reviews,
125,Bobcat,Bahamas,"Reviewed: November 10, 2017",5,Wasnt wat i expected...,"??Leisure trip??Travelers with friends??Augustus Strip View, 2 Queens, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",3 Reviews,
126,Christopher,United Kingdom,"Reviewed: November 9, 2017",10,Everything you hope for and a lot more.,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights",3 Reviews,
127,David,United States of America,"Reviewed: November 4, 2017",5,"Not worth the money, poor customer service","??Business trip??Family with young children??Augustus Premium Room, 2 Queens, Non-Smoking??Stayed 4 nights??Submitted from a mobile device",1 review,
128,Lucinda,France,"Reviewed: November 3, 2017",8.3,Amazing and very comfortable ,"??Leisure trip??Family with young children??Augustus Strip View, 2 Queens, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",3 Reviews,
129,Suzy895,Australia,"Reviewed: November 3, 2017",9.6,Heart of the Strip,"??Leisure trip??Couple??Octavius Premium Room, 1 King, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",28 Reviews,
130,Sharon,United Kingdom,"Reviewed: November 2, 2017",10,Amazing,"??Leisure trip??Group??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",5 Reviews,
