,Name,Nationality,Date,Score,Topic,Tags,History reviews,latitude,longitude
48,kita8516,Belgium,"Reviewed: February 27, 2018",6.7,"Not bad, not great.","??Leisure trip??Group??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights",5 Reviews,50.503887,4.469936
49,Yuan,United States of America,"Reviewed: February 23, 2018",6.3,Good Location but not friendly to people with vehicles ,??Leisure trip??Family with young children??2 rooms??Stayed 1 night??Submitted from a mobile device,4 Reviews,37.09024,-95.712891
50,Amanda,United States of America,"Reviewed: February 23, 2018",7.9,The Qua spa is the reason I keep coming back.,"??Leisure trip??Solo traveler??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",13 Reviews,37.09024,-95.712891
51,Annie,United States of America,"Reviewed: February 20, 2018",5.4,"Frustrating, ripped off, small.","??Business trip??Couple??Palace Premium Studio Suite, 2 Queens, Non-Smoking??Stayed 5 nights??Submitted from a mobile device",2 Reviews,37.09024,-95.712891
52,Kallie,United States of America,"Reviewed: February 20, 2018",6.3,"Horribly overrated, lost its charm.","??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",1 review,37.09024,-95.712891
53,Marcos,Puerto Rico,"Reviewed: February 20, 2018",8.8,We enjoy it  a lot !,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 4 nights??Submitted from a mobile device",2 Reviews,18.220833,-66.590149
54,First,United States of America,"Reviewed: February 19, 2018",8.8,"Beautiful room, liked the check-in kiosks and that we could...","??Leisure trip??Group??Augustus Premium Room, King, Non-Smoking??Stayed 3 nights",1 review,37.09024,-95.712891
55,Oleksandr,Ukraine,"Reviewed: February 18, 2018",9.2,The one and only Caesars,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 4 nights??Submitted from a mobile device",4 Reviews,48.379433,31.16558
56,Dionyssios,United States of America,"Reviewed: February 18, 2018",9.2,According to expectations.,"??Leisure trip??Family with young children??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 1 night??Submitted from a mobile device",1 review,37.09024,-95.712891
57,Susan,United States of America,"Reviewed: February 13, 2018",6.3,Okay will not return because of lack of concern over guests accommodation.,"??Leisure trip??Couple??Julius Deluxe Room, 1 King, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",1 review,37.09024,-95.712891
58,Walter,United States of America,"Reviewed: February 13, 2018",8.3,The experience was great and I would stay again!,"??Leisure trip??Family with young children??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 1 night??Submitted from a mobile device",1 review,37.09024,-95.712891
59,Ashleigh,United States of America,"Reviewed: February 13, 2018",6.7,We love Vegas and can't wait to be back!,"??Leisure trip??Couple??Octavius Premium Room, 1 King, Non-Smoking??Stayed 4 nights??Submitted from a mobile device",1 review,37.09024,-95.712891
60,Traveller,Australia,"Reviewed: February 12, 2018",5.8,Disappointing.,"??Leisure trip??Group??Julius Deluxe Room, 1 King, Non-Smoking??Stayed 1 night??Submitted from a mobile device",1 review,-25.274398,133.775136
61,Chan,Singapore,"Reviewed: February 10, 2018",7.1,Book the hotel after watching ''Hangover''...,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights",20 Reviews,1.352083,103.819836
62,Brian,United Kingdom,"Reviewed: February 8, 2018",5.0,One of the worst hotel experiences in years.,"??Business trip??Group??Octavius Premium Room, 1 King, Non-Smoking??Stayed 5 nights??Submitted from a mobile device",3 Reviews,55.378051,-3.435973
63,Wendy,United States of America,"Reviewed: February 5, 2018",10.0,"Cafe Americano was convenient, food was outstanding, huge...","??Leisure trip??Couple??Octavius Premium Room, 1 King, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",1 review,37.09024,-95.712891
64,Laura,United States of America,"Reviewed: February 4, 2018",10.0,"The room was large, comfortable & spotless.","??Leisure trip??Group??Forum Classic, 2 Queen Beds, Non-Smoking??Stayed 1 night",2 Reviews,37.09024,-95.712891
65,Robyn,New Zealand,"Reviewed: February 3, 2018",6.7,Enjoyable comfortable 5 night stay.,"??Leisure trip??Couple??Octavius Premium Room, 1 King, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",7 Reviews,-40.900557,174.88597099999998
66,Mary,United States of America,"Reviewed: February 1, 2018",7.1,Bed was comfortable.,"??Leisure trip??Solo traveler??Octavius Premium Room, 2 Queens, Non-Smoking??Stayed 1 night",4 Reviews,37.09024,-95.712891
67,Judy,Canada,"Reviewed: January 31, 2018",10.0,"Great short stay in Vegas,","??Leisure trip??Couple??Octavius Premium Room, 1 King, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",25 Reviews,56.130366,-106.34677099999999
68,Marco,United States of America,"Reviewed: January 30, 2018",10.0,Staff was very helpful.,"??Leisure trip??Couple??Julius Deluxe Room, 1 King, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",3 Reviews,37.09024,-95.712891
69,Darren,Canada,"Reviewed: January 29, 2018",7.5,Proximity to everything.,"??Business trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 6 nights??Submitted from a mobile device",1 review,56.130366,-106.34677099999999
70,Sonia,Portugal,"Reviewed: January 21, 2018",7.1,Expensive and disappointing,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",9 Reviews,39.399871999999995,-8.224454
71,Sarah,Australia,"Reviewed: January 21, 2018",7.9,Very comfortable bed and clean bathroom.,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",1 review,-25.274398,133.775136
72,Frances,United States of America,"Reviewed: January 20, 2018",10.0,Wonderful stay.,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night",1 review,37.09024,-95.712891
73,Ronya,Canada,"Reviewed: January 20, 2018",10.0,Awesome hotel!,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 4 nights??Submitted from a mobile device",8 Reviews,56.130366,-106.34677099999999
74,Karolina,Czech Republic,"Reviewed: January 20, 2018",6.3,Don?t expect to much service nor breakfast,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights",9 Reviews,49.817492,15.472961999999999
75,Jessica,Canada,"Reviewed: January 18, 2018",7.1,The nickel and dime the tourists.,"??Leisure trip??Travelers with friends??Forum Classic, 2 Queen Beds, Non-Smoking??Stayed 1 night??Submitted from a mobile device",2 Reviews,56.130366,-106.34677099999999
76,Daniel,United Kingdom,"Reviewed: January 18, 2018",6.3,"Iconic location, in bad need of a refurb","??Business trip??Group??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights",3 Reviews,55.378051,-3.435973
77,Geoffry,United States of America,"Reviewed: January 17, 2018",7.5,Lots of stuff to do and see just inside the hotel and it has...,"??Leisure trip??Group??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 1 night",12 Reviews,37.09024,-95.712891
78,Ian,Canada,"Reviewed: January 17, 2018",9.6,"Friendly staff, classic hotel and a very enjoyable stay.","??Leisure trip??Couple??Palace Premium Studio Suite, 2 Queens, Non-Smoking??Stayed 5 nights",12 Reviews,56.130366,-106.34677099999999
79,Kristin,United States of America,"Reviewed: January 17, 2018",10.0,Blisssful and luxurious,"??Business trip??Solo traveler??Octavius Premium Room, 2 Queens, Non-Smoking??Stayed 1 night??Submitted from a mobile device",1 review,37.09024,-95.712891
80,Rita,Canada,"Reviewed: January 13, 2018",6.3,Did not enjoy over paying the room at the Caesars  with Booking.com,"??Leisure trip??Group??Forum Classic, 1 King Bed, Non-Smoking??Stayed 4 nights",1 review,56.130366,-106.34677099999999
81,Anonymous,Hong Kong,"Reviewed: January 13, 2018",5.8,not for business/conference travellers ,"??Business trip??Solo traveler??Forum Classic, 1 King Bed, Non-Smoking??Stayed 4 nights??Submitted from a mobile device",10 Reviews,22.396428,114.10949699999999
82,Cristian,United States of America,"Reviewed: January 12, 2018",6.3,it's expensive and nothing out of the ordinary,"??Leisure trip??Group??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 1 night",1 review,37.09024,-95.712891
83,Russell,Australia,"Reviewed: January 12, 2018",6.7,Disappointing,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",6 Reviews,-25.274398,133.775136
84,Anonymous,United States of America,"Reviewed: January 11, 2018",10.0,Best Vegas casino/hotel,"??Leisure trip??Couple??Palace Premium Room, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",1 review,37.09024,-95.712891
85,Lisa,United States of America,"Reviewed: January 8, 2018",9.6,Had a fabulous time!,??Leisure trip??Family with young children??2 rooms??Stayed 3 nights,1 review,37.09024,-95.712891
86,Mi,United States of America,"Reviewed: January 6, 2018",7.5,I chose to stay here for the buffet.,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",4 Reviews,37.09024,-95.712891
87,Lorena,Argentina,"Reviewed: January 6, 2018",4.2,Nothing,"??Leisure trip??Solo traveler??Julius Deluxe Room, 1 King, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",27 Reviews,-38.416097,-63.616671999999994
88,Brian,United Kingdom,"Reviewed: January 5, 2018",8.8,Caesear palace is an icon it was great to say I have stayed there.,"??Leisure trip??Solo traveler??Forum Classic, 1 King Bed, Non-Smoking??Stayed 4 nights??Submitted from a mobile device",22 Reviews,55.378051,-3.435973
89,Keith,United States of America,"Reviewed: January 3, 2018",7.5,location.,"??Leisure trip??Solo traveler??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",7 Reviews,37.09024,-95.712891
90,Wilfredo,Philippines,"Reviewed: January 3, 2018",5.4,Poor,"??Leisure trip??Family with young children??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",1 review,12.879721,121.77401699999999
91,William,United States of America,"Reviewed: December 31, 2017",9.2,We enjoyed our stay and would stay here again.,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",1 review,37.09024,-95.712891
92,Jen,Australia,"Reviewed: December 31, 2017",9.6,Palace fit for a King!,"??Leisure trip??Couple??Julius Deluxe Room, 1 King, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",7 Reviews,-25.274398,133.775136
93,Peter,South Africa,"Reviewed: December 30, 2017",8.3,Iconic hotel in a great location. Romantic and luxurious. Jennifer and Peter Rogers,"??Leisure trip??Couple??Octavius Premium Room, 1 King, Non-Smoking??Stayed 7 nights??Submitted from a mobile device",12 Reviews,-30.559482,22.937506
94,Naturally,United States of America,"Reviewed: December 28, 2017",9.6,Excellent A++++,"??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",1 review,37.09024,-95.712891
95,George Benni,Qatar,"Reviewed: December 24, 2017",7.1,Caesar Experience,"??Leisure trip??Group??Forum Classic, 1 King Bed, Non-Smoking??Stayed 3 nights",20 Reviews,25.354826,51.183884
96,Celia,United States of America,"Reviewed: December 22, 2017",9.6,"Overall, it was a wonderful stay.","??Leisure trip??Couple??Julius Deluxe Room, 1 King, Non-Smoking??Stayed 5 nights",1 review,37.09024,-95.712891
97,Viktoria,Austria,"Reviewed: December 21, 2017",10.0,Surreal - Fantastic!,"??Leisure trip??Group??Forum Classic, 2 Queen Beds, Non-Smoking??Stayed 1 night??Submitted from a mobile device",28 Reviews,47.516231,14.550072
98,Mary,United States of America,"Reviewed: December 20, 2017",4.6,Very disappointing!,"??Group??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",1 review,37.09024,-95.712891
99,Satpal,Canada,"Reviewed: December 18, 2017",5.4,booking reservation did not meet the expectation,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights",1 review,56.130366,-106.34677099999999
100,Dale,United States of America,"Reviewed: December 16, 2017",8.8,"We were upgraded to the Nobu Hotel inside Caesars Palace,...","??Leisure trip??Family with young children??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 1 night??Submitted from a mobile device",1 review,37.09024,-95.712891
101,Marketa,France,"Reviewed: December 15, 2017",10.0,We won the jackpot at Caesars'!!,"??Leisure trip??Couple??Octavius Premium Room, 1 King, Non-Smoking??Stayed 1 night",15 Reviews,46.227638,2.213749
102,William,United States of America,"Reviewed: December 15, 2017",9.2,"Hotel is very classy, clean and convenient location on the Strip","??Leisure trip??Group??Forum Classic, 1 King Bed, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",2 Reviews,37.09024,-95.712891
103,Michael,France,"Reviewed: December 14, 2017",6.7,Great situation.,"??Leisure trip??Couple??Augustus Premium Room, 1 King, Smoking??Stayed 1 night??Submitted from a mobile device",24 Reviews,46.227638,2.213749
104,Beonca,United States of America,"Reviewed: December 14, 2017",8.3,Prime location but overpriced.,"??Leisure trip??Group??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",2 Reviews,37.09024,-95.712891
105,Kelly,United States of America,"Reviewed: December 10, 2017",10.0,It was relaxing,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",9 Reviews,37.09024,-95.712891
106,Victoria,United Kingdom,"Reviewed: December 8, 2017",4.6,Disappointed with my stay. This is a long time favorite place to stay but this will be my last.,"??Leisure trip??Group??Augustus Strip View, 1 King, Non-Smoking??Stayed 6 nights??Submitted from a mobile device",2 Reviews,55.378051,-3.435973
107,Patricia,United States of America,"Reviewed: December 4, 2017",10.0,Fine once we got the room situation taken care of,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",1 review,37.09024,-95.712891
108,Cheryl,United States of America,"Reviewed: December 4, 2017",9.6,Shopping was outstanding.,"??Leisure trip??Couple??Palace Premium Studio Suite, 1 King, Non-Smoking??Stayed 3 nights",1 review,37.09024,-95.712891
109,Dustau,United States of America,"Reviewed: December 3, 2017",10.0,"Relaxed, happy, & ready to back to the grind!","??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",1 review,37.09024,-95.712891
110,Daniel,United States of America,"Reviewed: December 3, 2017",6.3,I stated in my reservation that we were a family of 5 and...,??Leisure trip??Family with young children??2 rooms??Stayed 3 nights,3 Reviews,37.09024,-95.712891
111,Shane,Ireland,"Reviewed: November 29, 2017",9.6,Nice hotel but eat elsewhere,"??Leisure trip??Couple??Augustus Strip View, 1 King, Non-Smoking??Stayed 7 nights??Submitted from a mobile device",3 Reviews,53.41291,-8.243889999999999
112,Brain,United States of America,"Reviewed: November 28, 2017",9.2,Our trip was an 9 out of 10 if it wasn't for the casino air you would of got a 10.,"??Leisure trip??Couple??Julius Deluxe Room, 1 King, Non-Smoking??Stayed 2 nights",1 review,37.09024,-95.712891
113,Marcia,United States of America,"Reviewed: November 26, 2017",10.0,Text messages from a personal concierge.,"??Leisure trip??Group??Augustus Strip View, 2 Queens, Non-Smoking??Stayed 2 nights",1 review,37.09024,-95.712891
114,Anonymous,United States of America,"Reviewed: November 25, 2017",6.7,Wish that ALL the suites weren?? SMOKING rooms ???,"??Leisure trip??Couple??Forum Classic Suite, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",18 Reviews,37.09024,-95.712891
115,Amy,United States of America,"Reviewed: November 24, 2017",5.0,I spent a lot of money at Caesars and was treated like a cheap tourist.,"??Leisure trip??Group??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",1 review,37.09024,-95.712891
116,Kelly,United States of America,"Reviewed: November 22, 2017",6.7,Too expensive! Maid service awful ! Room not ready,"??Leisure trip??Group??Palace Premium Studio Suite, 2 Queens, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",5 Reviews,37.09024,-95.712891
117,Tanushree,United States of America,"Reviewed: November 22, 2017",3.3,I wish I listened to my friends and husband and booked elsewhere.,"??Business trip??Family with young children??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 2 nights",1 review,37.09024,-95.712891
